date,year,president,no,maxFreq,numberOfSentences,numberOfWords,numberOfSyllables,fleschKincaid,word
1852-12-06,1852,Millard Fillmore,13,26,284,9916,16320,17.447777,subject
1853-12-05,1853,Franklin Pierce,14,63,233,9574,15990,20.142902,states
1854-12-04,1854,Franklin Pierce,14,17,268,10116,17101,19.07883,property
1855-12-31,1855,Franklin Pierce,14,135,274,11592,19607,20.868378,states
1856-12-02,1856,Franklin Pierce,14,111,255,10462,17855,20.549206,states
1857-12-08,1857,James Buchanan,15,45,406,13625,22403,16.900284,constitution
1858-12-06,1858,James Buchanan,15,40,527,16304,27017,16.029099,shall
1859-12-19,1859,James Buchanan,15,41,407,12287,20057,15.445816,power
1860-12-03,1860,James Buchanan,15,102,486,14010,23170,15.167652,states
1861-12-03,1861,Abraham Lincoln,16,20,215,6969,11325,16.227074,union
1862-12-01,1862,Abraham Lincoln,16,17,321,8357,13336,13.393663,emancipation
1863-12-08,1863,Abraham Lincoln,16,19,196,6085,10177,16.253094,service
1864-12-06,1864,Abraham Lincoln,16,7,207,5912,9620,14.749496,election
1865-12-04,1865,Andrew Johnson,17,98,276,9220,14988,16.6203,states
1866-12-03,1866,Andrew Johnson,17,75,203,7102,12117,18.18668,states
1867-12-03,1867,Andrew Johnson,17,46,383,11956,19504,15.834032,constitution
1868-12-09,1868,Andrew Johnson,17,29,292,9765,16451,17.331638,per
1869-12-06,1869,Ulysses S. Grant,18,17,249,7688,12551,15.715467,interest
1870-12-05,1870,Ulysses S. Grant,18,76,278,8731,14243,15.908028,states
1871-12-04,1871,Ulysses S. Grant,18,19,213,6460,10810,15.98399,recommend
1872-12-02,1872,Ulysses S. Grant,18,28,115,3979,6608,17.50048,united
1873-12-01,1873,Ulysses S. Grant,18,60,293,10008,16480,17.162083,congress
1874-12-07,1874,Ulysses S. Grant,18,49,274,9205,15137,16.91631,congress
1875-12-07,1875,Ulysses S. Grant,18,76,349,12188,20014,17.406693,states
1876-12-05,1876,Ulysses S. Grant,18,50,194,6788,11173,17.478695,states
1877-12-03,1877,Rutherford B. Hayes,19,35,218,7981,13354,18.431976,public
1878-12-02,1878,Rutherford B. Hayes,19,39,232,7834,13234,17.513,year
1879-12-01,1879,Rutherford B. Hayes,19,63,315,11583,19623,18.741478,congress
1880-12-06,1880,Rutherford B. Hayes,19,51,194,6687,11485,18.119572,government
1881-12-06,1881,Chester A. Arthur,21,12,119,3782,6550,17.241066,relations
1882-12-04,1882,Chester A. Arthur,21,7,93,3021,5123,17.089104,chile
1883-12-04,1883,Chester A. Arthur,21,22,108,3687,6268,17.784485,treaty
1884-12-01,1884,Chester A. Arthur,21,20,291,8888,15004,16.241554,secretary
1885-12-08,1885,Grover Cleveland,22,40,566,19710,33242,17.892445,silver
1886-12-06,1886,Grover Cleveland,22,63,418,15087,25380,18.336853,year
1887-12-06,1887,Grover Cleveland,22,30,123,5280,8600,20.371159,tariff
1888-12-03,1888,Grover Cleveland,22,18,239,8981,15095,18.898277,1888
1893-12-03,1893,Grover Cleveland,22,89,378,12197,20782,17.099773,year
1894-12-02,1894,Grover Cleveland,22,104,472,15771,26462,17.240223,year
1895-12-07,1895,Grover Cleveland,22,107,366,14602,24558,19.815037,gold
1896-12-04,1896,Grover Cleveland,22,77,425,15373,25515,18.10178,year
1889-12-03,1889,Benjamin Harrison,23,38,440,12969,21381,15.359009,law
1890-12-01,1890,Benjamin Harrison,23,39,369,11482,19006,16.077827,law
1891-12-09,1891,Benjamin Harrison,23,42,466,16245,26292,17.103512,during
1892-12-06,1892,Benjamin Harrison,23,47,430,13572,21466,15.382824,during
1897-12-06,1897,William McKinley,25,108,380,12087,19995,16.335306,government
1898-12-05,1898,William McKinley,25,100,629,20153,34009,16.818478,united
1899-12-05,1899,William McKinley,25,96,452,15086,25803,17.60933,states
1900-12-03,1900,William McKinley,25,53,609,19070,32392,16.665607,islands
1901-12-03,1901,Theodore Roosevelt,26,50,681,19609,31814,14.784359,men
1902-12-02,1902,Theodore Roosevelt,26,23,336,9765,15743,14.768173,good
1903-12-07,1903,Theodore Roosevelt,26,46,574,14932,24680,14.0587845,treaty
1904-12-06,1904,Theodore Roosevelt,26,50,531,17409,28461,16.48743,work
1905-12-05,1905,Theodore Roosevelt,26,71,801,25068,40625,15.738379,law
1906-12-03,1906,Theodore Roosevelt,26,64,672,23601,37743,16.977710000000002,law
1907-12-03,1907,Theodore Roosevelt,26,79,886,27385,44302,15.553759,law
1908-12-08,1908,Theodore Roosevelt,26,51,634,19400,31497,15.501724,men
1909-12-07,1909,William H. Taft,27,48,385,13879,23720,18.63612,department
1910-12-06,1910,William H. Taft,27,45,180,6561,11340,19.020565,united
1911-12-05,1911,William H. Taft,27,49,718,23639,39456,16.945576,statute
1912-12-03,1912,William H. Taft,27,95,750,25107,42518,17.448608,american
1913-12-02,1913,Woodrow Wilson,28,8,109,3552,5598,15.71595,credit
1914-12-08,1914,Woodrow Wilson,28,26,172,4539,6763,12.283632,great
1915-12-07,1915,Woodrow Wilson,28,21,224,7679,12063,16.316399,hundred
1916-12-05,1916,Woodrow Wilson,28,12,53,2117,3547,19.75864,necessary
1917-12-04,1917,Woodrow Wilson,28,31,137,3915,5890,13.307636,war
1918-12-02,1918,Woodrow Wilson,28,27,163,5473,8386,15.585449,men
1919-12-02,1919,Woodrow Wilson,28,18,162,4756,7842,15.316231,labor
1920-12-07,1920,Woodrow Wilson,28,16,72,2699,4375,18.157036,faith
1921-12-06,1921,Warren Harding,29,16,209,5601,9545,14.970715,conditions
1922-12-08,1922,Warren Harding,29,17,224,5748,9810,14.556509,transportation
1923-12-06,1923,Calvin Coolidge,30,18,363,6692,11284,11.496822,service
1924-12-03,1924,Calvin Coolidge,30,34,278,6954,11764,14.127533,country
1925-12-08,1925,Calvin Coolidge,30,32,480,10811,18182,13.039244,court
1926-12-07,1926,Calvin Coolidge,30,26,442,10294,17213,13.224184,federal
1927-12-06,1927,Calvin Coolidge,30,21,451,8745,14719,11.833168,agriculture
1928-12-04,1928,Calvin Coolidge,30,16,375,8034,13683,12.862373,private
1929-12-03,1929,Herbert Hoover,31,34,409,10960,18931,15.242771,federal
1930-12-02,1930,Herbert Hoover,31,19,162,4515,7962,16.088215,construction
1931-12-08,1931,Herbert Hoover,31,32,253,5667,10113,14.203289,banks
1932-12-06,1932,Herbert Hoover,31,23,162,4206,7123,14.519245,economic
1934-01-03,1934,Franklin D. Roosevelt,32,12,75,2226,3670,15.439827,national
1935-01-04,1935,Franklin D. Roosevelt,32,19,146,3525,5790,13.208223,work
1936-01-03,1936,Franklin D. Roosevelt,32,23,167,3820,5955,11.725983,world
1937-01-06,1937,Franklin D. Roosevelt,32,16,106,2733,4603,14.339287,democracy
1938-01-03,1938,Franklin D. Roosevelt,32,23,175,4701,7651,14.09132,business
1939-01-04,1939,Franklin D. Roosevelt,32,15,170,3768,6106,12.175995,nation
1940-01-03,1940,Franklin D. Roosevelt,32,29,123,3202,5050,13.172924,world
1941-01-06,1941,Franklin D. Roosevelt,32,20,150,3318,5207,11.554764,world
1942-01-06,1942,Franklin D. Roosevelt,32,31,172,3509,5221,9.923536,war
1943-01-07,1943,Franklin D. Roosevelt,32,45,203,4588,6941,11.076126,war
1944-01-11,1944,Franklin D. Roosevelt,32,48,175,3810,5928,11.26054,war
1945-01-06,1945,Franklin D. Roosevelt,32,75,338,8214,13214,12.87055,war
1946-01-21,1946,Harry S. Truman,33,206,1258,27731,47482,13.21143,dollars
1947-01-06,1947,Harry S. Truman,33,29,294,6051,10244,12.4135685,national
1948-01-07,1948,Harry S. Truman,33,31,276,5099,8189,10.565922,world
1949-01-05,1949,Harry S. Truman,33,12,187,3403,5628,11.022417,prosperity
1950-01-04,1950,Harry S. Truman,33,27,236,5129,8236,11.833988,world
1951-01-08,1951,Harry S. Truman,33,32,245,4008,6009,8.481249,world
1952-01-09,1952,Harry S. Truman,33,34,297,5366,7867,8.756039,world
1953-01-07,1953,Harry S. Truman,33,93,431,9679,15061,11.52964,world
1953-02-02,1953,Dwight D. Eisenhower,34,21,356,6973,12064,12.464161,federal
1954-01-07,1954,Dwight D. Eisenhower,34,26,288,5991,10361,12.930056,shall
1955-01-06,1955,Dwight D. Eisenhower,34,39,337,7254,12832,13.678507,federal
1956-01-05,1956,Dwight D. Eisenhower,34,43,377,8272,14402,13.511681,program
1957-01-10,1957,Dwight D. Eisenhower,34,20,187,4143,7145,13.400711,world
1958-01-09,1958,Dwight D. Eisenhower,34,29,249,4919,8248,11.900269,world
1959-01-09,1959,Dwight D. Eisenhower,34,23,264,4889,8231,11.498577,world
1960-01-07,1960,Dwight D. Eisenhower,34,31,254,5646,9616,13.176258,world
1961-01-12,1961,Dwight D. Eisenhower,34,37,264,6202,11077,14.647278,new
1961-01-30,1961,John F. Kennedy,35,25,213,5264,8557,13.230036,world
1962-01-11,1962,John F. Kennedy,35,43,277,6575,10604,12.697973,new
1963-01-14,1963,John F. Kennedy,35,24,233,5382,8413,11.863945,world
1964-01-08,1964,Lyndon B. Johnson,36,18,142,3199,4957,11.480637,every
1965-01-04,1965,Lyndon B. Johnson,36,23,256,4423,6731,9.105614,new
1966-01-12,1966,Lyndon B. Johnson,36,32,244,5309,7979,10.630146,vietnam
1967-01-10,1967,Lyndon B. Johnson,36,21,356,7170,10960,10.302153,vietnam
1968-01-17,1968,Lyndon B. Johnson,36,35,258,4895,7531,9.9638195,year
1969-01-14,1969,Lyndon B. Johnson,36,31,200,4122,6167,10.102097,congress
1970-01-22,1970,Richard Nixon,37,33,199,4470,6751,10.991734,new
1971-01-22,1971,Richard Nixon,37,50,196,4522,6832,11.235721999999999,government
1972-01-20,1972,Richard Nixon,37,25,174,3990,6163,11.579521,new
1973-02-02,1973,Richard Nixon,37,7,60,1670,2635,13.883562,resources
1974-01-30,1974,Richard Nixon,37,40,207,5170,7815,11.987524,years
1975-01-15,1975,Gerald R. Ford,38,25,226,4105,6700,10.753288,world
1976-01-19,1976,Gerald R. Ford,38,34,277,4968,8016,10.444271,federal
1977-01-12,1977,Gerald R. Ford,38,21,214,4663,7617,12.183266,president
1978-01-19,1978,Jimmy Carter,39,23,251,4573,7116,9.877323,world
1979-01-25,1979,Jimmy Carter,39,27,161,3256,5186,11.091677,world
1980-01-21,1980,Jimmy Carter,39,31,164,3422,5425,11.254581,soviet
1981-01-16,1981,Jimmy Carter,39,128,1359,33613,60409,15.262976,administration
1982-01-26,1982,Ronald Reagan,40,27,258,5212,8210,10.876095,programs
1983-01-25,1983,Ronald Reagan,40,18,267,5609,8911,11.349543,economic
1984-01-25,1984,Ronald Reagan,40,24,298,4985,7809,9.418686,peace
1985-02-06,1985,Ronald Reagan,40,24,230,4266,6676,10.10985,years
1986-02-04,1986,Ronald Reagan,40,22,185,3523,5389,9.886879,america
1987-01-27,1987,Ronald Reagan,40,19,214,3833,5829,9.340118,america
1988-01-25,1988,Ronald Reagan,40,23,234,4898,7583,10.841892,america
1989-02-09,1989,George H.W. Bush,41,24,293,4797,7296,8.742302,america
1990-01-31,1990,George H.W. Bush,41,25,230,3776,5644,8.450283,every
1991-01-29,1991,George H.W. Bush,41,28,233,3790,5951,9.281956,world
1992-01-28,1992,George H.W. Bush,41,23,301,4717,6834,7.6175957,plan
1993-02-17,1993,William J. Clinton,42,44,294,6988,10302,11.075848,people
1994-01-25,1994,William J. Clinton,42,62,374,7421,10903,9.485142,people
1995-01-24,1995,William J. Clinton,42,72,452,9177,13315,9.448944,people
1996-01-23,1996,William J. Clinton,42,43,359,6307,9533,9.097258,people
1997-02-04,1997,William J. Clinton,42,43,355,6772,10180,9.587996,america
1998-01-27,1998,William J. Clinton,42,45,368,7310,11066,10.020046,new
1999-01-19,1999,William J. Clinton,42,42,397,7488,11487,9.867813,now
2000-01-27,2000,William J. Clinton,42,51,413,7436,11593,9.828527,new
2001-02-27,2001,George W. Bush,43,26,272,4367,6685,8.734938,budget
2001-09-20,2001,George W. Bush,43,16,191,2966,4666,9.029549,america
2002-01-29,2002,George W. Bush,43,33,216,3829,6032,9.912556,america
2003-01-28,2003,George W. Bush,43,27,296,5364,8505,10.187164,weapons
2004-01-20,2004,George W. Bush,43,31,276,5169,8058,10.109148,america
2005-02-02,2005,George W. Bush,43,29,240,5053,8065,11.4548855,security
2006-01-31,2006,George W. Bush,43,38,277,5321,8522,10.800289,america
2007-01-23,2007,George W. Bush,43,24,288,5595,8498,9.909065,america
2008-01-28,2008,George W. Bush,43,30,306,5749,9033,10.277668,america
2009-02-24,2009,Barack Obama,44,23,283,5900,8883,10.306744,because
2010-01-27,2010,Barack Obama,44,28,409,7068,10665,8.954834,americans
2011-01-25,2011,Barack Obama,44,25,417,6886,10112,8.1782875,jobs
2012-01-24,2012,Barack Obama,44,33,420,6945,10496,8.692305,jobs
2013-02-12,2013,Barack Obama,44,31,331,6416,9809,10.009882,jobs
2014-01-28,2014,Barack Obama,44,31,346,6773,10379,10.126722000000001,help
2015-01-20,2015,Barack Obama,44,35,374,6719,10018,9.010191,america
2016-01-12,2016,Barack Obama,44,30,304,5439,8125,9.014984,that's
2017-02-28,2017,Donald J. Trump,45,32,301,5012,7692,9.013611,american
2018-01-30,2018,Donald J. Trump,45,29,319,5139,7992,9.043753,american
2019-02-05,2019,Donald J. Trump,45,19,295,5190,8181,9.871701999999999,tonight
2020-02-04,2020,Donald J. Trump,45,34,335,5885,9474,10.257488,american
2021-04-28,2021,Joseph R. Biden,46,46,460,6036,9095,7.3076324,american
