"year","state_abbr","state_name","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","caveats"
1979,"SD","South Dakota",689000,1096,14,113,,140,829,19297,4316,13782,1199,""
1979,"TN","Tennessee",4380000,18135,430,1511,,7277,8917,157651,56710,84850,16091,""
1979,"TX","Texas",13385000,67988,2235,6043,,25667,34043,725109,239758,412515,72836,""
1979,"UT","Utah",1367000,4158,66,381,,1062,2649,70918,16115,50216,4587,""
1979,"VA","Virginia",5197000,15642,447,1407,,5799,7989,211014,56265,141923,12826,""
1979,"VT","Vermont",493000,908,7,113,,141,647,25217,7779,15776,1662,""
1979,"WA","Washington",3926000,17064,187,1821,,4739,10317,239285,70024,152204,17057,""
1979,"WI","Wisconsin",4720000,7839,160,758,,2857,4064,199273,44806,141880,12587,""
1979,"WV","West Virginia",1878000,3156,128,291,,825,1912,40513,11959,24755,3799,""
1979,"WY","Wyoming",450000,1579,41,124,,190,1224,20129,3887,14607,1635,""
1980,"","",225349264,1344520,23040,82990,,565840,672650,12063700,3795200,7136900,1131700,""
1980,"AK","Alaska",440142,1919,39,250,,360,1270,22930,5545,14916,2469,""
1980,"AL","Alabama",3861466,17320,509,1158,,5102,10551,173191,58952,102029,12210,""
1980,"AR","Arkansas",2284037,7656,210,609,,1848,4989,79390,25559,49558,4273,""
1980,"AZ","Arizona",2715357,17673,279,1227,,5258,10909,204193,58527,132814,12852,""
1980,"CA","California",23532680,210290,3411,13693,,90420,102766,1633042,545138,913070,174834,""
1980,"CO","Colorado",2878407,15215,198,1510,,4608,8899,195872,58455,124514,12903,""
1980,"CT","Connecticut",3095224,12768,146,670,,6749,5203,169283,52638,95631,21014,""
1980,"DC","District of Columbia",635233,12772,200,439,,8897,3236,50896,16260,31068,3568,""
1980,"DE","Delaware",594779,2824,41,144,,815,1824,37482,9698,25077,2707,""
1980,"FL","Florida",9567112,94095,1387,5439,,34015,53254,709730,239825,424223,45682,""
1980,"GA","Georgia",5400851,29993,743,2391,,10670,16189,272652,91773,160764,20115,""
1980,"HI","Hawaii",964680,2889,84,335,,1835,635,69291,17822,45564,5905,""
1980,"IA","Iowa",2907804,5826,63,416,,1596,3751,132200,31390,93605,7205,""
1980,"ID","Idaho",943629,2957,29,211,,442,2275,42169,11691,28243,2235,""
1980,"IL","Illinois",11355062,91753,1205,3950,,41675,44923,620107,177099,369319,73689,""
1980,"IN","Indiana",5461103,20633,485,1808,,7720,10620,248619,71720,153297,23602,""
1980,"KS","Kansas",2354783,9168,163,742,,2664,5599,117492,35826,75268,6398,""
1980,"KY","Kentucky",3641479,9711,321,698,,3468,5224,115328,37901,68296,9131,""
1980,"LA","Louisiana",4199542,27926,661,1867,,8271,17127,201106,63997,121298,15811,""
1980,"MA","Massachusetts",5728288,34444,232,1562,,13492,19158,313787,99697,153849,60241,""
1980,"MD","Maryland",4192211,35735,399,1681,,16461,17194,242214,71183,152144,18887,""
1980,"ME","Maine",1123670,2173,32,145,,346,1650,46904,13291,31151,2462,""
1980,"MI","Michigan",9228128,59014,940,4304,,22519,31251,557051,160688,342384,53979,""
1980,"MN","Minnesota",4061235,9250,106,942,,4025,4177,185668,50602,123050,12016,""
1980,"MO","Missouri",4901288,27177,544,1600,,10958,14075,239115,81798,136998,20319,""
1980,"MS","Mississippi",2511491,8588,365,619,,2035,5569,77234,29612,43142,4480,""
1980,"MT","Montana",781592,1740,31,164,,266,1279,37531,7430,27587,2514,""
1980,"NC","North Carolina",5843665,26589,619,1324,,4810,19836,244585,83150,148804,12631,""
1980,"ND","North Dakota",652437,352,8,62,,50,232,18984,3186,14629,1169,""
1980,"NE","Nebraska",1563921,3512,69,363,,1286,1794,63818,14316,45692,3810,""
1980,"NH","New Hampshire",919114,1653,23,159,,386,1085,41358,12067,26443,2848,""
1980,"NJ","New Jersey",7342164,44373,504,2257,,22299,19313,425623,137900,234160,53563,""
1980,"NM","New Mexico",1295474,7967,170,561,,1657,5579,69490,19335,45613,4542,""
1980,"NV","Nevada",800312,7304,160,538,,3686,2920,63556,23263,34864,5429,""
1980,"NY","New York",17506690,180235,2228,5405,,112273,60329,1029749,360925,535783,133041,""
1980,"OH","Ohio",10766808,53646,871,3696,,24082,24997,531141,157874,327322,45945,""
1980,"OK","Oklahoma",3001252,12589,299,1088,,3147,8055,139061,50802,75649,12610,""
1980,"OR","Oregon",2610477,12802,132,1084,,3978,7608,161759,45641,106712,9406,""
1980,"PA","Pennsylvania",11824220,43032,809,2722,,21039,18462,398761,122800,226496,49465,""
1980,"RI","Rhode Island",945835,3864,42,162,,1122,2538,52249,16233,28037,7979,""
1980,"SC","South Carolina",3064557,20225,348,1148,,3620,15109,146461,51177,85905,9379,""
1980,"SD","South Dakota",688217,873,5,86,,138,644,21447,4766,15521,1160,""
1980,"TN","Tennessee",4545590,20824,489,1700,,8208,10427,183632,68251,98876,16505,""
1980,"TX","Texas",14169829,77978,2392,6700,,29547,39339,792480,262600,450792,79088,""
1980,"UT","Utah",1458729,4425,55,404,,1170,2796,81357,19283,57354,4720,""
1980,"VA","Virginia",5323412,16355,459,1458,,6392,8046,229587,64020,153437,12130,""
1980,"VT","Vermont",511299,914,11,149,,199,555,24592,7806,15278,1508,""
1980,"WA","Washington",4113331,19098,225,2169,,5558,11146,265338,76598,172468,16272,""
1980,"WI","Wisconsin",4680917,8546,136,697,,3310,4403,216073,50524,154070,11479,""
1980,"WV","West Virginia",1930787,3547,138,306,,936,2167,45719,14258,27606,3855,""
1980,"WY","Wyoming",468954,1841,29,134,,208,1470,21543,4238,15686,1619,""
1981,"","",229465714,1361820,22520,82500,,592910,663900,12061900,3779700,7194400,1087800,""
1981,"AK","Alaska",412000,2537,60,421,,472,1584,24634,5479,16310,2845,""
1981,"AL","Alabama",3916000,18423,465,1021,,4952,11985,173411,56811,105471,11129,""
1981,"AR","Arkansas",2294000,7119,209,577,,1776,4557,79972,24732,50959,4281,""
1981,"AZ","Arizona",2793000,16082,227,1064,,4961,9830,196575,57655,127469,11451,""
1981,"CA","California",24159000,208485,3143,13566,,93781,97995,1625302,540806,921939,162557,""
1981,"CO","Colorado",2963000,15755,239,1352,,4726,9438,202119,60197,129658,12264,""
1981,"CT","Connecticut",3132000,14033,168,687,,7709,5469,168790,52990,96927,18873,""
1981,"DC","District of Columbia",636000,14468,223,414,,10399,3432,53442,16832,32845,3765,""
1981,"DE","Delaware",598000,3044,40,170,,844,1990,36958,9627,24759,2572,""
1981,"FL","Florida",10166000,98109,1522,5707,,35473,55407,718470,241536,431222,45712,""
1981,"GA","Georgia",5569000,30527,960,2362,,10938,16267,282926,93121,171170,18635,""
1981,"HI","Hawaii",979000,2424,47,340,,1453,584,61636,16726,40699,4211,""
1981,"IA","Iowa",2897000,5915,76,389,,1554,3896,130723,30925,93333,6465,""
1981,"ID","Idaho",959000,2717,43,198,,362,2114,40733,11255,27423,2055,""
1981,"IL","Illinois",11455000,90781,1205,3716,,42752,43108,609767,173142,366696,69929,""
1981,"IN","Indiana",5466000,18672,388,1616,,7050,9618,229472,63887,147038,18547,""
1981,"KS","Kansas",2381000,8796,151,733,,2611,5301,119880,36768,77039,6073,""
1981,"KY","Kentucky",3661000,10599,308,766,,3687,5838,118690,38893,71194,8603,""
1981,"LA","Louisiana",4305000,27478,673,1782,,8698,16325,199295,61756,121955,15584,""
1981,"MA","Massachusetts",5770000,36273,210,1580,,15633,18850,300428,95080,147691,57657,""
1981,"MD","Maryland",4261000,37800,421,1654,,18085,17640,241625,70740,152405,18480,""
1981,"ME","Maine",1132000,2214,36,145,,368,1665,45820,14081,29545,2194,""
1981,"MI","Michigan",9201000,59058,861,4366,,23688,30143,571582,171331,341805,58446,""
1981,"MN","Minnesota",4090000,9344,85,1056,,4266,3937,184387,52253,121834,10300,""
1981,"MO","Missouri",4938000,26675,516,1465,,10629,14065,237575,78173,140567,18835,""
1981,"MS","Mississippi",2530000,7706,319,658,,2059,4670,81789,29614,47587,4588,""
1981,"MT","Montana",792000,2004,27,175,,302,1500,37746,7651,27874,2221,""
1981,"NC","North Carolina",5951000,25986,541,1351,,4809,19285,243012,79545,151679,11788,""
1981,"ND","North Dakota",658000,444,15,57,,85,287,19237,3294,14859,1084,""
1981,"NE","Nebraska",1576000,2861,49,323,,1115,1374,62977,14383,45324,3270,""
1981,"NH","New Hampshire",935000,1375,27,154,,335,859,39034,11090,25692,2252,""
1981,"NJ","New Jersey",7401000,46674,542,2374,,24761,18997,410693,128274,231846,50573,""
1981,"NM","New Mexico",1327000,8913,151,628,,1868,6266,73369,21405,47252,4712,""
1981,"NV","Nevada",845000,7575,148,548,,3870,3009,65027,23046,36955,5026,""
1981,"NY","New York",17594000,188178,2166,5479,,120344,60189,1026757,350422,539486,136849,""
1981,"OH","Ohio",10776000,53509,799,3339,,25529,23842,533498,160951,326770,45777,""
1981,"OK","Oklahoma",3098000,13223,279,1091,,3574,8279,136637,49220,74460,12957,""
1981,"OR","Oregon",2647000,12671,117,1105,,4780,6669,173596,52067,112518,9011,""
1981,"PA","Pennsylvania",11864000,44104,729,2662,,22137,18576,392872,122372,226701,43799,""
1981,"RI","Rhode Island",952000,4205,40,170,,1257,2738,51504,15755,27525,8224,""
1981,"SC","South Carolina",3166000,20275,330,1148,,3805,14992,148127,50520,88887,8720,""
1981,"SD","South Dakota",685000,718,12,79,,122,505,19922,4348,14587,987,""
1981,"TN","Tennessee",4610000,19019,448,1735,,7916,8920,179737,63811,100526,15400,""
1981,"TX","Texas",14755000,78560,2446,6821,,28528,40765,814163,275978,454879,83306,""
1981,"UT","Utah",1516000,4527,50,431,,1286,2760,82643,19326,58855,4462,""
1981,"VA","Virginia",5426000,17456,464,1478,,7229,8285,235984,63350,161678,10956,""
1981,"VT","Vermont",515000,659,22,170,,142,325,25404,8033,15860,1511,""
1981,"WA","Washington",4212000,18839,213,2115,,5475,11036,265135,79696,171994,13445,""
1981,"WI","Wisconsin",4739000,8904,161,745,,3249,4749,216997,50813,155892,10292,""
1981,"WV","West Virginia",1951000,3410,118,289,,979,2024,47681,15122,28884,3675,""
1981,"WY","Wyoming",492000,2116,27,174,,206,1709,23133,4728,16972,1433,""
1982,"","",231664458,1322390,21010,78770,,553130,669480,11652000,3447100,7142500,1062400,""
1982,"AK","Alaska",438000,2732,81,374,,586,1691,24479,5204,16672,2603,""
1982,"AL","Alabama",3943000,17653,417,1026,,4417,11793,165048,49531,104740,10777,""
1982,"AR","Arkansas",2291000,7438,187,622,,1805,4824,81259,24547,52450,4262,""
1982,"AZ","Arizona",2860000,14785,236,1100,,4537,8912,189161,53861,124723,10577,""
1982,"CA","California",24724000,201429,2779,12529,,91988,94133,1599827,499466,935831,164530,""
1982,"CO","Colorado",3045000,15354,182,1356,,4587,9229,200230,53260,134873,12097,""
1982,"CT","Connecticut",3153000,12597,164,692,,6574,5167,158532,44481,96640,17411,""
1982,"DC","District of Columbia",631000,13397,194,421,,9137,3645,52295,14774,33435,4086,""
1982,"DE","Delaware",602000,3370,32,186,,737,2415,35067,8698,23891,2478,""
1982,"FL","Florida",10416000,93411,1409,5587,,31002,55413,684166,211932,427462,44772,""
1982,"GA","Georgia",5639000,26963,713,2242,,8716,15292,267097,84469,165049,17579,""
1982,"HI","Hawaii",994000,2542,31,342,,1560,609,62906,16477,42248,4181,""
1982,"IA","Iowa",2905000,5018,67,362,,1051,3538,115148,27535,82568,5045,""
1982,"ID","Idaho",965000,2501,24,160,,292,2025,36902,9958,25256,1688,""
1982,"IL","Illinois",11448000,88644,1005,3424,,39700,44515,579954,157273,354106,68575,""
1982,"IN","Indiana",5471000,16444,355,1521,,5966,8602,225894,59569,148454,17871,""
1982,"KS","Kansas",2408000,8088,138,596,,2095,5259,111156,32382,73416,5358,""
1982,"KY","Kentucky",3667000,11550,355,734,,3568,6893,119304,37736,73020,8548,""
1982,"LA","Louisiana",4362000,29185,698,1740,,9275,17472,202489,62151,125701,14637,""
1982,"MA","Massachusetts",5781000,33031,219,1464,,12359,18989,285140,82212,146933,55995,""
1982,"MD","Maryland",4265000,36254,432,1596,,15377,18849,220174,60547,142903,16724,""
1982,"ME","Maine",1133000,1847,24,152,,345,1326,41884,11862,27863,2159,""
1982,"MI","Michigan",9109000,59806,827,4246,,24699,30034,558195,165155,330031,63009,""
1982,"MN","Minnesota",4133000,9062,95,938,,4188,3841,175048,48855,116375,9818,""
1982,"MO","Missouri",4951000,25078,479,1283,,9554,13762,219888,68881,134383,16624,""
1982,"MS","Mississippi",2551000,7515,358,675,,1863,4619,83622,30200,49504,3918,""
1982,"MT","Montana",801000,1801,31,119,,265,1386,32908,6759,24079,2070,""
1982,"NC","North Carolina",6019000,26865,545,1322,,5168,19830,246593,78787,156701,11105,""
1982,"ND","North Dakota",670000,414,5,66,,85,258,17328,3074,13314,940,""
1982,"NE","Nebraska",1586000,3641,31,329,,982,2299,59019,12867,43331,2821,""
1982,"NH","New Hampshire",951000,1187,21,154,,322,690,35229,8987,24115,2127,""
1982,"NJ","New Jersey",7438000,45175,482,2149,,22880,19664,377016,106418,223978,46620,""
1982,"NM","New Mexico",1359000,9982,158,656,,1715,7453,79816,22135,53402,4279,""
1982,"NV","Nevada",881000,7096,120,542,,3697,2737,62512,21256,36279,4977,""
1982,"NY","New York",17659000,174833,2013,5159,,107843,59818,967369,295245,534244,137880,""
1982,"OH","Ohio",10791000,47126,676,3223,,19809,23418,485468,141316,302962,41190,""
1982,"OK","Oklahoma",3177000,14103,344,1180,,4218,8361,151814,50956,85326,15532,""
1982,"OR","Oregon",2649000,12529,136,1057,,4433,6903,161444,47410,106061,7973,""
1982,"PA","Pennsylvania",11865000,42767,678,2448,,20806,18835,366903,106867,220623,39413,""
1982,"RI","Rhode Island",958000,3849,35,186,,1099,2529,47539,13414,27077,7048,""
1982,"SC","South Carolina",3203000,23061,348,1242,,3921,17550,148657,47752,92009,8896,""
1982,"SD","South Dakota",691000,684,19,79,,118,468,17592,3885,12889,818,""
1982,"TN","Tennessee",4651000,19586,452,1651,,8173,9310,185692,59934,110316,15442,""
1982,"TX","Texas",15280000,88178,2466,6816,,33618,45278,874799,285967,501727,87105,""
1982,"UT","Utah",1554000,4440,53,369,,1344,2674,78451,17202,57341,3908,""
1982,"VA","Virginia",5491000,16970,405,1366,,6708,8491,216713,53457,153148,10108,""
1982,"VT","Vermont",516000,655,12,180,,119,344,23555,6080,16160,1315,""
1982,"WA","Washington",4245000,17251,185,1947,,5003,10116,249429,71322,166188,11919,""
1982,"WI","Wisconsin",4765000,9077,148,680,,3393,4856,202447,46564,147177,8706,""
1982,"WV","West Virginia",1948000,3405,102,302,,970,2031,45514,13985,27962,3567,""
1982,"WY","Wyoming",502000,1527,46,136,,172,1173,22589,4432,16903,1254,""
1983,"","",233791994,1258087,19308,78918,,506567,653294,10850543,3129851,6712759,1007933,""
1983,"AK","Alaska",479000,2940,66,486,,465,1923,25889,5720,17085,3084,""
1983,"AL","Alabama",3959000,16471,364,931,,3895,11281,145890,42485,94279,9126,""
1983,"AR","Arkansas",2328000,6930,178,586,,1614,4552,74563,22380,48140,4043,""
1983,"AZ","Arizona",2963000,14642,213,1241,,3923,9265,174740,49440,114721,10579,""
1983,"CA","California",25174000,194491,2639,12093,,85826,93933,1486487,460460,867123,158904,""
1983,"CO","Colorado",3139000,14955,202,1316,,3968,9469,193070,48101,133271,11698,""
1983,"CT","Connecticut",3138000,11767,129,627,,6296,4715,144437,39988,89421,15028,""
1983,"DC","District of Columbia",623000,11933,183,406,,7698,3646,45843,12483,29405,3955,""
1983,"DE","Delaware",606000,2746,25,229,,699,1793,30378,7414,20908,2056,""
1983,"FL","Florida",10680000,88292,1199,5170,,28126,53797,635934,191902,400796,43236,""
1983,"GA","Georgia",5732000,26179,483,2021,,8267,15408,232062,72614,143398,16050,""
1983,"HI","Hawaii",1023000,2579,57,301,,1330,891,56853,13636,38920,4297,""
1983,"IA","Iowa",2905000,5262,68,365,,1192,3637,108587,26599,77402,4586,""
1983,"ID","Idaho",989000,2361,35,181,,270,1875,35872,9206,24979,1687,""
1983,"IL","Illinois",11486000,83629,1112,3619,,36625,42273,552857,148445,339061,65351,""
1983,"IN","Indiana",5479000,15547,286,1509,,5474,8278,210725,54147,138929,17649,""
1983,"KS","Kansas",2425000,7919,137,627,,2038,5117,101928,28318,68735,4875,""
1983,"KY","Kentucky",3714000,11967,364,817,,3236,7550,115602,36286,71322,7994,""
1983,"LA","Louisiana",4438000,28444,629,1770,,8433,17612,194636,57359,123492,13785,""
1983,"MA","Massachusetts",5767000,33264,203,1495,,12023,19543,255707,72291,133883,49533,""
1983,"MD","Maryland",4304000,34736,367,1412,,14950,18007,195828,52697,127443,15688,""
1983,"ME","Maine",1146000,1829,24,193,,311,1301,40357,11415,27022,1920,""
1983,"MI","Michigan",9069000,64993,910,5085,,25873,33125,522450,153438,302118,66894,""
1983,"MN","Minnesota",4144000,7909,69,927,,3298,3615,159268,44571,106034,8663,""
1983,"MO","Missouri",4970000,23718,403,1330,,8346,13639,201418,60496,125140,15782,""
1983,"MS","Mississippi",2587000,7255,290,616,,1650,4699,75740,26479,45584,3677,""
1983,"MT","Montana",817000,1737,30,162,,192,1353,36208,7420,26918,1870,""
1983,"NC","North Carolina",6082000,24911,490,1332,,4840,18249,229540,72348,147068,10124,""
1983,"ND","North Dakota",680000,365,14,85,,53,213,17828,2967,13983,878,""
1983,"NE","Nebraska",1597000,3477,42,339,,796,2300,57012,12408,42026,2578,""
1983,"NH","New Hampshire",959000,1200,19,187,,231,763,30987,7882,21359,1746,""
1983,"NJ","New Jersey",7468000,41304,399,2266,,20086,18553,344296,92391,206778,45127,""
1983,"NM","New Mexico",1399000,9608,124,671,,1595,7218,79175,21813,53077,4285,""
1983,"NV","Nevada",891000,5838,114,457,,2737,2530,53871,17922,31749,4200,""
1983,"NY","New York",17667000,161489,1958,5296,,94783,59452,881322,249115,504346,127861,""
1983,"OH","Ohio",10746000,42759,600,3387,,17132,21640,441362,124179,280156,37027,""
1983,"OK","Oklahoma",3298000,13964,249,1247,,4245,8223,148599,49782,84085,14732,""
1983,"OR","Oregon",2662000,12986,109,1078,,4533,7266,153412,46472,98880,8060,""
1983,"PA","Pennsylvania",11895000,40782,583,2449,,20501,17249,339321,96425,205408,37488,""
1983,"RI","Rhode Island",955000,3392,26,160,,1078,2128,44410,12722,25463,6225,""
1983,"SC","South Carolina",3264000,20133,321,1144,,3425,15243,135590,42263,85501,7826,""
1983,"SD","South Dakota",700000,840,15,119,,111,595,16993,3820,12453,720,""
1983,"TN","Tennessee",4685000,18836,410,1682,,8094,8650,169110,56498,97785,14827,""
1983,"TX","Texas",15724000,80546,2239,6333,,29769,42205,848312,262198,503582,82532,""
1983,"UT","Utah",1619000,4144,56,403,,1041,2644,78715,16446,58453,3816,""
1983,"VA","Virginia",5550000,16236,387,1370,,6132,8347,203632,51055,142714,9863,""
1983,"VT","Vermont",525000,696,19,214,,146,317,21001,5724,14296,981,""
1983,"WA","Washington",4300000,15986,212,1923,,4533,9318,245357,70526,163953,10878,""
1983,"WI","Wisconsin",4751000,9070,131,861,,3415,4663,193118,41980,141434,9704,""
1983,"WV","West Virginia",1965000,3375,96,263,,869,2147,44158,13455,27134,3569,""
1983,"WY","Wyoming",514000,1219,30,110,,153,926,19412,3626,14932,854,""
1984,"","",235824902,1273282,18692,84233,,485008,685349,10608473,2984434,6591874,1032165,""
1984,"AK","Alaska",500000,3108,58,458,,547,2045,27468,6184,18140,3144,""
1984,"AL","Alabama",3990000,17204,374,1002,,3833,11995,138487,39970,89198,9319,""
1984,"AR","Arkansas",2349000,7549,176,697,,1587,5089,71554,20810,46807,3937,""
1984,"AZ","Arizona",3053000,15756,238,1316,,4003,10199,182670,52327,118604,11739,""
1984,"CA","California",25622000,195589,2717,11702,,83924,97246,1461731,443094,857328,161309,""
1984,"CO","Colorado",3178000,14548,184,1238,,3623,9503,191104,49619,128859,12626,""
1984,"CT","Connecticut",3154000,12422,122,759,,6009,5532,133573,35607,84630,13336,""
1984,"DC","District of Columbia",623000,10725,175,366,,6087,4097,42799,10954,27471,4374,""
1984,"DE","Delaware",613000,2671,25,300,,711,1635,28021,6678,19747,1596,""
1984,"FL","Florida",10976000,95270,1264,5570,,30311,58125,653429,198446,408153,46830,""
1984,"GA","Georgia",5837000,27935,546,2356,,8414,16619,234621,70310,147251,17060,""
1984,"HI","Hawaii",1039000,2409,34,314,,1204,857,54573,12609,38329,3635,""
1984,"IA","Iowa",2910000,5781,59,375,,1114,4233,104785,25357,74818,4610,""
1984,"ID","Idaho",1001000,2355,34,187,,244,1890,34398,8751,24138,1509,""
1984,"IL","Illinois",11511000,83441,1033,3594,,34965,43849,527124,135068,324649,67407,""
1984,"IN","Indiana",5498000,16781,303,1372,,5435,9671,199258,51019,128941,19298,""
1984,"KS","Kansas",2438000,8147,89,669,,1745,5644,97646,25577,67028,5041,""
1984,"KY","Kentucky",3723000,10342,244,826,,2631,6641,99803,29234,63860,6709,""
1984,"LA","Louisiana",4462000,30251,575,1864,,8501,19311,197778,54711,129348,13719,""
1984,"MA","Massachusetts",5798000,30362,211,1627,,10122,18402,235675,63756,123214,48705,""
1984,"MD","Maryland",4349000,34455,354,1640,,13097,19364,192325,51484,123567,17274,""
1984,"ME","Maine",1156000,1832,20,155,,305,1352,38944,10267,26811,1866,""
1984,"MI","Michigan",9075000,68979,879,5880,,27832,34388,525979,149209,298192,78578,""
1984,"MN","Minnesota",4162000,8802,74,1051,,2960,4717,151082,41242,101240,8600,""
1984,"MO","Missouri",5008000,23071,358,1325,,7053,14335,192123,55863,119749,16511,""
1984,"MS","Mississippi",2598000,7326,252,715,,1572,4787,72169,25464,42952,3753,""
1984,"MT","Montana",824000,1958,36,170,,226,1526,36380,7070,27080,2230,""
1984,"NC","North Carolina",6165000,24885,539,1330,,4612,18404,224437,69747,143700,10990,""
1984,"ND","North Dakota",686000,368,8,90,,53,217,17354,2738,13856,760,""
1984,"NE","Nebraska",1606000,3627,54,381,,693,2499,52526,10339,39875,2312,""
1984,"NH","New Hampshire",977000,1308,10,202,,227,869,29347,7190,20314,1843,""
1984,"NJ","New Jersey",7515000,39659,402,2446,,18218,18593,325231,79871,202181,43179,""
1984,"NM","New Mexico",1424000,9798,130,783,,1856,7029,79108,23349,51195,4564,""
1984,"NV","Nevada",911000,5726,98,553,,2542,2533,54045,18023,31508,4514,""
1984,"NY","New York",17735000,162157,1786,5599,,89900,64872,826969,222956,488621,115392,""
1984,"OH","Ohio",10752000,41430,551,3734,,15656,21489,418011,112887,266148,38976,""
1984,"OK","Oklahoma",3298000,13438,258,1315,,3668,8197,147917,47979,84844,15094,""
1984,"OR","Oregon",2674000,13533,128,1201,,4508,7696,153423,48755,96742,7926,""
1984,"PA","Pennsylvania",11901000,38154,538,2764,,17656,17196,325960,88517,196999,40444,""
1984,"RI","Rhode Island",962000,3220,33,205,,1091,1891,42706,11396,24654,6656,""
1984,"SC","South Carolina",3300000,20607,305,1329,,3408,15565,133270,40646,84753,7871,""
1984,"SD","South Dakota",706000,1041,13,190,,105,733,17403,3529,13102,772,""
1984,"TN","Tennessee",4717000,21010,394,1887,,7867,10862,162462,53002,92176,17284,""
1984,"TX","Texas",15989000,80737,2093,7343,,28540,42761,883391,266074,529518,87799,""
1984,"UT","Utah",1652000,4035,47,336,,958,2694,74703,14176,56782,3745,""
1984,"VA","Virginia",5636000,16660,434,1503,,5765,8958,196581,47436,138808,10337,""
1984,"VT","Vermont",530000,769,12,105,,122,530,20261,5387,14054,820,""
1984,"WA","Washington",4349000,17676,202,2176,,5247,10051,247687,74021,162905,10761,""
1984,"WI","Wisconsin",4766000,9367,117,790,,3167,5293,189484,39755,138526,11203,""
1984,"WV","West Virginia",1952000,3283,86,305,,744,2148,42313,12649,26296,3368,""
