charge_sort,match_sort,score_sort
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",85
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFLICERS USING A DANGEROUS WEAPON",99
ENTERING AND REMAINING IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,80
ACT OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,ACTS OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,99
ACT OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,ACT OF PHYSICAL VIOLENCE IN THE CAPITOL GROUNDS OR BUILDINGS,89
ACT OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,ACT OF PHYSICAL VIOLENCE WITHIN THE CAPITOL GROUNDS OR BUILDINGS,84
ACT OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,ENGAGE IN AN ACT OF PHYSICAL VIOLENCE IN A CAPITOL BUILDING,82
"PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL","PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS",90
"PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",90
POSSESSION OF A LARGE CAPACITY AMMUNITION FEEDING DEVICE,POSSESSION OF LARGE CAPACITY AMMUNITION FEEDING DEVICES,97
ENTERING AND REMAINING ON THE FLOOR OF CONGRESS,ENTERING AND REMAINING ON THE FLOOR OF CONGRESS,82
IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS,IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS AND AIDING AND ABETTING,84
KNOWLINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,ONE COUNT OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,93
VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,100
VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,VIOLENT ENTRY DISORDERLY CONDUCT ON CAPITOL GROUNDS,96
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS AND CARRYING A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,91
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS AND CARRYING A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,84
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS AND CARRYING A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,81
"PARADING, DEMONSTRATING, AND PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",94
"PARADING, DEMONSTRATING, AND PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",94
"PARADING, DEMONSTRATING, AND PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, O RPICKETING IN A CAPITOL BUILDING",94
DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,DISORDERLY CONDUCT ON GROUNDS OR IN A CAPITOL BUILDING,97
DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,DISORDERLY CONDUCT IN A THE CAPITOL GROUNDS OR BUILDINGS,95
DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDING,94
DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,DISORDERLY CONDUCT IN THE CAPITOL GROUNDS OR BUILDINGS,93
UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY ON RESTRICTED BUILDINGS OR GROUNDS,99
UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY TO RESTRICTED BUILDING OR GROUNDS,94
UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY ON RESTRICTED GROUNDS,86
"PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",100
"PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",100
"PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, O RPICKETING IN A CAPITOL BUILDING",98
"PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS",97
AIDING AND ABETTING,AIDING AND AIDING,83
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,94
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,90
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,82
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,94
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,94
ENTERING AND REMAINING IN A RESTRICTED BUILDING,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,88
VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,92
VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,90
VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING,86
UNLAWFUL ENTRY OF A RESTRICTED BUILDING,UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS,83
UNLAWFUL ENTRY OF A RESTRICTED BUILDING,UNLAWFUL ENTRY TO RESTRICTED BUILDING OR GROUNDS,83
UNLAWFUL ENTRY OF A RESTRICTED BUILDING,UNLAWFUL ENTRY ON RESTRICTED BUILDINGS OR GROUNDS,82
DESTRUCTION OF GOVERNMENT PROPERTY AND AIDING AND ABETTING,THEFT OF GOVERNMENT PROPERTY AND AIDING AND ABETTING,84
DISORDERLY CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY CONDUCT IN RESTRICTED BUILDING OR GROUNDS,98
DISORDERLY CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,98
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTIN OFFICERS",99
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",85
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN PHYSICAL VIOLENCE IN RESTRICTED BUILDING OR GROUNDS,91
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN ACT OF PHYSICAL VIOLENCE IN ANY RESTRICTED BUILDING OR GROUNDS,87
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,84
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY AND PHYSICAL VIOLENCE ON RESTRICTED BUILDING OR GROUNDS,81
DESTRUCTION OF GOVERNMENT PROPERTY,DESTRUCTION OFGOVERNMENT PROPERTY,93
DESTRUCTION OF GOVERNMENT PROPERTY,ONE COUNT OF DESTRUCTION OF GOVERNMENT PROPERTY,84
DESTRUCTION OF GOVERNMENT PROPERTY,"DESTRUCTION OF GOVERNMENT PROPERTY EXCEEDING $1,000",81
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN PHYSICAL VIOLENCE IN RESTRICTED BUILDING OR GROUNDS,91
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN ACT OF PHYSICAL VIOLENCE IN ANY RESTRICTED BUILDING OR GROUNDS,87
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,84
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,UNLAWFUL ENTRY AND PHYSICAL VIOLENCE ON RESTRICTED BUILDING OR GROUNDS,81
UNLAWFUL POSSESSION OF A DANGEROUS WEAPON ON CAPITOL GROUNDS OR BUILDINGS,UNLAWFUL POSSESSION OF A FIREARM ON CAPITOL GROUNDS OR BUILDINGS,86
IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS AND AIDING AND ABETTING,IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS AND AIDING AND ABETTING,99
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,94
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,90
ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,81
UNLAWFUL POSSESSION OF A DANGEROUS WEAPON ON CAPITOL GROUNDS OR BUILDINGS,UNLAWFUL POSSESSION OF A DANGEROUS WEAPON ON CAPITOL GROUNDS OR BUILDINGS,91
UNLAWFUL POSSESSION OF A DANGEROUS WEAPON ON CAPITOL GROUNDS OR BUILDINGS,UNLAWFUL POSSESSION OF A FIREARM ON CAPITOL GROUNDS OR BUILDINGS,86
ACT OF PHYSICAL VIOLENCE IN THE CAPITOL GROUNDS OR BUILDINGS,ACT OF PHYSICAL VIOLENCE WITHIN THE CAPITOL GROUNDS OR BUILDINGS,92
ACT OF PHYSICAL VIOLENCE IN THE CAPITOL GROUNDS OR BUILDINGS,ACTS OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,88
"18 U.S.C. § 1752(A)(1) - KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY, 18 U.S.C. § 1752(A)(2) - KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS, 40 U.S.C. § 5104(E)(2)(D) & (G) - VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.","KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY. DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS, VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",80
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,98
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,ENTERNING OR AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,97
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,96
DISORDERLY CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,DISORDERLY CONDUCT IN RESTRICTED BUILDING OR GROUNDS,96
ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT ON THE CAPITOL BUILDINGS OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,83
ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT ON THE CAPITOL BUILDINGS OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS,82
ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT ON THE CAPITOL BUILDINGS OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,81
"PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",98
"PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS","PARADING, DEMONSTRATING, OR PICKETING IN THE CAPITOL BUILDINGS",97
ENTERING AND REMAINING IN A RESTRICTED BUILDING AND GROUNDS,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,94
ENTERING AND REMAINING IN A RESTRICTED BUILDING AND GROUNDS,ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,92
ENTERING AND REMAINING IN A RESTRICTED BUILDING AND GROUNDS,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,91
ENTERING AND REMAINING IN A RESTRICTED BUILDING AND GROUNDS,ENTERNING OR AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,91
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING AND GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,95
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING AND GROUNDS,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,94
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING AND GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,93
DISORDERLY AND DISRUPTIVE CONDUCT IN A CAPITOL BUILDING AND GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING AND GROUNDS,86
DISORDERLY AND DISRUPTIVE CONDUCT IN A CAPITOL BUILDING AND GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,83
DISORDERLY AND DISRUPTIVE CONDUCT IN A CAPITOL BUILDING AND GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,81
DISORDERLY AND DISRUPTIVE CONDUCT IN A CAPITOL BUILDING AND GROUNDS,DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,81
AND KNOWINGLY ENGAGES IN ANY PHYSICAL VIOLENCE AGAINST ANY PERSON OR PROPERTY IN ANY RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGES IN AN ACT OF PHYSICAL VIOLENCE AGAINST ANY PERSON OR PROPERTY IN ANY RESTRICTED BUILDING OR GROUNDS,95
OBSRTUCTION OF AN OFFICIAL PROCEEDING,OBSTRUCTION OF AN OFFICIAL PROCEEDING,97
OBSRTUCTION OF AN OFFICIAL PROCEEDING,OBSTRUCTING OF AN OFFICIAL PROCEEDING,95
OBSRTUCTION OF AN OFFICIAL PROCEEDING,OBSTRUCTION OF OFFICIAL PROCEEDINGS,92
ASSAULT OF FEDERAL LAW ENFORCEMENT OFFICER WITH DANGEROUS WEAPON,ASSAULT ON FEDERAL OFFICER WITH DANGEROUS WEAPON,80
UNLAWFUL ENTRY ON RESTRICTED GROUNDS,UNLAWFUL ENTRY TO RESTRICTED BUILDING OR GROUNDS,83
OBSTRUCTION OF CONGRESS,OBSTRUCTION OF JUSTICE/CONGRESS,85
ENTERING AND REMAINING IN THE GALLERY OF CONGRESS,ENTERING AND REMAINING IN THE GALLERY OF EITHER HOUSE OF CONGRESS,86
ENTERING AND REMAINING IN THE GALLERY OF CONGRESS,ENTERING AND REMAINING ON THE FLOOR OF CONGRESS,85
"PARADING, DEMONSTRATING, OR PICKETING A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",98
"PARADING, DEMONSTRATING, OR PICKETING A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",97
"PARADING, DEMONSTRATING, OR PICKETING A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",97
DISORDERLLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BUILDING,99
DISORDERLLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BULDING,98
DISORDERLLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN CAPITOL BUILDING,96
DISORDERLLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BUILDNIG,96
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,97
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,95
KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDINGS OR GROUNDS,94
VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,99
VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,99
VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,VIOLENT ENTRY DISORDERLY CONDUCT ON CAPITOL GROUNDS,95
VIOLENT ENTRY AND DISORDERLY CONDUCT IN CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUND,84
UNLAWFUL ENTRY ON RESTRICTED BUILDINGS OR GROUNDS,UNLAWFUL ENTRY TO RESTRICTED BUILDING OR GROUNDS,93
UNLAWFUL ENTRY ON RESTRICTED BUILDINGS OR GROUNDS,UNLAWFUL ENTRY ON RESTRICTED GROUNDS,85
AND ONE COUNT OF VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,AND VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,90
