charges_list,case_number
"KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY DISORDERLY AND DISRUPTIVE CONDUCT ON CAPITOL GROUNDS VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS PARADING, DEMONSTRATING OR PICETING IN A CAPITOL BUILDING",1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT ON CAPITOL GROUNDS OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER OBSTRUCTION OF JUSTICE/CONGRESS,1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS CLIMBING ON U.S. CAPITOL GROUNDS,1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS OBSTRUCTION OF AN OFFICIAL PROCEEDING AIDED AND ABETTED,1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS OBSTRUCTION OF ANY OFFICIAL PROCEEDING,1
"KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY. DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS, VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,1
UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS WHILE USING OR CARRYING A DEADLY OR DANGEROUS WEAPON,1
VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING,1
" DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
 AND THREE COUNTS OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,1
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS AND CARRYING A DEADLY OR DANGEROUS WEAPON,1
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,1
 AND OBSTRUCTING A LAW ENFORCEMENT OFFICER DURING A CIVIL DISORDER,1
 ENTERING AND REMAINING IN CERTAIN ROOMS IN THE CAPITOL BUILDING,1
 ENTERING AND REMAINING IN THE GALLERY OF CONGRESS,1
 ENTERING AND REMAINING ON THE FLOOR OF CONGRESS,1
 ENTERING AND REMAINING ON THE FLOOR OF CONGRESS,1
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,1
 IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS,1
 IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS AND AIDING AND ABETTING,1
 AND KNOWINGLY ENGAGES IN ANY PHYSICAL VIOLENCE AGAINST ANY PERSON OR PROPERTY IN ANY RESTRICTED BUILDING OR GROUNDS,1
 AIDING AND AIDING,1
 PARADING,1
 AIDING AND ABETTING THE COMMISSION OF THESE OFFENSES AGAINST THE UNITED STATES,1
 ACTS OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,1
 THEFT OF GOVERNMENT PROPERTY,1
 THEFT OF GOVERNMENT PROPERTY: ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,1
 UNLAWFUL POSSESSION OF A DANGEROUS WEAPON ON CAPITOL GROUNDS OR BUILDINGS,1
 VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,1
 ACT OF PHYSICAL VIOLENCE WITHIN THE CAPITOL GROUNDS OR BUILDINGS,1
" ACT OF PHYSICAL VIOLENCE IN THE CAPITOL GROUNDS OR BUILDINGS PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
 ENLERING AND REMAINING IN CERTAIN ROOMS IN THE CAPITOL BUILDING,1
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,1
UNLAWFUL POSSESSION OF A FIREARM ON CAPITOL GROUNDS OR BUILDINGS,1
 AND VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,1
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,1
VIOLENT ENTRY ON CAPITOL GROUNDS,1
" COMMITTED OR ATTEMPTED TO COMMIT ANY ACT TO OBSTRUCT, IMPEDE, OR INTERFERE WITH LAW ENFORCEMENT OFFICER LAWFULLY ENGAGED IN THE LAWFUL PERFORMANCE OF HIS OFFICIAL DUTIES INCIDENT TO AND DURING THE COMMISSION OF A CIVIL DISORDER WHICH IN ANY WAY OR DEGREE OBSTRUCTS, DELAYS, OR ADVERSELY AFFECTS COMMERCE OR THE MOVEMENT OF ANY ARTICLE OR COMMODITY IN COMMERCE OR THE CONDUCT OR PERFORMANCE OF ANY FEDERALLY PROTECTED FUNCTION.",1
 ASSAULTING AN OFFICER OF THE UNITED STATES WITH A DEADLY OR DANGEROUS WEAPON,1
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",1
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS AND AIDING AND ABETTING",1
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON",1
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFLICERS USING A DANGEROUS WEAPON",1
" COMMITTED OR ATTEMPT TO COMMIT ANY ACT TO OBSTRUCT, IMPEDE, OR INTERFERE WITH ANY FIREMAN OR LAW ENFORCEMENT OFFICER LAWFULLY ENGAGE IN THE LAWFUL PERFORMANCE OF HIS OFFICIAL DUTIES",1
 CIVIL DISORDER AND AIDING AND ABETTING,1
 CARRYING A PISTOL WITHOUT A LICENSE OUTSIDE HOME OR PLACE OF BUSINESS,1
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",1
 DESTRUCTION OFGOVERNMENT PROPERTY,1
 DI$ORDERLY CONDUCT IN A CAPITOL BUILDING,1
" ASSAULTING, RESISTING, OR IMPEDING CERTIN OFFICERS",1
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON, INFLICTING BODILY INJURY",1
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,1
 ASSAULTING A FEDERAL OFFICER WITH A DANGEROUS OR DEADLY WEAPON,1
" ASSAULTIN, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON",1
" DISORDERRY CONDUCT IN A CAPITOR BUIRDING: PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
 ASSAULT ON A FEDERAL LAW ENFORCEMENT OFFICER,1
ENTERING AND REMAINING IN ANY RESTRICTED BUILDING,1
"ENTERING AND REMAINING IN A RESTRICTED BUILDING AND GROUNDS DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING AND GROUNDS DISORDERLY AND DISRUPTIVE CONDUCT IN A CAPITOL BUILDING AND GROUNDS PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING",1
"ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS DISORDERLY CONDUCT IN A CAPITOL BUILDING PARADING, DEMONSTRATING, OR PICKETING A CAPITOL BUILDING",1
" PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS",1
 OR ATTEMPTS OR CONSPIRES TO DO SO,1
" PARADE, DEMONSTRATE, OR PICKET IN A CAPITOL BUILDING",1
 ENTERING/REMAINING ON RESTRICTED BUILDINGS OR GROUNDS & DISORDERLY/DISRUPTIVE CONDUCT IN OR NEAR RESTRICTED BUILDING OR GROUNDS,1
 PARADING OR DEMONSTRATING IN CAPITOL BUILDING,1
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,1
" PARADING, DEMONSTRATING, AND PICKETING IN A CAPITOL BUILDING",1
" PARADING, DEMONSTRATING, O RPICKETING IN A CAPITOL BUILDING",1
" PARADING, DEMONSTRATING, OR PICKETING A CAPITOL BUILDING",1
 ENTERING AND REMAINING IN THE GALLERY OF EITHER HOUSE OF CONGRESS,1
 ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,1
" PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
 ONE COUNT OF DESTRUCTION OF GOVERNMENT PROPERTY,1
" PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
 POSSESSION OF A LARGE CAPACITY AMMUNITION FEEDING DEVICE,1
 POSSESSION OF LARGE CAPACITY AMMUNITION FEEDING DEVICES,1
 POSSESSION OF UNREGISTERED AMMUNITION,1
 POSSESSION OF UNREGISTERED FIREARMS,1
 ENTERING AND REMAINING IN A RESTRICTED BUILDING AND GROUNDS,1
 RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,1
 ENTERING AND REMAINING,1
" STEAL, SELL, CONVEY OR DISPOSE OF ANYTHING OF VALUE OF THE UNITED STATES",1
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,1
 ENTERNING OR AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,1
 ONE COUNT OF ASSAULTING A FEDERAL OFFICER WITH A DANGEROUS WEAPON,1
 DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,1
 KNOWINGLY ENTERING AND REMAINING ON RESTRICTED GROUNDS WITHOUT LAWFUL AUTHORITY AND/OR ENGAGING IN DISORDERLY CONDUCT WITHIN PROXIMITY TO A RESTRICTED BUILDING TO IMPEDE OFFICIAL FUNCTIONS,1
 INTERSTATE THREATS TO INJURE OR KIDNAP,1
 KNOWINGLY ENGAGES IN AN ACT OF PHYSICAL VIOLENCE AGAINST ANY PERSON OR PROPERTY IN ANY RESTRICTED BUILDING OR GROUNDS,1
 KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,1
 KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,1
 KNOWINGLY ENGAGES IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,1
 KNOWINGLY ENGAGING IN ACT OF PHYSICAL VIOLENCE IN ANY RESTRICTED BUILDING OR GROUNDS,1
 KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN ANY RESTRICTED BUILDING OR GROUNDS,1
 KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING,1
 IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS AND AIDING AND ABETTING,1
 KNOWINGLY ENGAGING IN PHYSICAL VIOLENCE IN RESTRICTED BUILDING OR GROUNDS,1
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON AND AIDING AND ABETTING,1
" FORCIBLY ASSAULTED, RESISTED, OPPOSED, IMPEDED, INTIMIDATED, OR INTERFERED WITH ANY OFFICER OR EMPLOYEE OF THE UNITED STATES OR OF ANY AGENCY IN ANY BRANCH OF THE UNITED STATES GOVERNMENT (INCLUDING ANY MEMBER OF THE UNIFORMED SERVICES) WHILE ENGAGED IN OR ON ACCOUNT OF THE PERFORMANCE OF OFFICIAL DUTIES",1
