"数据年月"	,"贸易伙伴编码"	,"贸易伙伴名称"	,"注册地编码"	,"注册地名称"	,"商品编码"	,"商品名称"	,"第一数量"	,"第一计量单位"	,"第二数量"	,"第二计量单位"	,"美元"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"22752	"	,"千克	"	,"0	"	,"?	"	,"41,322	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"22752	"	,"千克	"	,"0	"	,"?	"	,"45,144	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"116397	"	,"千克	"	,"0	"	,"?	"	,"231,210	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"12077010	"	,"种用甜瓜子	"	,"422	"	,"千克	"	,"0	"	,"?	"	,"139,492	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"13021200	"	,"甘草液汁及浸膏	"	,"300	"	,"千克	"	,"0	"	,"?	"	,"1,632	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"13021200	"	,"甘草液汁及浸膏	"	,"9000	"	,"千克	"	,"0	"	,"?	"	,"53,500	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"13021200	"	,"甘草液汁及浸膏	"	,"9975	"	,"千克	"	,"0	"	,"?	"	,"52,468	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"13021200	"	,"甘草液汁及浸膏	"	,"41000	"	,"千克	"	,"0	"	,"?	"	,"238,780	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"13021990	"	,"其他植物液汁及浸膏	"	,"500	"	,"千克	"	,"0	"	,"?	"	,"61,500	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"13021990	"	,"其他植物液汁及浸膏	"	,"2700	"	,"千克	"	,"0	"	,"?	"	,"150,768	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"13021990	"	,"其他植物液汁及浸膏	"	,"3500	"	,"千克	"	,"0	"	,"?	"	,"389,510	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"492779	"	,"千克	"	,"0	"	,"?	"	,"411,467	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"222302	"	,"千克	"	,"0	"	,"?	"	,"185,622	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"161971	"	,"千克	"	,"0	"	,"?	"	,"135,245	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"323588	"	,"千克	"	,"0	"	,"?	"	,"237,834	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"270429	"	,"千克	"	,"0	"	,"?	"	,"198,764	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"162112	"	,"千克	"	,"0	"	,"?	"	,"119,152	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"233858	"	,"千克	"	,"0	"	,"?	"	,"171,884	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"180444	"	,"千克	"	,"0	"	,"?	"	,"144,126	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"388112	"	,"千克	"	,"0	"	,"?	"	,"329,892	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"440806	"	,"千克	"	,"0	"	,"?	"	,"374,682	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20081999	"	,"未列名制作或保藏的坚果及其他子仁	"	,"2727	"	,"千克	"	,"0	"	,"?	"	,"19,410	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"234000	"	,"千克	"	,"0	"	,"?	"	,"1,646,886	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"54000	"	,"千克	"	,"0	"	,"?	"	,"374,652	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"90000	"	,"千克	"	,"0	"	,"?	"	,"648,540	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"149000	"	,"千克	"	,"0	"	,"?	"	,"1,128,443	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"107000	"	,"千克	"	,"0	"	,"?	"	,"792,710	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"166000	"	,"千克	"	,"0	"	,"?	"	,"1,260,797	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"144000	"	,"千克	"	,"0	"	,"?	"	,"1,103,048	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"108000	"	,"千克	"	,"0	"	,"?	"	,"848,578	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"54000	"	,"千克	"	,"0	"	,"?	"	,"424,965	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"108000	"	,"千克	"	,"0	"	,"?	"	,"830,500	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"126000	"	,"千克	"	,"0	"	,"?	"	,"998,314	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"21069090	"	,"未列名食品	"	,"72000	"	,"千克	"	,"0	"	,"?	"	,"576,188	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"225400	"	,"千克	"	,"0	"	,"?	"	,"43,377	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"102000	"	,"千克	"	,"0	"	,"?	"	,"18,768	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"962700	"	,"千克	"	,"0	"	,"?	"	,"167,555	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"1086600	"	,"千克	"	,"0	"	,"?	"	,"247,276	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"885000	"	,"千克	"	,"0	"	,"?	"	,"232,890	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"1600000	"	,"千克	"	,"0	"	,"?	"	,"307,130	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"200000	"	,"千克	"	,"0	"	,"?	"	,"50,900	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"25301020	"	,"未膨胀的蛭石、珍珠岩石	"	,"5000000	"	,"千克	"	,"0	"	,"?	"	,"638,100	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"26219000	"	,"其他矿渣及矿灰，包括海藻灰（海草灰）	"	,"19600	"	,"千克	"	,"0	"	,"?	"	,"199,487	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"28151100	"	,"固体氢氧化钠	"	,"20000	"	,"千克	"	,"0	"	,"?	"	,"6,700	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"28151100	"	,"固体氢氧化钠	"	,"20000	"	,"千克	"	,"0	"	,"?	"	,"6,900	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"28151100	"	,"固体氢氧化钠	"	,"20000	"	,"千克	"	,"0	"	,"?	"	,"6,900	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"28271090	"	,"非肥料用氯化铵	"	,"40000	"	,"千克	"	,"0	"	,"?	"	,"11,600	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"28323000	"	,"硫代硫酸盐	"	,"39920	"	,"千克	"	,"0	"	,"?	"	,"20,359	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"28332100	"	,"硫酸镁	"	,"2841814	"	,"千克	"	,"0	"	,"?	"	,"391,417	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29053990	"	,"未列名二元醇	"	,"48000	"	,"千克	"	,"0	"	,"?	"	,"225,600	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29053990	"	,"未列名二元醇	"	,"160000	"	,"千克	"	,"0	"	,"?	"	,"728,000	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29053990	"	,"未列名二元醇	"	,"64000	"	,"千克	"	,"0	"	,"?	"	,"281,600	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29054990	"	,"其他多元醇	"	,"39000	"	,"千克	"	,"0	"	,"?	"	,"133,392	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29054990	"	,"其他多元醇	"	,"19000	"	,"千克	"	,"0	"	,"?	"	,"52,630	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29054990	"	,"其他多元醇	"	,"19000	"	,"千克	"	,"0	"	,"?	"	,"52,630	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224190	"	,"赖氨酸酯及盐	"	,"1	"	,"千克	"	,"0	"	,"?	"	,"1	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224190	"	,"赖氨酸酯及盐	"	,"1	"	,"千克	"	,"0	"	,"?	"	,"1	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224210	"	,"谷氨酸	"	,"18000	"	,"千克	"	,"0	"	,"?	"	,"21,631	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"126700	"	,"千克	"	,"0	"	,"?	"	,"667,135	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"190775	"	,"千克	"	,"0	"	,"?	"	,"1,111,074	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"332000	"	,"千克	"	,"0	"	,"?	"	,"1,650,233	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"99050	"	,"千克	"	,"0	"	,"?	"	,"724,889	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"192400	"	,"千克	"	,"0	"	,"?	"	,"999,184	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"61400	"	,"千克	"	,"0	"	,"?	"	,"338,697	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"56153	"	,"千克	"	,"0	"	,"?	"	,"331,062	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"106550	"	,"千克	"	,"0	"	,"?	"	,"642,640	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"76400	"	,"千克	"	,"0	"	,"?	"	,"455,925	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"118875	"	,"千克	"	,"0	"	,"?	"	,"772,910	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"129400	"	,"千克	"	,"0	"	,"?	"	,"885,015	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29224919	"	,"未列名氨基酸	"	,"100175	"	,"千克	"	,"0	"	,"?	"	,"392,096	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"52000	"	,"千克	"	,"0	"	,"?	"	,"325,800	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"58250	"	,"千克	"	,"0	"	,"?	"	,"419,695	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"51100	"	,"千克	"	,"0	"	,"?	"	,"361,261	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"100	"	,"千克	"	,"0	"	,"?	"	,"1,012	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"1000	"	,"千克	"	,"0	"	,"?	"	,"7,730	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"18100	"	,"千克	"	,"0	"	,"?	"	,"361,016	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"72000	"	,"千克	"	,"0	"	,"?	"	,"729,908	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"37500	"	,"千克	"	,"0	"	,"?	"	,"308,623	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"109000	"	,"千克	"	,"0	"	,"?	"	,"1,011,388	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29241990	"	,"其他无环酰胺及其衍生物以及它们的盐	"	,"72500	"	,"千克	"	,"0	"	,"?	"	,"742,675	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29329990	"	,"其他仅含有氧杂原子的杂环化合物	"	,"25	"	,"千克	"	,"0	"	,"?	"	,"795	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"317000	"	,"千克	"	,"0	"	,"?	"	,"2,064,810	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"79000	"	,"千克	"	,"0	"	,"?	"	,"745,446	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"213400	"	,"千克	"	,"0	"	,"?	"	,"1,883,820	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"20000	"	,"千克	"	,"0	"	,"?	"	,"218,790	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"100000	"	,"千克	"	,"0	"	,"?	"	,"850,228	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"119000	"	,"千克	"	,"0	"	,"?	"	,"1,009,250	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"1006	"	,"千克	"	,"0	"	,"?	"	,"12,872	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"100000	"	,"千克	"	,"0	"	,"?	"	,"775,000	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"62800	"	,"千克	"	,"0	"	,"?	"	,"472,121	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"201000	"	,"千克	"	,"0	"	,"?	"	,"1,526,800	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"227500	"	,"千克	"	,"0	"	,"?	"	,"1,653,674	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29339900	"	,"未列名仅含有氮杂原子的杂环化合物	"	,"67000	"	,"千克	"	,"0	"	,"?	"	,"506,300	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"100	"	,"千克	"	,"0	"	,"?	"	,"149,350	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"150	"	,"千克	"	,"0	"	,"?	"	,"178,028	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"100	"	,"千克	"	,"0	"	,"?	"	,"118,870	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"250	"	,"千克	"	,"0	"	,"?	"	,"327,225	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"100	"	,"千克	"	,"0	"	,"?	"	,"118,942	"	,
"202110	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"100	"	,"千克	"	,"0	"	,"?	"	,"118,341	"	,
"202111	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"150	"	,"千克	"	,"0	"	,"?	"	,"176,602	"	,
"202112	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29372311	"	,"孕马结合雌激素	"	,"150	"	,"千克	"	,"0	"	,"?	"	,"176,602	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29389090	"	,"其他苷及其盐、醚、酯和其他衍生物	"	,"1200	"	,"千克	"	,"0	"	,"?	"	,"142,956	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29389090	"	,"其他苷及其盐、醚、酯和其他衍生物	"	,"2000	"	,"千克	"	,"0	"	,"?	"	,"179,400	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29389090	"	,"其他苷及其盐、醚、酯和其他衍生物	"	,"1000	"	,"千克	"	,"0	"	,"?	"	,"101,793	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29389090	"	,"其他苷及其盐、醚、酯和其他衍生物	"	,"1000	"	,"千克	"	,"0	"	,"?	"	,"111,130	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29389090	"	,"其他苷及其盐、醚、酯和其他衍生物	"	,"4100	"	,"千克	"	,"0	"	,"?	"	,"364,347	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29411099	"	,"其他青霉素和有其结构的青霉素衍生物及其盐	"	,"2500	"	,"千克	"	,"0	"	,"?	"	,"52,000	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29411099	"	,"其他青霉素和有其结构的青霉素衍生物及其盐	"	,"5000	"	,"千克	"	,"0	"	,"?	"	,"128,000	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"29411099	"	,"其他青霉素和有其结构的青霉素衍生物及其盐	"	,"5000	"	,"千克	"	,"0	"	,"?	"	,"128,000	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"32030019	"	,"其他植物质着色料及以其为基本成分的制品	"	,"16200	"	,"千克	"	,"0	"	,"?	"	,"516,842	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"32041700	"	,"颜料及以其为基本成分的制品	"	,"2000	"	,"千克	"	,"0	"	,"?	"	,"120,500	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"32041700	"	,"颜料及以其为基本成分的制品	"	,"3000	"	,"千克	"	,"0	"	,"?	"	,"172,850	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"32041990	"	,"未列名有机合成着色料及以其为基本成分制品	"	,"2160	"	,"千克	"	,"0	"	,"?	"	,"51,840	"	,
