,iso,name,category,abortion_rights_high,abortion_rights_low,abortion_rights_text,Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
67,DEU,Germany,1352,5,1,Permitted with varying gestational limits,Germany,DEU,2017.0,7.0
68,GHA,Ghana,1350,3,3,Permitted to protect health,Ghana,GHA,2017.0,308.0
69,GBR,Great Britain,1351,4,2,Permitted under broad socioeconomic grounds,United Kingdom,GBR,2017.0,7.0
70,GRC,Greece,1352,5,1,Permitted with varying gestational limits,Greece,GRC,2017.0,3.0
71,GRL,Greenland,1352,5,1,Permitted with varying gestational limits,,,,
72,GRD,Grenada,1350,3,3,Permitted to protect health,Grenada,GRD,2017.0,25.0
73,GTM,Guatemala,1349,2,4,Permitted to protect life of pregnant person,Guatemala,GTM,2017.0,95.0
74,GIN,Guinea,1350,3,3,Permitted to protect health,Guinea,GIN,2017.0,576.0
75,GNB,Guinea-Bissau,1352,5,1,Permitted with varying gestational limits,Guinea-Bissau,GNB,2017.0,667.0
76,GUY,Guyana,1352,5,1,Permitted with varying gestational limits,Guyana,GUY,2017.0,169.0
77,HTI,Haiti,1348,1,5,Prohibited broadly,Haiti,HTI,2017.0,480.0
78,HND,Honduras,1348,1,5,Prohibited broadly,Honduras,HND,2017.0,65.0
79,HKG,Hong Kong,1351,4,2,Permitted under broad socioeconomic grounds,,,,
80,HUN,Hungary,1352,5,1,Permitted with varying gestational limits,Hungary,HUN,2017.0,12.0
81,ISL,Iceland,1352,5,1,Permitted with varying gestational limits,Iceland,ISL,2017.0,4.0
82,IND,India,1351,4,2,Permitted under broad socioeconomic grounds,India,IND,2017.0,145.0
83,IDN,Indonesia,1349,2,4,Permitted to protect life of pregnant person,Indonesia,IDN,2017.0,177.0
84,IRN,Iran,1349,2,4,Permitted to protect life of pregnant person,Iran,IRN,2017.0,16.0
85,IRQ,Iraq,1348,1,5,Prohibited broadly,Iraq,IRQ,2017.0,79.0
86,IRL,Ireland,1352,5,1,Permitted with varying gestational limits,Ireland,IRL,2017.0,5.0
87,ISR,Israel,1350,3,3,Permitted to protect health,Israel,ISR,2017.0,3.0
88,ITA,Italy,1352,5,1,Permitted with varying gestational limits,Italy,ITA,2017.0,2.0
89,JAM,Jamaica,1348,1,5,Prohibited broadly,Jamaica,JAM,2017.0,80.0
90,JPN,Japan,1351,4,2,Permitted under broad socioeconomic grounds,Japan,JPN,2017.0,5.0
91,JOR,Jordan,1350,3,3,Permitted to protect health,Jordan,JOR,2017.0,46.0
92,KAZ,Kazakhstan,1352,5,1,Permitted with varying gestational limits,Kazakhstan,KAZ,2017.0,10.0
93,KEN,Kenya,1350,3,3,Permitted to protect health,Kenya,KEN,2017.0,342.0
94,KIR,Kiribati,1349,2,4,Permitted to protect life of pregnant person,Kiribati,KIR,2017.0,92.0
95,KOS,Kosovo,1352,5,1,Permitted with varying gestational limits,,,,
96,KWT,Kuwait,1350,3,3,Permitted to protect health,Kuwait,KWT,2017.0,12.0
97,KGZ,Kyrgyzstan,1352,5,1,Permitted with varying gestational limits,Kyrgyzstan,KGZ,2017.0,60.0
98,LAO,Lao People's Democratic Republic,1348,1,5,Prohibited broadly,Laos,LAO,2017.0,185.0
99,LVA,Latvia,1352,5,1,Permitted with varying gestational limits,Latvia,LVA,2017.0,19.0
100,LBN,Lebanon,1349,2,4,Permitted to protect life of pregnant person,Lebanon,LBN,2017.0,29.0
101,LSO,Lesotho,1350,3,3,Permitted to protect health,Lesotho,LSO,2017.0,544.0
102,LBR,Liberia,1350,3,3,Permitted to protect health,Liberia,LBR,2017.0,661.0
103,LBY,Libya,1349,2,4,Permitted to protect life of pregnant person,Libya,LBY,2017.0,72.0
104,LIE,Liechtenstein,1350,3,3,Permitted to protect health,,,,
105,LTU,Lithuania,1352,5,1,Permitted with varying gestational limits,Lithuania,LTU,2017.0,8.0
106,LUX,Luxembourg,1352,5,1,Permitted with varying gestational limits,Luxembourg,LUX,2017.0,5.0
107,MDG,Madagascar,1348,1,5,Prohibited broadly,Madagascar,MDG,2017.0,335.0
108,MWI,Malawi,1349,2,4,Permitted to protect life of pregnant person,Malawi,MWI,2017.0,349.0
109,MYS,Malaysia,1350,3,3,Permitted to protect health,Malaysia,MYS,2017.0,29.0
110,MDV,Maldives,1352,5,1,Permitted with varying gestational limits,Maldives,MDV,2017.0,53.0
111,MLI,Mali,1349,2,4,Permitted to protect life of pregnant person,Mali,MLI,2017.0,562.0
112,MLT,Malta,1348,1,5,Prohibited broadly,Malta,MLT,2017.0,6.0
113,MHL,Marshall Islands,1349,2,4,Permitted to protect life of pregnant person,,,,
114,MRT,Mauritania,1348,1,5,Prohibited broadly,Mauritania,MRT,2017.0,766.0
115,MUS,Mauritius,1350,3,3,Permitted to protect health,Mauritius,MUS,2017.0,61.0
116,MEX,Mexico,1349,2,4,Permitted to protect life of pregnant person,Mexico,MEX,2017.0,33.0
117,FSM,Micronesia,1349,2,4,Permitted to protect life of pregnant person,Micronesia (country),FSM,2017.0,88.0
118,MDA,Moldova,1352,5,1,Permitted with varying gestational limits,Moldova,MDA,2017.0,19.0
119,MCO,Monaco,1350,3,3,Permitted to protect health,,,,
120,MNG,Mongolia,1352,5,1,Permitted with varying gestational limits,Mongolia,MNG,2017.0,45.0
121,MNE,Montenegro,1352,5,1,Permitted with varying gestational limits,Montenegro,MNE,2017.0,6.0
122,MAR,Morocco,1350,3,3,Permitted to protect health,Morocco,MAR,2017.0,70.0
123,MOZ,Mozambique,1352,5,1,Permitted with varying gestational limits,Mozambique,MOZ,2017.0,289.0
124,MMR,Myanmar,1349,2,4,Permitted to protect life of pregnant person,Myanmar,MMR,2017.0,250.0
125,NAM,Namibia,1350,3,3,Permitted to protect health,Namibia,NAM,2017.0,195.0
126,NRU,Nauru,1350,3,3,Permitted to protect health,,,,
127,NPL,Nepal,1352,5,1,Permitted with varying gestational limits,Nepal,NPL,2017.0,186.0
128,NLD,Netherlands,1352,5,1,Permitted with varying gestational limits,Netherlands,NLD,2017.0,5.0
129,NCL,New Caledonia,1352,5,1,Permitted with varying gestational limits,,,,
130,NZL,New Zealand,1352,5,1,Permitted with varying gestational limits,New Zealand,NZL,2017.0,9.0
131,NIC,Nicaragua,1348,1,5,Prohibited broadly,Nicaragua,NIC,2017.0,98.0
132,NER,Niger,1350,3,3,Permitted to protect health,Niger,NER,2017.0,509.0
133,NGA,Nigeria,1349,2,4,Permitted to protect life of pregnant person,Nigeria,NGA,2017.0,917.0
134,MKD,North Macedonia,1352,5,1,Permitted with varying gestational limits,North Macedonia,MKD,2017.0,7.0
135,NIR,Northern Ireland,1352,5,1,Permitted with varying gestational limits,,,,
136,NOR,Norway,1352,5,1,Permitted with varying gestational limits,Norway,NOR,2017.0,2.0
137,OMN,Oman,1349,2,4,Permitted to protect life of pregnant person,Oman,OMN,2017.0,19.0
138,PAK,Pakistan,1350,3,3,Permitted to protect health,Pakistan,PAK,2017.0,140.0
139,PLW,Palau,1348,1,5,Prohibited broadly,,,,
140,PAN,Panama,1349,2,4,Permitted to protect life of pregnant person,Panama,PAN,2017.0,52.0
141,PNG,Papua New Guinea,1349,2,4,Permitted to protect life of pregnant person,Papua New Guinea,PNG,2017.0,145.0
142,PRY,Paraguay,1349,2,4,Permitted to protect life of pregnant person,Paraguay,PRY,2017.0,129.0
143,PER,Peru,1350,3,3,Permitted to protect health,Peru,PER,2017.0,88.0
144,PHL,Philippines,1348,1,5,Prohibited broadly,Philippines,PHL,2017.0,121.0
145,POL,Poland,1350,3,3,Permitted to protect health,Poland,POL,2017.0,2.0
146,PRT,Portugal,1352,5,1,Permitted with varying gestational limits,Portugal,PRT,2017.0,8.0
147,PRI,Puerto Rico,1352,5,1,Permitted with varying gestational limits,Puerto Rico,PRI,2017.0,21.0
148,QAT,Qatar,1350,3,3,Permitted to protect health,Qatar,QAT,2017.0,9.0
149,KOR,Republic of Korea,1352,5,1,Permitted with varying gestational limits,South Korea,KOR,2017.0,11.0
150,ROU,Romania,1352,5,1,Permitted with varying gestational limits,Romania,ROU,2017.0,19.0
151,RUS,Russian Federation,1352,5,1,Permitted with varying gestational limits,Russia,RUS,2017.0,17.0
152,RWA,Rwanda,1351,4,2,Permitted under broad socioeconomic grounds,Rwanda,RWA,2017.0,248.0
153,KNA,Saint Kitts & Nevis,1350,3,3,Permitted to protect health,,,,
154,LCA,Saint Lucia,1350,3,3,Permitted to protect health,Saint Lucia,LCA,2017.0,117.0
155,VCT,Saint Vincent & Grenadines,1351,4,2,Permitted under broad socioeconomic grounds,Saint Vincent and the Grenadines,VCT,2017.0,68.0
156,WSM,Samoa,1350,3,3,Permitted to protect health,Samoa,WSM,2017.0,43.0
157,SMR,San Marino,1348,1,5,Prohibited broadly,,,,
158,STP,Sao Tome & Principe,1352,5,1,Permitted with varying gestational limits,Sao Tome and Principe,STP,2017.0,130.0
159,SAU,Saudi Arabia,1350,3,3,Permitted to protect health,Saudi Arabia,SAU,2017.0,17.0
160,SEN,Senegal,1348,1,5,Prohibited broadly,Senegal,SEN,2017.0,315.0
161,SRB,Serbia,1352,5,1,Permitted with varying gestational limits,Serbia,SRB,2017.0,12.0
162,SYC,Seychelles,1350,3,3,Permitted to protect health,Seychelles,SYC,2017.0,53.0
163,SLE,Sierra Leone,1348,1,5,Prohibited broadly,Sierra Leone,SLE,2017.0,1120.0
164,SGP,Singapore,1352,5,1,Permitted with varying gestational limits,Singapore,SGP,2017.0,8.0
165,SVK,Slovak Republic,1352,5,1,Permitted with varying gestational limits,Slovakia,SVK,2017.0,5.0
166,SVN,Slovenia,1352,5,1,Permitted with varying gestational limits,Slovenia,SVN,2017.0,7.0
167,SLB,Solomon Islands,1349,2,4,Permitted to protect life of pregnant person,Solomon Islands,SLB,2017.0,104.0
168,SOM,Somalia,1349,2,4,Permitted to protect life of pregnant person,Somalia,SOM,2017.0,829.0
169,ZAF,South Africa,1352,5,1,Permitted with varying gestational limits,South Africa,ZAF,2017.0,119.0
170,SSD,South Sudan,1349,2,4,Permitted to protect life of pregnant person,South Sudan,SSD,2017.0,1150.0
171,ESP,Spain,1352,5,1,Permitted with varying gestational limits,Spain,ESP,2017.0,4.0
172,LKA,Sri Lanka,1349,2,4,Permitted to protect life of pregnant person,Sri Lanka,LKA,2017.0,36.0
173,SDN,Sudan,1349,2,4,Permitted to protect life of pregnant person,Sudan,SDN,2017.0,295.0
174,SUR,Suriname,1348,1,5,Prohibited broadly,Suriname,SUR,2017.0,120.0
175,SJM,Svalbard,1352,5,1,Permitted with varying gestational limits,,,,
176,SWE,Sweden,1352,5,1,Permitted with varying gestational limits,Sweden,SWE,2017.0,4.0
177,CHE,Switzerland,1352,5,1,Permitted with varying gestational limits,Switzerland,CHE,2017.0,5.0
178,SYR,Syria,1349,2,4,Permitted to protect life of pregnant person,Syria,SYR,2017.0,31.0
179,TWN,Taiwan,1351,4,2,Permitted under broad socioeconomic grounds,,,,
180,TJK,Tajikistan,1352,5,1,Permitted with varying gestational limits,Tajikistan,TJK,2017.0,17.0
181,TZA,Tanzania,1349,2,4,Permitted to protect life of pregnant person,Tanzania,TZA,2017.0,524.0
182,THA,Thailand,1352,5,1,Permitted with varying gestational limits,Thailand,THA,2017.0,37.0
183,TLS,Timor-Leste,1349,2,4,Permitted to protect life of pregnant person,Timor,TLS,2017.0,142.0
184,TGO,Togo,1350,3,3,Permitted to protect health,Togo,TGO,2017.0,396.0
185,TON,Tonga,1348,1,5,Prohibited broadly,Tonga,TON,2017.0,52.0
186,TTO,Trinidad & Tobago,1350,3,3,Permitted to protect health,Trinidad and Tobago,TTO,2017.0,67.0
187,TUN,Tunisia,1352,5,1,Permitted with varying gestational limits,Tunisia,TUN,2017.0,43.0
188,TUR,Turkey,1352,5,1,Permitted with varying gestational limits,Turkey,TUR,2017.0,17.0
189,TKM,Turkmenistan,1352,5,1,Permitted with varying gestational limits,Turkmenistan,TKM,2017.0,7.0
190,TUV,Tuvalu,1349,2,4,Permitted to protect life of pregnant person,,,,
191,UGA,Uganda,1349,2,4,Permitted to protect life of pregnant person,Uganda,UGA,2017.0,375.0
192,UKR,Ukraine,1352,5,1,Permitted with varying gestational limits,Ukraine,UKR,2017.0,19.0
193,ARE,United Arab Emirates,1349,2,4,Permitted to protect life of pregnant person,United Arab Emirates,ARE,2017.0,3.0
194,USA,United States,1352,5,1,Permitted with varying gestational limits,United States,USA,2017.0,19.0
195,URY,Uruguay,1352,5,1,Permitted with varying gestational limits,Uruguay,URY,2017.0,17.0
196,UZB,Uzbekistan,1352,5,1,Permitted with varying gestational limits,Uzbekistan,UZB,2017.0,29.0
197,VUT,Vanuatu,1350,3,3,Permitted to protect health,Vanuatu,VUT,2017.0,72.0
198,VEN,Venezuela,1349,2,4,Permitted to protect life of pregnant person,Venezuela,VEN,2017.0,125.0
199,VNM,Vietnam,1352,5,1,Permitted with varying gestational limits,Vietnam,VNM,2017.0,43.0
200,PSE,West Bank & Gaza Strip,1349,2,4,Permitted to protect life of pregnant person,Palestine,PSE,2017.0,27.0
201,ESH,Western Sahara,,0,0,0,,,,
202,YEM,Yemen,1349,2,4,Permitted to protect life of pregnant person,Yemen,YEM,2017.0,164.0
203,ZMB,Zambia,1351,4,2,Permitted under broad socioeconomic grounds,Zambia,ZMB,2017.0,213.0
204,ZWE,Zimbabwe,1350,3,3,Permitted to protect health,Zimbabwe,ZWE,2017.0,458.0
