countryname,iso,cat_num,Var1Class,gii,civil liberties,social rights/equality,democracy_cat,democracy_catnum,maternal mortality
Romania,ROU,1,C,0.276,0.718413515,0.571322286,Mid-range performing democracy,2,19
Russia,RUS,1,C,0.225,0.466369335,0.498633374,Hybrid Regime,4,17
Sao Tome and Principe,STP,1,C,0.537,,,,,130
Serbia,SRB,1,C,0.132,0.555338238,0.565287974,Hybrid Regime,4,12
Singapore,SGP,1,C,0.065,0.530888773,0.696691622,Hybrid Regime,4,8
Slovakia,SVK,1,C,0.191,0.791311826,0.660478934,Mid-range performing democracy,2,5
Slovenia,SVN,1,C,0.063,0.67383219,0.689218343,Mid-range performing democracy,2,7
South Africa,ZAF,1,C,0.406,0.722053294,0.459431222,Mid-range performing democracy,2,119
Spain,ESP,1,C,0.07,0.829654235,0.789867034,Mid-range performing democracy,2,4
Sweden,SWE,1,C,0.039,0.944873757,0.849805462,High performing democracy,1,4
Switzerland,CHE,1,C,0.025,0.897464882,0.832602074,High performing democracy,1,5
Tajikistan,TJK,1,C,0.314,0.346567613,0.195670462,Authoritarian Regime,5,17
Thailand,THA,1,C,0.359,0.435148041,0.466973037,Authoritarian Regime,5,37
Tunisia,TUN,1,C,0.296,0.682522941,0.610789103,Mid-range performing democracy,2,43
Turkey,TUR,1,C,0.306,0.367124515,0.347509693,Hybrid Regime,4,17
Turkmenistan,TKM,1,C,,0.27025987,0.319529362,Authoritarian Regime,5,7
Ukraine,UKR,1,C,0.234,0.621968955,0.558182146,Mid-range performing democracy,2,19
United States,USA,1,C,0.204,0.791210997,0.658450391,High performing democracy,1,19
Uruguay,URY,1,C,0.288,0.881001562,0.72453042,High performing democracy,1,17
Uzbekistan,UZB,1,C,0.288,0.448748122,0.416760982,Authoritarian Regime,5,29
Viet nam,VNM,1,C,0.296,0.417961001,0.487007895,Authoritarian Regime,5,43
Barbados,BRB,2,C,0.252,0.834485476,0.654829631,Mid-range performing democracy,2,27
Belize,BLZ,2,C,0.415,,,,,36
Ethiopia,ETH,2,C,0.517,0.564339974,0.347045177,Authoritarian Regime,5,401
Fiji,FJI,2,C,0.37,0.575151147,0.398836173,Weak democracy,3,34
Finland,FIN,2,C,0.047,0.904953352,0.919930312,High performing democracy,1,3
United Kingdom,GBR,2,C,0.118,0.808555009,0.670490262,High performing democracy,1,7
Hong Kong,,2,C,,,,,,
India,IND,2,C,0.488,0.529753758,0.399154372,Mid-range performing democracy,2,145
Japan,JPN,2,C,0.094,0.812402076,0.808148677,Mid-range performing democracy,2,5
Rwanda,RWA,2,C,0.402,0.406176817,0.350332989,Authoritarian Regime,5,248
St. Vincent and Grenadines,VCT,2,C,,,,,,68
Taiwan,,2,C,,0.833570452,0.840046158,Mid-range performing democracy,2,
Zambia,ZMB,2,C,0.539,0.561992942,0.345753688,Hybrid Regime,4,213
Algeria,DZA,3,B,0.429,0.47071006,0.483563582,Authoritarian Regime,5,112
Angola,AGO,3,B,0.536,0.542828982,0.327828783,Hybrid Regime,4,241
Bahamas,BHS,3,B,0.341,,,,,70
Benin,BEN,3,B,0.612,0.641594179,0.487868909,Hybrid Regime,4,397
Bolivia,BOL,3,B,0.417,0.564121606,0.500505382,Mid-range performing democracy,2,155
Botswana,BWA,3,B,0.465,0.729116411,0.582030691,Mid-range performing democracy,2,144
Burkina Faso,BFA,3,B,0.594,0.673507178,0.496495078,Weak democracy,3,320
Burundi,BDI,3,B,0.504,0.328569562,0.331529061,Authoritarian Regime,5,548
Cameroon,CMR,3,B,0.56,0.466748578,0.321081603,Authoritarian Regime,5,529
Central African Republic,CAF,3,B,0.68,0.546045938,0.237086541,Hybrid Regime,4,829
Chad,TCD,3,B,0.71,0.46275847,0.236643538,Authoritarian Regime,5,1140
Colombia,COL,3,B,0.428,0.592253472,0.384288034,Mid-range performing democracy,2,83
Comoros,COM,3,B,,,,,,273
Costa Rica,CRI,3,B,0.288,0.86506644,0.728951226,Mid-range performing democracy,2,27
Democratic Republic of the Congo,COD,3,B,0.617,0.514193937,0.26777681,Authoritarian Regime,5,473
Djibouti,DJI,3,B,,,,,,248
Ecuador,ECU,3,B,0.384,0.754383591,0.489419846,Mid-range performing democracy,2,59
Equatorial Guinea,GNQ,3,B,,0.365297396,0.249448524,Authoritarian Regime,5,301
Eritrea,ERI,3,B,,0.201068686,0.248067483,Authoritarian Regime,5,480
Eswatini,SWZ,3,B,0.567,0.425722409,0.361320834,Authoritarian Regime,5,437
Ghana,GHA,3,B,0.538,0.797549416,0.55917907,Weak democracy,3,308
Grenada,GRD,3,B,,,,,,25
Guinea,GIN,3,B,,0.513662975,0.282194273,Hybrid Regime,4,576
Israel,ISR,3,B,0.109,0.69355023,0.630251068,Mid-range performing democracy,2,3
Jordan,JOR,3,B,0.45,0.494734515,0.451405855,Hybrid Regime,4,46
Kenya,KEN,3,B,0.518,0.596455055,0.415759639,Mid-range performing democracy,2,342
Kuwait,KWT,3,B,0.242,0.511096931,0.459773058,Hybrid Regime,4,12
Lesotho,LSO,3,B,0.553,0.707094316,0.484568644,Mid-range performing democracy,2,544
Liberia,LBR,3,B,0.65,0.747240681,0.483906312,Weak democracy,3,661
Liechtenstein,LIE,3,B,,,,,,
Malaysia,MYS,3,B,0.253,0.550888948,0.470820387,Weak democracy,3,29
Mauritius,MUS,3,B,0.347,0.719129001,0.56831907,Mid-range performing democracy,2,61
Monaco,MCO,3,B,,,,,,
Morocco,MAR,3,B,0.454,0.561441903,0.489253641,Hybrid Regime,4,70
Namibia,NAM,3,B,0.44,0.790905417,0.428646696,Mid-range performing democracy,2,195
Nauru,NRU,3,B,,,,,,
Niger,NER,3,B,0.642,0.643504142,0.473148679,Hybrid Regime,4,509
Pakistan,PAK,3,B,0.538,0.501244493,0.436546885,Weak democracy,3,140
Peru,PER,3,B,0.395,0.772444736,0.456685662,Mid-range performing democracy,2,88
Poland,POL,3,B,0.115,0.667911038,0.698496208,Mid-range performing democracy,2,2
Qatar,QAT,3,B,0.185,0.403667542,0.361535735,Authoritarian Regime,5,9
Republic of Korea,KOR,3,B,0.064,0.784751625,0.727058868,Mid-range performing democracy,2,11
Saint Kitts and Nevis,KNA,3,B,,,,,,
Saint Lucia,LCA,3,B,0.401,,,,,117
Samoa,WSM,3,B,0.36,,,,,43
Saudi Arabia,SAU,3,B,0.252,0.284982832,0.325489088,Authoritarian Regime,5,17
Seychelles,SYC,3,B,,,,,,53
Togo,TGO,3,B,0.573,0.603065527,0.428080679,Hybrid Regime,4,396
Trinidad & Tobago,#N/A,3,B,,,,,,
Vanuatu,VUT,3,B,,,,,,72
Zimbabwe,ZWE,3,B,0.527,0.486741614,0.374163223,Authoritarian Regime,5,458
Afghanistan,AFG,4,B,0.655,0.585470243,0.265419839,Hybrid Regime,4,638
Antigua & Barbuda,#N/A,4,B,,,,,,
Bahrain,BHR,4,B,0.212,0.340077564,0.293757404,Authoritarian Regime,5,14
Bangladesh,BGD,4,B,0.537,0.462837303,0.280822763,Authoritarian Regime,5,173
Bhutan,BTN,4,B,0.421,,,,,183
Brazil,BRA,4,B,0.408,0.664827255,0.535923848,Mid-range performing democracy,2,60
Brunei Darussalam,BRN,4,B,0.255,,,,,31
Chile,CHL,4,B,0.247,0.791650586,0.554322883,Mid-range performing democracy,2,13
Côte d’Ivoire,#N/A,4,B,,,,,,
Dominica,DMA,4,B,,,,,,
Gabon,GAB,4,B,0.525,0.631689077,0.435870057,Hybrid Regime,4,252
Gambia,GMB,4,B,0.612,0.726319041,0.500603031,Weak democracy,3,597
Guatemala,GTM,4,B,0.479,0.626148908,0.30997574,Weak democracy,3,95
Indonesia,IDN,4,B,0.48,0.587986559,0.386941916,Weak democracy,3,177
Iran,IRN,4,B,,0.37788161,0.325026701,Authoritarian Regime,5,16
Kiribati,KIR,4,B,,,,,,92
Lebanon,LBN,4,B,0.411,0.604988453,0.410843865,Weak democracy,3,29
Libya,LBY,4,B,0.252,0.504342399,0.346437597,Authoritarian Regime,5,72
Malawi,MWI,4,B,0.565,0.702596844,0.389233729,Mid-range performing democracy,2,349
Mali,MLI,4,B,0.671,0.629360078,0.363643683,Hybrid Regime,4,562
Marshall Islands,MHL,4,B,,,,,,
Mexico,MEX,4,B,0.322,0.692622959,0.455739565,Mid-range performing democracy,2,33
Micronesia,#N/A,4,B,,,,,,
Myanmar,MMR,4,B,0.478,0.524429091,0.375287039,Weak democracy,3,250
Nigeria,NGA,4,B,,0.632859182,0.301417568,Weak democracy,3,917
Oman,OMN,4,B,0.306,0.436751233,0.37129862,Authoritarian Regime,5,19
Panama,PAN,4,B,0.407,0.734255348,0.515963057,Mid-range performing democracy,2,52
Papua New Guinea,PNG,4,B,0.725,0.712361252,0.296841079,Weak democracy,3,145
Paraguay,PRY,4,B,0.446,0.700547013,0.355794817,Weak democracy,3,129
Solomon Islands,SLB,4,B,,0.726883163,0.38690081,Weak democracy,3,104
Somalia,SOM,4,B,,0.428765292,0.206808309,Authoritarian Regime,5,829
South Sudan,SSD,4,B,,0.372407829,0.134816634,Authoritarian Regime,5,1150
Sri Lanka,LKA,4,B,0.401,0.539766282,0.447151899,Mid-range performing democracy,2,36
Sudan,SDN,4,B,0.545,0.547893733,0.233125552,Authoritarian Regime,5,295
Syria,SYR,4,B,,0.202551728,0.253475062,Authoritarian Regime,5,31
Tanzania,TZA,4,B,,0.51250722,0.471673497,Hybrid Regime,4,524
Timor-Leste,TLS,4,B,,0.711445807,0.40031345,Mid-range performing democracy,2,142
Tuvalu,TUV,4,B,,,,,,
Uganda,UGA,4,B,0.535,0.457145863,0.349508477,Authoritarian Regime,5,375
United Arab Emirates,ARE,4,B,,0.384973417,0.374590158,Authoritarian Regime,5,3
Venezuela,VEN,4,B,,0.409099103,0.464672153,Authoritarian Regime,5,125
Yemen,YEM,4,B,0.795,0.307976456,0.014194576,Authoritarian Regime,5,164
Andorra,AND,5,A,,,,,,
Aruba,ABW,5,A,,,,,,
Congo (Brazzaville),#N/A,5,A,,,,,,
Curaçao,#N/A,5,A,,,,,,
Dominican Republic,DOM,5,A,0.455,0.801408324,0.358342338,Mid-range performing democracy,2,95
Egypt,EGY,5,A,0.449,0.3573399,0.323632034,Authoritarian Regime,5,37
El Salvador,SLV,5,A,0.383,0.547885661,0.326662824,Weak democracy,3,46
Haiti,HTI,5,A,0.636,0.642436265,0.241650993,Hybrid Regime,4,480
Honduras,HND,5,A,0.423,0.674136803,0.40143609,Hybrid Regime,4,65
Iraq,IRQ,5,A,0.577,0.486047697,0.246737217,Weak democracy,3,79
Jamaica,JAM,5,A,0.396,0.849165596,0.668625058,Weak democracy,3,80
Laos,LAO,5,A,,0.30650973,0.366890776,Authoritarian Regime,5,185
Madagascar,MDG,5,A,,0.57995988,0.308836358,Weak democracy,3,335
Malta,MLT,5,A,0.175,,,,,6
Mauritania,MRT,5,A,0.634,0.577550475,0.217254157,Authoritarian Regime,5,766
Nicaragua,NIC,5,A,0.428,0.390062067,0.356303022,Authoritarian Regime,5,98
Palau,PLW,5,A,,,,,,
Philippines,PHL,5,A,0.43,0.553552176,0.432113789,Mid-range performing democracy,2,121
San Marino,SMR,5,A,,,,,,
Senegal,SEN,5,A,0.533,0.735973332,0.518851931,Weak democracy,3,315
Sierra Leone,SLE,5,A,0.644,0.702918597,0.443707507,Mid-range performing democracy,2,1120
Suriname,SUR,5,A,0.436,,,,,120
Tonga,TON,5,A,0.354,,,,,52
West Bank & Gaza Strip,#N/A,5,A,,,,,,
