State_Full,State_Abbr,Q1A,Q1B,Q1C,Q1D,Q1E,Q1F,Q2,Q2a,Q2a_OS,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q4A,Q4B,Q4C,Q5,Q5a_1,Q5a_2,Q5a_3,Q5a_3_OS,Q5a_RF,Q6,Q6a,Q7,Q7a,Q8,Q9,Q9a,Q10,Q10a_1,Q10a_2,Q10a_3,Q10a_3_OS,Q10a_RF,Q11A,Q11A1,Q11A2,Q11A3,Q11B,Q11B1,Q11B2,Q11B3,Q12,Q12a,Q13,Q13a,Q14_1,Q14_2,Q14_3,Q14_4,Q14_4_OS,Q14_RF,Q15,Q16A,Q16B,Q16C,Q16D,Q17A,Q17A1,Q17A2,Q17A3,Q17B,Q17B1,Q17B2,Q17B3,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_RF,Q20,Q20a,Q20b,Q20c_1,Q20c_2,Q20c_3,Q20c_4,Q20c_5,Q20c_6,Q20c_RF,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_RF,Q22,Q23,Q24
"INDIANA","IN",3,3,3,3,3,3,1,-100," ",3,1,1,1,1,1,4,4,1,1,1,0,0," ",0,1,1,2,-100,1,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,1,3,1,1,0,1,"By Mail",0,2,-100,1,-100,-100,-99,-100,-100,-100,3,-100,-100,10,3,0,0,1,0,0,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,0,0,4,1,1
"IOWA","IA",3,3,3,3,3,3,1,-100," ",4,1,1,4,1,1,4,4,1,1,1,0,0," ",0,1,1,1,1,2,2,-100,1,-100,-100,-100," ",-100,1,1,-100,-100,3,-100,-100,7,2,2,2,-100,1,1,0,1,"Mail or in-person",0,1,-100,1,-100,-100,1,1,-100,-100,3,-100,-100,7,3,0,0,1,1,0,0,1,2,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,3,4
"KANSAS","KS",3,3,3,3,3,3,1,-100," ",4,1,1,4,1,1,4,4,1,1,1,0,0," ",0,1,1,2,-100,2,2,-100,3,0,1,0," ",0,2,-100,1,-100,3,-100,-100,3,1,2,2,-100,1,1,0,1,"Mail service",0,2,-100,1,-100,-100,2,-100,1,-100,2,-100,1,-100,2,0,0,1,1,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,0,0,1,2,1
"KENTUCKY","KY",1,1,1,1,1,1,1,-100," ",2,3,3,1,1,1,4,4,4,1,1,0,0," ",0,1,2,2,-100,1,2,-100,1,-100,-100,-100," ",-100,1,1,-100,-100,2,-100,1,-100,2,1,2,-100,1,1,1,1,"Mail Service",0,1,-100,-100,1,-100,1,1,-100,-100,2,-100,1,-100,3,0,0,0,0,1,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,0,1,1,1,0,0,0,1,3,4
"LOUISIANA","LA",1,1,1,1,1,1,1,-100," ",3,1,1,1,1,1,3,3,1,1,1,0,1,"Dept of Corrections and Dept of Health",0,1,2,2,-100,1,2,-100,3,1,1,0," ",0,-99,-100,-100,-100,1,1,-100,-100,1,2,2,-100,1,1,1,1,"Mail",0,1,-100,-100,1,-100,-99,-100,-100,-100,2,-100,1,-100,2,0,0,1,1,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,1,0,0,1,0,0,1,2,3
"MAINE","ME",1,1,1,3,3,1,3,1," ",4,1,1,1,1,1,4,1,1,2,-100,-100,-100," ",-100,2,-100,1,1,2,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,2,-100,1,1,0,1,"pdf attachment to UOCAVA email dropbox",0,1,18,-100,-100,-100,-99,-100,-100,-100,2,-100,1,-100,2,0,0,1,0,0,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,1,5,-100,-100
"MARYLAND","MD",1,1,1,1,1,1,1,-100," ",2,4,4,4,1,1,4,4,1,1,1,0,1,"Maryland Health Benefit Exchange, State Dept. of Health, State Dept. of Transportation - Paratransit",0,1,2,1,2,2,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,3,-100,-100,10,1,2,2,-100,1,1,1,1,"The 3 listed options are available if the voter is already registered and is using the FPCA to request an absentee ballot. If the individual is using the FPCA to register to vote, the FPCA must be submitted by mail or the use may use Maryland's",0,1,-100,-100,-100,1,2,-100,1,-100,3,-100,-100,10,2,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,-99,-99,-99,-99,-99,-99,1,4,1,1
"MASSACHUSETTS","MA",2,2,2,2,2,3,1,-100," ",3,1,1,1,1,1,2,1,1,1,1,0,0," ",0,1,1,2,-100,1,2,-100,3,0,0,1,"Need doctor's note",0,-99,-100,-100,-100,2,-100,1,-100,1,2,2,-100,1,1,0,1,"Mail",0,2,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,10,2,0,0,1,0,0,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,1,1,0,0,1,0,4,1,1
"MICHIGAN","MI",1,3,3,3,3,3,1,-100," ",3,1,1,1,1,1,3,1,1,1,1,0,0," ",0,2,-100,2,-100,1,2,-100,2,-100,-100,-100," ",-100,2,-100,1,-100,2,-100,1,-100,2,1,2,-100,1,1,0,0," ",0,1,-100,1,-100,-100,2,-100,1,-100,2,-100,1,-100,3,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,4,1,2
"MINNESOTA","MN",1,1,1,1,1,1,1,-100," ",3,1,1,1,1,1,3,2,2,1,1,0,0," ",0,1,2,1,1,2,1,2,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,2,-100,1,1,1,0," ",0,1,-100,-100,1,-100,-99,-100,-100,-100,2,-100,1,-100,-99,0,1,1,1,0,0,1,3,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1
"MISSISSIPPI","MS",3,3,3,3,3,3,2,1," ",3,1,1,1,1,1,3,3,1,2,-100,-100,-100," ",-100,2,-100,1,3,1,2,-100,3,0,0,1,"Those with a permanent physical disability when an application for an absentee ballot is accompanied by a letter from a physician or physician's assistant.",0,1,30,-100,-100,-99,-100,-100,-100,2,1,2,-100,1,1,0,1,"on-line ballot delivery system and by mail",0,1,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,3,-99,-99,-99,-99,-99,1,2,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,2,-99,4
"MISSOURI","MO",2,2,2,2,2,3,1,-100," ",1,1,1,1,1,1,3,3,1,2,-100,-100,-100," ",-100,1,2,2,-100,1,2,-100,3,0,1,1,"also people who provide assistance or care to persons with disabilities",0,-99,-100,-100,-100,2,-100,1,-100,2,1,1,2,1,1,1,0," ",0,1,-100,-100,-100,1,-99,-100,-100,-100,1,5,-100,-100,3,0,1,1,1,1,0,2,3,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,1
"MONTANA","MT",3,3,2,2,2,3,1,-100," ",4,4,4,4,4,1,3,4,4,2,-100,-100,-100," ",-100,2,-100,1,1,2,2,-100,2,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,1,3,1,1,0,1,"Mail",0,2,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,1,0,1,0,0,1,0,1,3,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,4,1,1
"NEBRASKA","NE",1,1,1,3,1,1,1,-100," ",4,1,3,3,1,1,3,3,1,1,1,0,0," ",0,1,1,1,2,2,1,2,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,1,2,2,-100,1,1,0,1,"Mail",0,1,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,3,0,1,1,0,1,0,2,3,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,3,1
"NEVADA","NV",3,3,3,3,3,3,2,2," ",3,1,1,2,1,1,3,1,1,2,-100,-100,-100," ",-100,1,1,2,-100,2,2,-100,3,1,1,0," ",0,-99,-100,-100,-100,2,-100,1,-100,1,2,1,3,1,1,1,0," ",0,1,-100,-100,1,-100,-99,-100,-100,-100,2,-100,1,-100,2,0,0,1,1,1,0,1,3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,3,2,3
"NEW HAMPSHIRE","NH",3,3,3,3,1,1,1,-100," ",4,1,1,1,1,1,4,1,1,2,-100,-100,-100," ",-100,2,-100,1,1,1,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,1,2,-100,1,1,0,1,"Mail",0,1,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,-99,0,0,1,0,1,0,1,1,3,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,0,0,3,1,1
"NEW JERSEY","NJ",1,1,1,1,1,1,1,-100," ",3,4,4,4,4,1,4,4,1,1,1,0,0," ",0,2,-100,2,-100,2,2,-100,2,-100,-100,-100," ",-100,2,-100,1,-100,-99,-100,-100,-100,2,2,2,-100,1,1,0,0," ",0,1,-100,-100,-100,1,2,-100,1,-100,-99,-100,-100,-100,2,0,0,1,1,1,0,1,-99,3,-100,-100,-100,-100,-100,-100,-100,1,1,1,0,0,0,0,4,2,1
"NEW MEXICO","NM",3,3,3,3,3,3,1,-100," ",2,1,1,1,1,1,4,4,1,1,1,0,0," ",0,1,1,1,3,2,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,1,3,1,1,1,0," ",0,1,-100,-100,-100,1,-99,-100,-100,-100,2,-100,1,-100,2,0,1,1,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3
"NEW YORK","NY",2,2,2,2,2,2,2,1," ",4,1,1,1,1,1,4,4,4,2,-100,-100,-100," ",-100,1,1,2,-100,1,2,-100,3,0,1,1,"A voter who claims permanent illness",0,1,1,-100,-100,3,-100,-100,7,2,1,2,-100,1,1,0,1,"Mail",0,1,-100,-100,2,-100,1,1,-100,-100,3,-100,-100,13,3,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,4,2,1
"NORTH CAROLINA","NC",1,1,1,3,1,3,3,1," ",3,1,1,4,1,1,4,4,1,1,1,0,0," ",0,1,1,1,2,2,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,3,-100,-100,3,2,2,2,-100,1,1,0,1,"mail",0,1,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,9,2,0,1,1,0,0,0,1,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,2,1
"NORTH DAKOTA","ND",1,1,1,1,1,1,1,-100," ",3,1,1,1,1,1,4,4,4,-99,-100,-100,-100," ",-100,-99,-100,-99,-100,2,2,-100,1,-100,-100,-100," ",-100,1,1,-100,-100,3,-100,-100,6,1,2,1,3,1,1,0,1,"Online via out absentee ballot application utility.  No VR in ND.",0,2,-100,1,-100,-100,1,1,-100,-100,3,-100,-100,6,-99,0,1,1,0,0,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,1,1,0,0,0,0,0,4,1,2
"OHIO","OH",3,3,3,3,3,3,2,1," ",3,1,1,1,1,1,4,1,1,1,1,0,0," ",0,1,1,2,-100,2,2,-100,1,-100,-100,-100," ",-100,1,1,-100,-100,3,-100,-100,10,2,2,2,-100,1,1,0,1,"regular mail",0,1,-100,1,-100,-100,-99,-100,-100,-100,3,-100,-100,10,-99,0,1,1,0,1,0,2,3,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,-99,-100,-100
"OKLAHOMA","OK",1,1,1,1,1,1,3,2," ",4,1,4,1,1,1,4,1,1,1,1,0,0," ",0,2,-100,2,-100,2,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,2,-100,1,1,0,1,"regular mail and in-person at CEB office",0,1,-100,-100,2,-100,-99,-100,-100,-100,2,-100,1,-100,3,0,0,1,0,0,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,1,0,0,1,0,0,1,2,1
"OREGON","OR",1,1,1,1,1,1,1,-100," ",2,1,1,1,1,1,3,4,4,1,1,0,0," ",0,1,1,2,-100,2,1,1,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,1,2,1,3,1,1,1,0," ",0,-99,-99,-99,-99,-99,-99,-100,-100,-100,2,-100,1,-100,1,1,1,1,0,1,0,1,3,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1
"PENNSYLVANIA","PA",1,1,1,1,1,3,1,-100," ",3,4,4,-99,1,1,3,1,1,1,1,0,1,"Dept. of Human Services, Dept. of Labor & Industry, Dept. of Health",0,1,2,2,-100,1,2,-100,3,0,1,1,"permanent or long term  illness.",0,-99,-100,-100,-100,1,4,-100,-100,2,1,2,-100,1,1,0,1,"In-person and U.S. mail or courier service",0,2,-100,1,-100,-100,1,1,-100,-100,3,-100,-100,7,2,0,0,1,1,1,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,4,1,3
"PUERTO RICO","PR",3,1,3,3,3,1,1,-100," ",1,1,1,1,1,1,1,4,1,2,-100,-100,-100," ",-100,2,-100,2,-100,1,2,-100,1,-100,-100,-100," ",-100,1,30,-100,-100,2,-100,1,-100,1,1,2,-100,1,1,1,0," ",0,2,-99,-99,-99,-99,-99,-100,-100,-100,2,-100,1,-100,-99,0,1,0,0,1,0,2,1,1,0,1,0,1,0,0,0,-99,-99,-99,-99,-99,-99,1,5,-100,-100
"RHODE ISLAND","RI",1,1,1,1,1,1,1,-100," ",4,4,4,4,4,1,4,4,4,1,1,0,0," ",0,1,2,1,4,2,2,-100,2,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,2,-100,1,1,0,1,"mail",0,2,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,3,0,0,1,0,0,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,1,0,0,4,1,2
"SOUTH CAROLINA","SC",1,1,1,1,1,1,1,-100," ",4,4,4,1,1,1,4,4,1,1,1,0,0," ",0,1,1,1,3,1,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,1,2,-100,1,1,1,1,"Mail",0,1,-100,2,-100,-100,-99,-100,-100,-100,3,-100,-100,2,3,0,1,0,0,1,0,2,2,3,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,1,0,0,1,2,1
"SOUTH DAKOTA","SD",2,2,2,2,2,3,1,-100," ",2,1,1,3,1,1,3,3,3,1,1,0,1,"Department of Health, Unified Judicial System",0,2,-100,2,-100,2,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,1,3,1,1,1,0," ",0,1,-100,-100,-100,1,-99,-100,-100,-100,2,-100,1,-100,3,0,1,0,0,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,1,0,0,1,2,1
"TENNESSEE","TN",2,2,2,2,2,2,2,2," ",4,4,4,-99,1,1,4,4,1,1,1,0,0," ",0,1,1,2,-100,1,2,-100,3,0,1,1,"Physician statement provided for medical reasons",0,2,-100,1,-100,2,-100,1,-100,1,2,1,2,1,1,0,1,"Regular Mail",0,2,-100,1,-100,-100,2,-100,1,-100,-99,-100,-100,-100,3,0,0,0,0,1,0,1,1,3,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,1,0,1,2,3
"TEXAS","TX",2,2,2,2,2,2,3,2," ",3,1,1,1,1,1,3,3,1,1,1,0,1,"Texas Online",0,2,-100,2,-100,1,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,3,-100,-100,1,1,2,1,2,1,1,0,1,"by mail",0,1,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,5,3,0,0,1,0,1,0,1,3,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,2,1
"UTAH","UT",1,3,1,3,1,3,3,1," ",2,4,4,1,1,1,4,4,1,1,1,0,0," ",0,1,1,1,1,2,1,2,2,-100,-100,-100," ",-100,1,1,-100,-100,3,-100,-100,14,1,2,1,2,1,1,1,0," ",0,1,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,14,2,0,1,1,1,0,0,1,3,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,4,1,1
"VERMONT","VT",2,2,2,2,2,3,3,1," ",4,1,1,1,1,1,1,1,1,1,1,0,0," ",0,1,2,1,1,2,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,2,2,2,-100,1,1,0,1,"mail or they can login and request a ballot on their MVP site",0,1,-100,-100,1,-100,-99,-100,-100,-100,2,-100,1,-100,3,0,1,0,1,1,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,1,5,-100,-100
"VIRGIN ISLANDS","VI",1,1,1,1,1,1,1,-100," ",1,1,1,1,1,1,4,4,1,2,-100,-100,-100," ",-100,2,-100,2,-100,1,2,-100,3,1,1,0," ",0,2,-100,1,-100,3,-100,-100,10,1,2,2,-100,1,1,1,0," ",0,2,-100,-100,1,-100,2,-100,1,-100,3,-100,-100,10,1,0,0,1,0,1,0,2,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,2,3
"VIRGINIA","VA",3,3,3,3,3,3,1,-100," ",3,4,4,4,1,1,3,3,3,1,1,0,0," ",0,1,2,2,-100,1,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,2,-100,1,-100,2,1,2,-100,1,1,1,1,"Mail",0,1,-100,2,-100,-100,2,-100,1,-100,2,-100,1,-100,3,0,1,0,0,0,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,1,0,1,3,4
"WASHINGTON","WA",3,3,3,3,3,3,2,1," ",2,3,3,1,1,1,3,3,1,1,1,0,0," ",0,1,1,1,3,2,1,1,1,-100,-100,-100," ",-100,2,-100,1,-100,-99,-100,-100,-100,1,2,1,1,1,1,1,1,"Mail",0,1,-100,-100,-100,1,-99,-100,-100,-100,3,-100,-100,20,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,4,1,1
"WEST VIRGINIA","WV",3,3,3,3,3,3,1,-100," ",4,1,1,1,1,1,4,4,1,2,-100,-100,-100," ",-100,1,1,2,-100,1,2,-100,3,0,1,1,"Address Confidentiality Program Participants",0,2,-100,1,-100,3,-100,-100,3,1,2,2,-100,1,1,0,1,"Mail",0,1,-100,1,-100,-100,3,-100,-100,5,3,-100,-100,5,3,0,0,1,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,2,1
"WISCONSIN","WI",1,1,1,1,1,1,1,-100," ",3,1,1,1,1,1,4,3,1,2,-100,-100,-100," ",-100,1,1,1,1,2,2,-100,3,0,1,1,"age illness or infirmity",0,-99,-100,-100,-100,2,-100,1,-100,2,2,2,-100,1,1,0,1,"Regular Mail",0,1,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,3,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2,1
