"Figure 1. Average Global Sea Surface Temperature, 1880-2020",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2021",,,
2004,0.426,0.37308,0.47892
2005,0.426,0.39072,0.46128
2006,0.426,0.394248,0.457752
2007,0.3,0.268248,0.331752
2008,0.264,0.232248,0.295752
2009,0.498,0.46272,0.53328
2010,0.516,0.48072,0.55128
2011,0.318,0.28272,0.35328
2012,0.444,0.40872,0.47928
2013,0.48,0.441192,0.518808
2014,0.642,0.60672,0.67728
2015,0.858,0.819192,0.896808
2016,0.93,0.891192,0.968808
2017,0.822,0.779664,0.864336
2018,0.732,0.686136,0.777864
2019,0.876,0.819552,0.932448
2020,0.84,0.797664,0.882336
