locationname,marketname,city,countrycode,address,zip,region,lat,lon,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall,geometry
Eldorado & Tollway,"Dallas-Ft. Worth, TX",Frisco,US,5211 Eldorado Pkwy,75033,TX,33.17446,-96.84109,Frieda Marroquin,OPEN,America/Chicago,https://www.chick-fil-a.com/eldorado,20.0,11.0,2008.0,2008-11-20,interior,True,Stand Alone,False,POINT (-96.84109 33.17446)
Horsham,"Philadelphia, PA",Horsham,US,134 Welsh Rd,19044,PA,40.1600571,-75.1472267,Jim Krout,OPEN,America/New_York,https://www.chick-fil-a.com/horsham,15.0,4.0,2020.0,2020-04-15,interior,True,Stand Alone,False,POINT (-75.1472267 40.1600571)
Lake Travis,"Austin, TX",Bee Cave,US,3600 Ranch Road 620 S Ste C,78738,TX,30.3186258,-97.952185,Darryl Zavodny,OPEN,America/Chicago,https://www.chick-fil-a.com/laketravis,16.0,9.0,2004.0,2004-09-16,interior,True,Stand Alone,False,POINT (-97.952185 30.3186258)
Georgetown,"Austin, TX",Georgetown,US,1031 W University Ave,78628,TX,30.63242,-97.69697,Lance Bennett,OPEN,America/Chicago,https://www.chick-fil-a.com/georgetown,8.0,9.0,2005.0,2005-09-08,interior,True,Stand Alone,False,POINT (-97.69697 30.63242)
Spring Creek & Hwy. 121,"Dallas-Ft. Worth, TX",Plano,US,7000 W Spring Creek Pkwy,75024,TX,33.08039449692048,-96.85075868661104,Kevin Bulmann,OPEN,America/Chicago,https://www.chick-fil-a.com/springcreekandhwy121,8.0,3.0,2018.0,2018-03-08,interior,True,Stand Alone,False,POINT (-96.85075868661104 33.08039449692048)
Frisco Lakes,"Dallas-Ft. Worth, TX",Frisco,US,7979 FM 423,75034,TX,33.1452,-96.89173,Aaron Williams,OPEN,America/Chicago,https://www.chick-fil-a.com/friscolakes,3.0,11.0,2016.0,2016-11-03,interior,True,Stand Alone,False,POINT (-96.89173 33.1452)
Park Boulevard & Plano Parkway,"Dallas-Ft. Worth, TX",Plano,US,6408 W Plano Pkwy,75093,TX,33.0290612,-96.8360059,Josh Ding,OPEN,America/Chicago,https://www.chick-fil-a.com/parkandplanoparkway,7.0,12.0,2000.0,2000-12-07,interior,True,Stand Alone,False,POINT (-96.8360059 33.0290612)
North Garland Crossing,"Dallas-Ft. Worth, TX",Garland,US,5425 N George Bush Hwy,75044,TX,32.965821,-96.643946,Jimmy Jernigan,OPEN,America/Chicago,https://www.chick-fil-a.com/northgarlandcrossing,4.0,9.0,2003.0,2003-09-04,interior,True,Stand Alone,False,POINT (-96.643946 32.965821)
Rowlett,"Dallas-Ft. Worth, TX",Rowlett,US,2617 Lakeview Pkwy,75088,TX,32.908134,-96.575061,Becky Encinia,OPEN,America/Chicago,https://www.chick-fil-a.com/rowlett,9.0,11.0,2006.0,2006-11-09,interior,True,Stand Alone,False,POINT (-96.575061 32.908134)
Capitol Hill East Drive-Thru Only,"Washington, DC (Hagerstown, MD)",Washington,US,1401 Maryland Ave NE,20002,DC,38.89911,-76.9852,Earl Ishmal,OPEN,America/New_York,https://www.chick-fil-a.com/capitolhilleastdto,1.0,6.0,2017.0,2017-06-01,none,True,Stand Alone,False,POINT (-76.9852 38.89911)
Dakota Crossing,"Washington, DC (Hagerstown, MD)",Washington,US,2410 Market St NE,20018,DC,38.9198218,-76.9536196,Jessie Chesson,OPEN,America/New_York,https://www.chick-fil-a.com/dakotacrossing,2.0,5.0,2019.0,2019-05-02,interior,True,Stand Alone,False,POINT (-76.9536196 38.9198218)
DC USA In-Line,"Washington, DC (Hagerstown, MD)",Washington,US,3100 14th St NW,20010,DC,38.92931,-77.03299,Treh Haynes,OPEN,America/New_York,https://www.chick-fil-a.com/dcusainline,4.0,11.0,2015.0,2015-11-04,none,False,In-Line,False,POINT (-77.03299 38.92931)
Dupont In-Line,"Washington, DC (Hagerstown, MD)",Washington,US,1214 18th St NW,20036,DC,38.906295,-77.041901,Andrew Smith,OPEN,America/New_York,https://www.chick-fil-a.com/dupontinline,13.0,5.0,2020.0,2020-05-13,interior,False,In-Line,False,POINT (-77.041901 38.906295)
Broken Arrow,"Tulsa, OK",Broken Arrow,US,850 E Kenosha St,74012,OK,36.061613,-95.781276,Amanda Almy,OPEN,America/Chicago,https://www.chick-fil-a.com/brokenarrow,19.0,3.0,2015.0,2015-03-19,interior,True,Stand Alone,False,POINT (-95.781276 36.061613)
Eastside Market,"Tulsa, OK",Tulsa,US,11201 E 71st St,74133,OK,36.06138,-95.85207,Arthur Greeno,OPEN,America/Chicago,https://www.chick-fil-a.com/eastsidemarket,3.0,10.0,2002.0,2002-10-03,interior,True,Stand Alone,False,POINT (-95.85207 36.06138)
Woodland Hills Mall,"Tulsa, OK",Tulsa,US,7021 S Memorial Dr Ste 260A,74133,OK,36.0636733,-95.8804636,Arthur Greeno,OPEN,America/Chicago,https://www.chick-fil-a.com/woodlandhillsmall,17.0,11.0,1988.0,1988-11-17,none,False,Food Court,True,POINT (-95.8804636 36.0636733)
Bixby,"Tulsa, OK",Tulsa,US,10437 S Memorial Dr,74133,OK,36.01121,-95.88585,Greg Campbell,OPEN,America/Chicago,https://www.chick-fil-a.com/bixby,5.0,3.0,2009.0,2009-03-05,interior,True,Stand Alone,False,POINT (-95.88585 36.01121)
Southroads Shopping Center,"Tulsa, OK",Tulsa,US,4933 E 41st St,74135,OK,36.104677,-95.919708,David Chen,OPEN,America/Chicago,https://www.chick-fil-a.com/southroadsshoppingcenter,5.0,8.0,2015.0,2015-08-05,interior,True,Stand Alone,False,POINT (-95.919708 36.104677)
Glenpool,"Tulsa, OK",Glenpool,US,12130 S Waco Ave,74033,OK,35.951642,-96.01366999999999,Bart Milligan,OPEN,America/Chicago,https://www.chick-fil-a.com/glenpool,30.0,7.0,2020.0,2020-07-30,interior,True,Stand Alone,False,POINT (-96.01366999999999 35.951642)
Owasso Market,"Tulsa, OK",Owasso,US,12015 E 96th St N,74055,OK,36.293466,-95.840205,Mark Schneider,OPEN,America/Chicago,https://www.chick-fil-a.com/owassomarket,30.0,3.0,2006.0,2006-03-30,interior,True,Stand Alone,False,POINT (-95.840205 36.293466)
Paramus Park Mall,"New York, NY",Paramus,US,2065 Paramus Park Mall,07652,NJ,40.9561525,-74.0687436,Aaron Reynolds,OPEN,America/New_York,https://www.chick-fil-a.com/paramusparkshoppingcenter,14.0,3.0,1974.0,1974-03-14,none,False,Food Court,True,POINT (-74.0687436 40.9561525)
Ramsey (NJ),"New York, NY",Ramsey,US,726 State Rt 17,07446,NJ,41.06206,-74.12336,Ray Cowan,OPEN,America/New_York,https://www.chick-fil-a.com/ramseynj,5.0,12.0,2019.0,2019-12-05,interior,True,Stand Alone,False,POINT (-74.12336 41.06206)
Wayne Towne Center In-Line,"New York, NY",Wayne,US,88 Willowbrook Blvd,07470,NJ,40.88980117,-74.25091833,Jose Marquez,OPEN,America/New_York,https://www.chick-fil-a.com/waynetownecenternjinline,5.0,12.0,2019.0,2019-12-05,interior,False,In-Line,False,POINT (-74.25091833 40.88980117)
Medina (OH),"Cleveland-Akron (Canton), OH",Medina,US,1007 N Court St,44256,OH,41.1550438,-81.8633949,Tony Morgano,OPEN,America/New_York,https://www.chick-fil-a.com/medinaoh,2.0,12.0,2021.0,2021-12-02,none,True,Stand Alone,,POINT (-81.8633949 41.1550438)
Brunswick (OH),"Cleveland-Akron (Canton), OH",Brunswick,US,3470 Center Rd,44212,OH,41.2382869,-81.81068139999999,Dan Justus,OPEN,America/New_York,https://www.chick-fil-a.com/brunswickoh,21.0,1.0,2021.0,2021-01-21,interior,True,Stand Alone,False,POINT (-81.81068139999999 41.2382869)
Strongsville,"Cleveland-Akron (Canton), OH",Strongsville,US,16584 Royalton Rd,44136,OH,41.31362183,-81.8153725,Brian Wellman,OPEN,America/New_York,https://www.chick-fil-a.com/strongsville,12.0,1.0,2012.0,2012-01-12,interior,True,Stand Alone,False,POINT (-81.8153725 41.31362183)
Montrose,"Cleveland-Akron (Canton), OH",Fairlawn,US,47 Flight Memorial Pkwy,44333,OH,41.13464,-81.64306,Paul Becker,OPEN,America/New_York,https://www.chick-fil-a.com/montrose,5.0,2.0,2009.0,2009-02-05,interior,True,Stand Alone,False,POINT (-81.64306 41.13464)
Parma (OH),"Cleveland-Akron (Canton), OH",Parma,US,6676 Ridge Rd,44129,OH,41.3826529,-81.7352447,Sheilla Lienerth,OPEN,America/New_York,https://www.chick-fil-a.com/parmaoh,21.0,1.0,2021.0,2021-01-21,none,True,Stand Alone,False,POINT (-81.7352447 41.3826529)
North Olmsted,"Cleveland-Akron (Canton), OH",North Olmsted,US,4779 Great Northern Blvd,44070,OH,41.4197048,-81.9011289,Ken Ball,OPEN,America/New_York,https://www.chick-fil-a.com/northolmsted,14.0,12.0,2006.0,2006-12-14,interior,True,Stand Alone,False,POINT (-81.9011289 41.4197048)
Chapel Hill,"Cleveland-Akron (Canton), OH",Cuyahoga Falls,US,420 Howe Ave,44221,OH,41.11902,-81.47917,Erich Weiss,OPEN,America/New_York,https://www.chick-fil-a.com/chapelhill,6.0,12.0,2007.0,2007-12-06,interior,True,Stand Alone,False,POINT (-81.47917 41.11902)
Merrillville,"Chicago, IL",Merrillville,US,2385 Southlake Mall,46410,IN,41.47068,-87.30838,Tyler Carter,OPEN,America/Chicago,https://www.chick-fil-a.com/merrillville,13.0,10.0,2011.0,2011-10-13,interior,True,Stand Alone,False,POINT (-87.30838 41.47068)
Schererville (IN),"Chicago, IL",Schererville,US,315 US Highway 41,46375,IN,35.2424881,-85.6904792,Justin Knight,OPEN,America/Chicago,https://www.chick-fil-a.com/scherervillein,1.0,9.0,2021.0,2021-09-01,none,True,Stand Alone,False,POINT (-85.6904792 35.2424881)
Valparaiso (IN),"Chicago, IL",Valparaiso,US,61 Silhavy Rd,46383,IN,41.4636017,-87.0270384,David Hershberger,OPEN,America/Chicago,https://www.chick-fil-a.com/valparaisoin,9.0,9.0,2021.0,2021-09-09,none,True,Stand Alone,False,POINT (-87.0270384 41.4636017)
Bradley (IL),"Chicago, IL",Bradley,US,1359 Locke Dr,60915,IL,,,Jon Klavohn,FUTURE,America/Chicago,https://www.chick-fil-a.com/bradleyil,,,,2022-09-08,none,False,Stand Alone,,POINT EMPTY
Lake Houston,"Houston, TX",Humble,US,19220 W Lake Houston Pkwy,77346,TX,29.99993,-95.16221,Matt Michaels,OPEN,America/Chicago,https://www.chick-fil-a.com/lakehouston,12.0,10.0,2000.0,2000-10-11,interior,True,Stand Alone,False,POINT (-95.16221 29.99993)
Kingwood,"Houston, TX",Kingwood,US,4594 Kingwood Dr,77345,TX,30.05049,-95.18042,Sarah Sheridan,OPEN,America/Chicago,https://www.chick-fil-a.com/kingwood,25.0,10.0,2012.0,2012-10-25,interior,True,Stand Alone,False,POINT (-95.18042 30.05049)
Summerwood,"Houston, TX",Houston,US,14335 E Sam Houston Pkwy N,77044,TX,29.9277635,-95.2037518,Graham Kilgore,OPEN,America/Chicago,https://www.chick-fil-a.com/summerwood,10.0,8.0,2017.0,2017-08-10,interior,True,Stand Alone,False,POINT (-95.2037518 29.9277635)
Humble,"Houston, TX",Humble,US,19707 Highway 59 N,77338,TX,30.002013,-95.270303,Matt Michaels,OPEN,America/Chicago,https://www.chick-fil-a.com/humble,18.0,11.0,2010.0,2010-11-18,interior,True,Stand Alone,False,POINT (-95.270303 30.002013)
Deerbrook Mall,"Houston, TX",Humble,US,20131 Highway 59 N Ste 2106,77338,TX,30.0094609,-95.2710284,David Chaluh,OPEN,America/Chicago,https://www.chick-fil-a.com/deerbrookmall,18.0,7.0,1984.0,1984-07-18,none,False,Food Court,True,POINT (-95.2710284 30.0094609)
Wilson/Beltway 8,"Houston, TX",Humble,US,9525 N Sam Houston Pkwy E,77396,TX,29.935569,-95.24826999999999,Duane Johnston,OPEN,America/Chicago,https://www.chick-fil-a.com/wilsonbeltway8,29.0,5.0,2008.0,2008-05-29,interior,True,Stand Alone,False,POINT (-95.24826999999999 29.935569)
Northpark Drive,"Houston, TX",Kingwood,US,195 Northpark Dr,77339,TX,30.069844,-95.2441136,Zack Derelioglu,OPEN,America/Chicago,https://www.chick-fil-a.com/northparkdrive,18.0,9.0,2014.0,2014-09-18,interior,True,Stand Alone,False,POINT (-95.2441136 30.069844)
Crosby,"Houston, TX",Crosby,US,14041 FM 2100 Rd,77532,TX,29.8958352,-95.0645855,Josh Pogue,FUTURE,America/Chicago,https://www.chick-fil-a.com/crosby,,,,2022-08-18,none,False,Stand Alone,,POINT (-95.0645855 29.8958352)
Valley Ranch,"Houston, TX",New Caney,US,11877 N Grand Pkwy E,77357,TX,30.1305921,-95.23641529999999,Zack Derelioglu,OPEN,America/Chicago,https://www.chick-fil-a.com/valleyranch,21.0,6.0,2017.0,2017-06-21,interior,True,Stand Alone,False,POINT (-95.23641529999999 30.1305921)
Cicero,"Syracuse, NY",Cicero,US,7916 Brewerton Rd,13039,NY,43.1531989,-76.1231882,Jimmer Szatkowski,OPEN,America/New_York,https://www.chick-fil-a.com/cicero,22.0,2.0,2018.0,2018-02-22,interior,True,Stand Alone,False,POINT (-76.1231882 43.1531989)
Clay (NY),"Syracuse, NY",Liverpool,US,3974 State Route 31,13090,NY,43.18485,-76.234488,Jimmer Szatkowski,OPEN,America/New_York,https://www.chick-fil-a.com/clayny,27.0,4.0,2021.0,2021-04-27,none,True,Stand Alone,False,POINT (-76.234488 43.18485)
Henrietta,"Rochester, NY",Rochester,US,100 Marketplace Dr Ste 200,14623,NY,43.0864926,-77.62404029999999,Michael Taylor,OPEN,America/New_York,https://www.chick-fil-a.com/henrietta,19.0,11.0,2020.0,2020-11-19,none,True,Stand Alone,False,POINT (-77.62404029999999 43.0864926)
Irondequoit (NY),"Rochester, NY",Rochester,US,1115 E Ridge Rd,14621,NY,43.196417,-77.585382,Bill Kaser,OPEN,America/New_York,https://www.chick-fil-a.com/irondequoitny,2.0,12.0,2021.0,2021-12-02,none,True,Stand Alone,False,POINT (-77.585382 43.196417)
Greece,"Rochester, NY",Greece,US,2140 W Ridge Rd,14626,NY,43.2084167,-77.684615,Alan Taylor,OPEN,America/New_York,https://www.chick-fil-a.com/greece,12.0,4.0,2018.0,2018-04-12,interior,True,Stand Alone,False,POINT (-77.684615 43.2084167)
Dickson City,"Wilkes Barre-Scranton, PA",Dickson City,US,4005 Commerce Blvd,18519,PA,41.4682658,-75.6360663,Keith Kelly,OPEN,America/New_York,https://www.chick-fil-a.com/dicksoncity,2.0,12.0,2021.0,2021-12-02,none,True,Stand Alone,False,POINT (-75.6360663 41.4682658)
Wilkes Barre Township,"Wilkes Barre-Scranton, PA",Wilkes Barre,US,989 Schechter Dr,18702,PA,41.2362024,-75.8555028,Jeff Snyder,OPEN,America/New_York,https://www.chick-fil-a.com/wilkesbarretownship,17.0,10.0,2019.0,2019-10-17,interior,True,Stand Alone,False,POINT (-75.8555028 41.2362024)
Eagle Pass,"San Antonio, TX",Eagle Pass,US,635 S Bibb Ave,78852,TX,28.6992581,-100.4849283,Grant McMakin,OPEN,America/Chicago,https://www.chick-fil-a.com/eaglepass,20.0,10.0,2016.0,2016-10-20,interior,True,Stand Alone,False,POINT (-100.4849283 28.6992581)
Fruitville Pike,"Harrisburg-Lancaster-Lebanon-York, PA",Lancaster,US,1579 Fruitville Pike,17601,PA,40.06864,-76.315102,Judy Shaffer,OPEN,America/New_York,https://www.chick-fil-a.com/fruitvillepike,10.0,1.0,2018.0,2018-01-10,interior,True,Stand Alone,False,POINT (-76.315102 40.06864)
Lincoln Highway East,"Harrisburg-Lancaster-Lebanon-York, PA",Lancaster,US,2467 Lincoln Hwy E,17602,PA,40.02372,-76.19617,Judy Shaffer,OPEN,America/New_York,https://www.chick-fil-a.com/lincolnhighwayeast,8.0,12.0,2011.0,2011-12-08,interior,True,Stand Alone,False,POINT (-76.19617 40.02372)
East York,"Harrisburg-Lancaster-Lebanon-York, PA",York,US,2801 E Market St,17402,PA,39.9785626,-76.672534,Cathy Dallas,OPEN,America/New_York,https://www.chick-fil-a.com/eastyork,24.0,10.0,2013.0,2013-10-24,none,True,Stand Alone,False,POINT (-76.672534 39.9785626)
Loucks Road,"Harrisburg-Lancaster-Lebanon-York, PA",York,US,922 Loucks Rd,17404,PA,39.97978,-76.75279,Chuck Lambert,OPEN,America/New_York,https://www.chick-fil-a.com/loucksroad,11.0,4.0,2013.0,2013-04-11,interior,True,Stand Alone,False,POINT (-76.75279 39.97978)
Shrewsbury,"Harrisburg-Lancaster-Lebanon-York, PA",Shrewsbury,US,14665 Mount Airy Rd,17361,PA,39.771549,-76.67125000000001,Jeff Marble,OPEN,America/New_York,https://www.chick-fil-a.com/shrewsbury,28.0,10.0,2004.0,2004-10-28,interior,True,Stand Alone,False,POINT (-76.67125000000001 39.771549)
Berkshire Mall,"Philadelphia, PA",Wyomissing,US,1665 State Hill Rd Ste 930,19610,PA,40.3405758,-75.97149859999999,Valerie Oliver,OPEN,America/New_York,https://www.chick-fil-a.com/berkshiremall,4.0,4.0,1990.0,1990-04-04,none,False,Food Court,True,POINT (-75.97149859999999 40.3405758)
Lindle Road,"Harrisburg-Lancaster-Lebanon-York, PA",Harrisburg,US,4655 Lindle Rd,17111,PA,40.2419624,-76.8028708,Brad Burkholder,OPEN,America/New_York,https://www.chick-fil-a.com/lindleroad,3.0,3.0,2016.0,2016-03-03,interior,True,Stand Alone,False,POINT (-76.8028708 40.2419624)
George Washington,"Washington, DC (Hagerstown, MD)",Ashburn,US,44835 Lakeview Overlook Plz,20147,VA,39.0599,-77.44983,Bill Digges,OPEN,America/New_York,https://www.chick-fil-a.com/georgewashington,20.0,10.0,2011.0,2011-10-20,interior,True,Stand Alone,False,POINT (-77.44983 39.0599)
Lansdowne Town Center (VA),"Washington, DC (Hagerstown, MD)",Leesburg,US,19313 Front Street,20176,VA,39.0788924,-77.4939433,Braden Dollar,OPEN,America/New_York,https://www.chick-fil-a.com/lansdownetowncenterva,20.0,2.0,2020.0,2020-02-20,interior,True,Stand Alone,False,POINT (-77.4939433 39.0788924)
Ryan Park,"Washington, DC (Hagerstown, MD)",Ashburn,US,43520 Yukon Dr,20147,VA,39.010293,-77.49374399999999,Brian Summers,OPEN,America/New_York,https://www.chick-fil-a.com/ryanpark,10.0,10.0,2019.0,2019-10-10,interior,True,Stand Alone,False,POINT (-77.49374399999999 39.010293)
Dulles 28 and Waxpool Road,"Washington, DC (Hagerstown, MD)",Sterling,US,22015 Dulles Retail Plz,20166,VA,39.00705,-77.438,Brian Summers,OPEN,America/New_York,https://www.chick-fil-a.com/dulles28andwaxpoolroad,3.0,11.0,2016.0,2016-11-03,interior,True,Stand Alone,False,POINT (-77.438 39.00705)
Oaklawn,"Washington, DC (Hagerstown, MD)",Leesburg,US,304 Kellys Ford Plaza SE,20175,VA,39.0891578,-77.55743989999999,Danielle O'Dell,OPEN,America/New_York,https://www.chick-fil-a.com/oaklawn,24.0,9.0,2021.0,2021-09-24,interior,True,Stand Alone,False,POINT (-77.55743989999999 39.0891578)
Leesburg,"Washington, DC (Hagerstown, MD)",Leesburg,US,1002 Edwards Ferry Rd NE,20176,VA,39.11457,-77.53691,Danielle O'Dell,OPEN,America/New_York,https://www.chick-fil-a.com/leesburg,1.0,12.0,2011.0,2011-12-01,interior,True,Stand Alone,False,POINT (-77.53691 39.11457)
Lynnhaven Mall,"Norfolk-Portsmouth-Newport News, VA",Virginia Beach,US,701 Lynnhaven Pkwy,23452,VA,36.816669,-76.069664,Melody Clark,OPEN,America/New_York,https://www.chick-fil-a.com/lynnhavenmall,26.0,8.0,1981.0,1981-08-26,none,False,Food Court,True,POINT (-76.069664 36.816669)
Lake Norman,"Charlotte, NC",Huntersville,US,16915 Statesville Rd,28078,NC,35.44508,-80.86667,Joe Hatzopoulos,OPEN,America/New_York,https://www.chick-fil-a.com/lakenorman,11.0,6.0,1998.0,1998-03-01,interior,True,Stand Alone,False,POINT (-80.86667 35.44508)
Cornelius,"Charlotte, NC",Cornelius,US,17035 Nat Bynum Lane,28031,NC,35.4827186,-80.8810348,Joe Hatzopoulos,OPEN,America/New_York,https://www.chick-fil-a.com/cornelius,9.0,7.0,2020.0,2020-07-09,interior,True,Stand Alone,False,POINT (-80.8810348 35.4827186)
Mountain Island,"Charlotte, NC",Charlotte,US,3821 Corning Pl,28216,NC,35.3267446,-80.9433434,DuPre Bingham,OPEN,America/New_York,https://www.chick-fil-a.com/relomountainisland,6.0,1.0,2021.0,2021-01-06,none,True,Stand Alone,False,POINT (-80.9433434 35.3267446)
Denver (NC),"Charlotte, NC",Denver,US,7267 Highway 73,28037,NC,35.44867,-81.00042,Shannon Holland,OPEN,America/New_York,https://www.chick-fil-a.com/denver-nc,29.0,9.0,2016.0,2016-09-29,interior,True,Stand Alone,False,POINT (-81.00042 35.44867)
Lorain (OH),"Cleveland-Akron (Canton), OH",Lorain,US,5400 Leavitt Rd,44053,OH,41.41849687073253,-82.20894960689407,Matt Woods,OPEN,America/New_York,https://www.chick-fil-a.com/lorainoh,10.0,3.0,2022.0,2022-03-10,none,True,Stand Alone,,POINT (-82.20894960689407 41.41849687073253)
Crocker Park (OH),"Cleveland-Akron (Canton), OH",Westlake,US,30115 Detroit Rd,44145,OH,41.462776,-81.954055,Damian Grana,OPEN,America/New_York,https://www.chick-fil-a.com/crockerparkoh,7.0,4.0,2022.0,2022-04-07,none,True,Stand Alone,,POINT (-81.954055 41.462776)
Rocky River,"Cleveland-Akron (Canton), OH",Rocky River,US,20801 Center Ridge Rd,44116,OH,41.4616,-81.85158333,Dominic Harper,OPEN,America/New_York,https://www.chick-fil-a.com/westgate,3.0,4.0,2008.0,2008-04-03,interior,True,Stand Alone,False,POINT (-81.85158333 41.4616)
Tucker Station,"Atlanta, GA",Tucker,US,4340 Hugh Howell Rd,30084,GA,33.8524052,-84.209576,Brad Spratte,OPEN,America/New_York,https://www.chick-fil-a.com/tuckerstation,5.0,10.0,1989.0,1989-10-05,interior,True,Stand Alone,False,POINT (-84.209576 33.8524052)
Memorial Drive,"Atlanta, GA",Stone Mountain,US,5542 Memorial Dr,30083,GA,33.80118183,-84.211609,Doug Richardson,OPEN,America/New_York,https://www.chick-fil-a.com/memorialdrive,1.0,12.0,1988.0,1988-12-01,exterior,True,Stand Alone,False,POINT (-84.211609 33.80118183)
Northlake Festival,"Atlanta, GA",Tucker,US,3967 Lavista Rd,30084,GA,33.8461,-84.2522,Brad Spratte,OPEN,America/New_York,https://www.chick-fil-a.com/northlakefestival,26.0,5.0,2011.0,2011-05-26,interior,True,Stand Alone,False,POINT (-84.2522 33.8461)
Lehi Pointe,"Salt Lake City, UT",Lehi,US,3470 N Digital Dr,84043,UT,40.43097,-111.885939,Dusty Pyne,OPEN,America/Denver,https://www.chick-fil-a.com/lehipointe,27.0,9.0,2017.0,2017-09-27,interior,True,Stand Alone,False,POINT (-111.885939 40.43097)
Draper,"Salt Lake City, UT",Draper,US,357 E 12300 S,84020,UT,40.527214,-111.881037,Troy Apolonio,OPEN,America/Denver,https://www.chick-fil-a.com/draper,16.0,10.0,2014.0,2014-10-16,interior,True,Stand Alone,False,POINT (-111.881037 40.527214)
Mountain View Village,"Salt Lake City, UT",Riverton,US,4627 W Partridge Hill Ln,84096,UT,40.5086821,-112.0007838,Becky Pickle,OPEN,America/Denver,https://www.chick-fil-a.com/mountainviewvillageut,6.0,3.0,2019.0,2019-03-06,interior,True,Stand Alone,False,POINT (-112.0007838 40.5086821)
South Jordan,"Salt Lake City, UT",South Jordan,US,11494 S District Dr,84095,UT,40.54246,-111.983638,Becky Pickle,OPEN,America/Denver,https://www.chick-fil-a.com/southjordan,22.0,5.0,2008.0,2008-05-22,interior,True,Stand Alone,False,POINT (-111.983638 40.54246)
Orem Plaza,"Salt Lake City, UT",Orem,US,121 N State St,84057,UT,40.2995765,-111.69667733,Jason MacDonald,OPEN,America/Denver,https://www.chick-fil-a.com/oremplaza,28.0,8.0,2014.0,2014-08-28,interior,True,Stand Alone,False,POINT (-111.69667733 40.2995765)
Jordan Landing,"Salt Lake City, UT",West Jordan,US,7676 S Campus View Dr,84084,UT,40.6117577,-111.9807082,Rob Dinsdale,OPEN,America/Denver,https://www.chick-fil-a.com/jordanlanding,6.0,11.0,2008.0,2008-11-06,interior,True,Stand Alone,False,POINT (-111.9807082 40.6117577)
Fort Union,"Salt Lake City, UT",Midvale,US,1088 E Fort Union Blvd,84047,UT,40.6233121,-111.8614456,Gene Parsons,OPEN,America/Denver,https://www.chick-fil-a.com/fortunion,17.0,3.0,2011.0,2011-03-17,interior,True,Stand Alone,False,POINT (-111.8614456 40.6233121)
Grove City,"Columbus, OH",Grove City,US,1696 Stringtown Rd,43123,OH,39.87896,-83.03959,Joe Benson,OPEN,America/New_York,https://www.chick-fil-a.com/grovecity,14.0,12.0,2006.0,2006-12-14,interior,True,Stand Alone,False,POINT (-83.03959 39.87896)
Grandview Yard,"Columbus, OH",Columbus,US,807 W 3rd Ave,43212,OH,39.9835629,-83.025964,Seth Flores,OPEN,America/New_York,https://www.chick-fil-a.com/grandviewyard,18.0,1.0,2018.0,2018-01-18,interior,True,Stand Alone,False,POINT (-83.025964 39.9835629)
The OSU In-Line,"Columbus, OH",Columbus,US,1924 N High St,43201,OH,40.0016093,-83.008134,Adam DiSibio,OPEN,America/New_York,https://www.chick-fil-a.com/theosuinline,16.0,8.0,2018.0,2018-08-16,none,False,In-Line,False,POINT (-83.008134 40.0016093)
Market of Hilliard,"Columbus, OH",Hilliard,US,1988 Hilliard Rome Rd,43026,OH,39.991347,-83.151261,Josh Crowe,OPEN,America/New_York,https://www.chick-fil-a.com/marketofhilliard,2.0,12.0,2004.0,2004-12-02,interior,True,Stand Alone,False,POINT (-83.151261 39.991347)
Market at East Broad,"Columbus, OH",Columbus,US,6240 E Broad St,43213,OH,39.9810025,-82.8347366,Karen Bolumen,OPEN,America/New_York,https://www.chick-fil-a.com/marketateastbroad,17.0,12.0,2009.0,2009-12-17,none,True,Stand Alone,False,POINT (-82.8347366 39.9810025)
Tuttle Crossing Mall,"Columbus, OH",Dublin,US,5043 Tuttle Crossing Blvd Ste 169,43016,OH,40.0726366,-83.1305626,Kevin Harris,OPEN,America/New_York,https://www.chick-fil-a.com/tuttlecrossingmall,24.0,7.0,1997.0,1997-07-24,none,False,Food Court,True,POINT (-83.1305626 40.0726366)
Tuttle Crossing (OH),"Columbus, OH",Dublin,US,6105 Parkcenter Cir,43017,OH,40.0772305,-83.1319903,Brian Siktberg,OPEN,America/New_York,https://www.chick-fil-a.com/tuttlecrossingoh,21.0,10.0,2021.0,2021-10-21,none,True,Stand Alone,False,POINT (-83.1319903 40.0772305)
Reynoldsburg (OH),"Columbus, OH",Reynoldsburg,US,2364 Taylor Park Dr,43068,OH,39.936087,-82.7907527,Zach Mallare,OPEN,America/New_York,https://www.chick-fil-a.com/reynoldsburgoh,9.0,9.0,2021.0,2021-09-09,interior,True,Stand Alone,False,POINT (-82.7907527 39.936087)
Easton Town Center,"Columbus, OH",Columbus,US,3940 Morse Rd,43219,OH,40.05982667,-82.91646167,Paul Rankin,OPEN,America/New_York,https://www.chick-fil-a.com/eastontowncenter,7.0,6.0,2018.0,2018-06-07,interior,True,Stand Alone,False,POINT (-82.91646167 40.05982667)
Sawmill Road,"Columbus, OH",Dublin,US,6051 Sawmill Rd,43017,OH,40.08954,-83.09243,Brian Siktberg,OPEN,America/New_York,https://www.chick-fil-a.com/sawmillroad,26.0,5.0,2011.0,2011-05-26,interior,True,Stand Alone,False,POINT (-83.09243 40.08954)
