,license_no,name,address,city,state,zip,expires,wc_carrier,wc_exp_date,bond_issuer,bond_eff_date,bond_issuer_clean
27,TA000207907,"THE POLYGON GROUP, INC.","303 N GLENOAKS BLVD., SUITE 200",BURBANK,CA,91502,2020-04-18,STATE FUND,2020-04-01,SURETY BONDS,2018-11-05,SURETY BONDS
28,TA000207908,"ASTON MODELS, INC  DBA ASTON MODELS AND TALENT",332 S. BEVERLY DR. #100,BEVERLY HILLS,CA,90212,2019-12-30,SCIF,2019-03-06,BOND EXPRESS,2017-09-03,BOND EXPRESS
29,TA000207917,JOHN STEVEN  DBA MATRIX MODELS,4230 CENTINELA AVE APT 104,LOS ANGELES,CA,90066,2020-01-08,NAN,,ARTISAN BOND,2018-06-06,ARTISAN BOND
33,TA000208070,M.O.B. INC.,6404 WILSHIRE BLVD #505,LOS ANGELES,CA,90048,2020-02-07,STATE FUND,2019-07-01,WESTERNSURETY,2018-10-04,WESTERN SURETY
35,TA000208140,"EPIC ENTERTAINMENT, LLC",77570 SPRINGFIELD LANE STE J,PALM DESERT,CA,92211,2020-02-16,TRAVELERS PROPERTY CASUALTY,2020-01-15,AMERICAN CONTRACTORS INDEMNITY,2007-03-06,AMERICAN CONTRACTORS INDEMNITY
36,TA000208150,RUSSELL TODD  DBA RUSSELL TODD AGENCY,5238 GOODLAND AVENUE,VALLEY VILLAGE,CA,91607,2020-03-14,NAN,,THE GRAY CASU,2018-07-15,GRAY CASU
37,TA000208245,"JORDAN LEE, INC.  DBA GOLD LEVIN TALENT",8424A SANTA MONICA BLVD #706,LOS ANGELES,CA,90069,2020-01-04,NAN,,HARTFORD FIRE INSURANCE COMPANY,2012-03-12,HARTFORD
38,TA000208245,"JORDAN LEE, INC.  DBA GOLD LEVIN TALENT",8424A SANTA MONICA BLVD #706,LOS ANGELES,CA,90069,2021-01-04,NAN,,HARTFORD,2019-03-12,HARTFORD
39,TA000208258,"THE SAVAGE AGENCY, INC.",1041 N. FORMOSA AVE. SANTA MONICA E. BLDG. STE 103,WEST HOLLYWOOD,CA,90046,2020-02-13,AMGUARD INSURANCE COMPANY,2019-08-10,SURETY1,2018-02-23,SURETY 1
40,TA000208408,"IT MODEL MANAGEMENT, LLC  DBA IT MODEL AND TALENT ",5151 CALIFORNIA AVE. #100,IRVINE,CA,92617,2020-04-07,NAN,,INTERNATIONAL FIDELITY INSURANCE COMPANY,2016-04-08,INTERNATIONAL FIDELITY INSURANCE
45,TA000211615,PATTY A. MEZIN & EDWARD N. GOLDBERG  DBA CHIC MODE,"5150 E. PACIFIC COAST HWY., SUITE 200",LONG BEACH,CA,90804,2020-01-26,NAN,,SURETY1,2019-01-24,SURETY 1
48,TA000211850,"LITTMAN TALENT GROUP, INC.","4500 PARK GRANADA, SUITE 202",CALABASAS,CA,91302,2020-01-22,NAN,,GREAT AMERICAN INSURANCE COMPANIES,2018-06-28,GREAT AMERICAN INSURANCE COMPANIES
49,TA000211922,MAVEN ARTISTS AGENCY LLC,269 SOUTH BEVERLY DRIVE #204,BEVERLY HILLS,CA,90212,2020-05-19,NAN,,STATE FARM,2015-07-13,STATE FARM
50,TA000212014,COX MODELING LLC,"9900 STIRLING ROAD, SUITE 226",COOPER CITY,FL,33024,2019-12-14,NAN,,SURETY 1,2018-10-06,SURETY 1
51,TA000212014,COX MODELING LLC,"9900 STIRLING ROAD, SUITE 226",COOPER CITY,FL,33024,2020-12-14,NAN,,SURETY 1,2018-10-06,SURETY 1
53,TA000212021,"JIM-DAL ENTERPRISES, INC.  DBA WORLD MODELING TALE",9619 CANOGA AVENUE,CHATSWORTH,CA,91311,2020-03-26,NAN,,AMERICAN INDEMNITY INSURANCE COMPANY,2018-07-03,AMERICAN INDEMNITY INSURANCE
54,TA000212059,"JEP ENTERTAINMENT GROUP, INC.",2083 BOOTH STREET,SIMI VALLEY,CA,93065,2020-03-16,NAN,,THE HARTFORD FIRE INSURANCE,2018-10-01,HARTFORD
55,TA000212242,KINGVIGOR INC.,4522 WOODMAN AVE C312,SHERMAN OAKS,CA,91423,2020-02-09,NAN,,SURETY 1,2011-12-01,SURETY 1
57,TA000212528,INTERNATIONAL TALENT AGENCY LLC,"9701 WILSHIRE BLVD., SUITE 1000",BEVERLY HILLS,CA,90212,2020-02-22,NAN,,SURETEC INSURANCE COMPANY,2019-01-16,SURETEC INSURANCE
60,TA000212567,CADENZA ARTISTS LLC,"1000 GRANVILLE AVENUE, SUITE 301",LOS ANGELES,CA,90049,2020-03-03,NAN,,STATE FARM,2019-05-01,STATE FARM
61,TA000212649,"PANTHEON TALENT GROUP, LLC  DBA PANTHEON",1801 CENTURY PARK EAST #1910,LOS ANGELES,CA,90067,2019-12-19,TRAVELERS,2019-10-28,AMERICAN CONTRACTORS INDEMNITY COMPANY,2006-02-23,AMERICAN CONTRACTORS INDEMNITY
62,TA000212687,"AB2 TALENT, LLC","11601 WILSHIRE BOULEVARD, STE 500, 5TH FLOOR",LOS ANGELES,CA,90025,2020-01-14,NAN,,THE HARTFORD FIRE INSURANCE,2019-02-17,HARTFORD
63,TA000212736,"ALL ACCESS TALENT, INC.",121 W LEXINGTON DR STE 414,GLENDALE,CA,91203,2019-12-13,NAN,,HARTFORD FIRE INSURANCE COMPANY,2016-01-04,HARTFORD
64,TA000212736,"ALL ACCESS TALENT, INC.",121 W LEXINGTON DR STE 414,GLENDALE,CA,91203,2020-12-13,NAN,,THE HARTFORD FIRE INSURANCE,2016-01-04,HARTFORD
67,TA000212776,HOLLYWOOD ORIGINAL TALENT,"6115 SELMA AVENUE, SUITE 207",LOS ANGELES,CA,90028,2019-12-23,NAN,,WESTERN SURETY COMPANY,2014-05-19,WESTERN SURETY
69,TA000212836,"TRACEY MATTINGLY, LLC","717 N. HIGHLAND AVE., #9",LOS ANGELES,CA,90038,2020-03-26,NAN,,THE HARTFORD FIRE INSURANCE,2018-07-03,HARTFORD
73,TA000212874,THE IRV SCHECHTER COMPANY,"9460 WILSHIRE BOULEVARD, SUITE 300",BEVERLY HILLS,CA,90212,2020-04-12,GREAT DIVIDE INSURANCE,2020-10-27,HARTFORD FIRE INSURANCE COMPANY,2006-12-01,HARTFORD
75,TA000212960,RYAN BAZLER  DBA LUMINARY TALENT,"550 SOUTH HILL STREET, SUITE 1607/A262",LOS ANGELES,CA,90013,2020-02-28,NAN,,PHILADELPHIA INSURANCE COMPANIES,2018-04-08,PHILADELPHIA INSURANCE COMPANIES
76,TA000212962,ARCADIO M. CASTILLO,4115 GLENCOE AVE. #114,MARINA DEL REY,CA,90292,2020-10-01,NAN,,SURETY1,2018-08-28,SURETY 1
80,TA000213263,SARAH YAPELLI  DBA BLACK APPLE TALENT,1112 MONTANA AVE UNIT 609,SANTA MONICA,CA,90403,2020-04-03,NAN,,HARTFORD,2015-10-22,HARTFORD
81,TA000213284,PALOMERA DE LA REE PRODUCCIONES  DBA PALOMERA GROU,1460 NW 107 AVE SUITE Q,MIAMI,FL,33172,2020-03-14,NAN,,RLI INSURANCE,2017-04-26,RLI INSURANCE
82,TA000213288,STEVEN CUTLER  DBA CATALYST TALENT AGENCY,"12424 WILSHIRE BLVD, 9TH FLOOR",LOS ANGELES,CA,90025,2020-09-19,NAN,,STATE FARM,2019-04-23,STATE FARM
85,TA000213440,DONNA LEE TARDIVE  DBA CAREER ARTISTS INTERNATIONA,11030 VENTURA BLVD #3,STUDIO CITY,CA,91604,2020-03-05,NAN,,THE HARTFORD FIRE INSURANCE,2019-04-25,HARTFORD
87,TA000213524,NEXT MANAGEMENT LLC,15 WATTS STREET,NEW YORK,NY,10013,2020-03-04,CHUBB,2019-12-19,ST PAUL TRAVELERS CASUALTY AND INSURANCE COMPANY,1996-05-18,ST PAUL TRAVELERS CASUALTY AND INSURANCE
90,TA000213711,SCOTT STUART REIFMAN  DBA ODDS ON AGENCY,802 NORTH VISTA STREET,LOS ANGELES,CA,90046,2020-03-17,NAN,,AEGIS SECURITY INSURANCE COMPANY,2019-03-20,AEGIS SECURITY INSURANCE
94,TA000213748,GLOBAL TALENT AGENCY LLC,2615 WEST MAGNOLIA BLVD SUITE 101,BURBANK,CA,91505,2020-02-02,NAN,,AMERICAN CONTRACTORS INDEMNITY,2009-11-04,AMERICAN CONTRACTORS INDEMNITY
95,TA000213748,GLOBAL TALENT AGENCY LLC,2615 WEST MAGNOLIA BLVD SUITE 101,BURBANK,CA,91505,2021-02-02,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2009-11-04,AMERICAN CONTRACTORS INDEMNITY
96,TA000213850,"INNOVATIVE PRODUCTIONS, INC.  DBA INNOVATIVE ENTER","2525 16TH STREET, # 304",SAN FRANCISCO,CA,94103,2020-02-03,STATE FUND,2019-12-31,WELLS FARGO,2007-02-13,WELLS FARGO
98,TA000213871,"THE RAGE GROUP, INC.  DBA RAGE MODELS, RTA, RAGE T",23586 CALABASAS ROAD UNIT 104,CALABASAS,CA,91302,2020-02-10,STATE COMP,2019-08-01,SCOTTSDALE IN,2018-03-21,SCOTTSDALE IN
100,TA000213929,LENHOFF ENTERPRISES INCORPORATED  DBA LENHOFF & LE,"100 S. DOHENY DRIVE, #214",LOS ANGELES,CA,90048,2020-04-24,NAN,,THE HARTFORD,2019-04-24,HARTFORD
101,TA000213941,"PARADISE ARTISTS, INC.",108 EAST MATILIJA STREET,OJAI,CA,93023,2020-02-02,SCOTTSDALE INSURANCE COMPANY,2019-08-01,CNA SURETY,2018-12-18,CNA SURETY
102,TA000213968,"THE ROSS AGENCY, INC.",5150 EAST PACIFIC COAST HIGHWAY SUITE 200,LONG BEACH,CA,90804,2019-12-15,NAN,,PRO SURETY,2017-11-13,PRO SURETY
103,TA000213968,"THE ROSS AGENCY, INC.",5150 EAST PACIFIC COAST HIGHWAY SUITE 200,LONG BEACH,CA,90804,2020-12-15,NAN,,PRO SURETY,2018-11-22,PRO SURETY
104,TA000214014,JEFF WOLFMAN  DBA FRED R. PRICE TALENT AGENCY,14044 VENTURA BLVD. STE. 201,SHERMAN OAKS,CA,91423,2020-03-22,NAN,,SURETYBONDS.C,2019-03-23,SURETYBONDS.C
105,TA000214055,AVALON ARTISTS GROUP INC,"5455 WILSHIRE BLVD,  SUITE 900",LOS ANGELES,CA,90036,2020-04-26,WWC3384312,2019-12-01,HARTFORD FIRE,2012-04-26,HARTFORD
108,TA000214130,JACQUELINE LEWIS  DBA LEWIS & BEAL TALENT AGENCY,3406 W. BURBANK BLVD,BURBANK,CA,91505,2019-12-30,AMGUARD INSURANCE CO.,2019-12-14,THE HARTFORD FIRE INSURANCE,2010-10-26,HARTFORD
109,TA000214136,BROWN MANAGEMENT GROUP INC  DBA BMG MODELS,5455 WILSHIRE BLVD SUITE 900,LOS ANGELES,CA,90036,2020-04-26,WWC3384312,2019-12-01,HARTFORD FIRE,2019-04-26,HARTFORD
111,TA000214220,"POWER TALENT AGENCY, INC.  DBA POWER",2305 HISTORIC DECATUR RD,SAN DIEGO,CA,92106,2020-02-25,AP INTEGO,2020-01-18,CNA WESTERN B,2016-12-08,WESTERN SURETY
113,TA000214324,"BELL HALL TALENT, INC  DBA BH TALENT",16430 VENTURA BLVD SUITE 200,ENCINO,CA,91436,2020-01-06,NAN,,THE HARTFORD FIRE INSURANCE,2016-02-17,HARTFORD
114,TA000214324,"BELL HALL TALENT, INC  DBA BH TALENT",16430 VENTURA BLVD SUITE 200,ENCINO,CA,91436,2021-01-06,NAN,,HARTFORD,2019-01-31,HARTFORD
115,TA000214346,"THE STEIN AGENCY, INC.  DBA THE STEIN AGENCY",5125 OAKDALE AVE,WOODLAND HILLS,CA,91364,2020-04-09,STATE FUND,2020-03-01,AMERICAN CONTRACTORS INEMNITY COMPANY,2017-04-03,AMERICAN CONTRACTORS INEMNITY
116,TA000214362,DANIEL SWAN  DBA SWAN ENTERTAINMENT,2600 TENTH STREET SUITE 433,BERKELEY,CA,94710,2020-04-24,STATE FUND INSURANCE,2019-04-01,STATE FARM FIRE & CASUALTY COMPANY,2009-04-24,STATE FARM
118,TA000214480,PROGRESSIVE ARTISTS AGENCY CORP,"9696 CULVER BLVD, SUITE 110",CULVER CITY,CA,90232,2020-01-30,STATE FUND,2019-10-01,THE HARTFORD FIRE INSURANCE,2006-05-10,HARTFORD
120,TA000214575,"MICHAEL BELTRAN, TROY GILMORE AND FREDERICK J. HAR",2665 ARIANE DRIVE #207,SAN DIEGO,CA,92117,2020-03-24,NAN,,HCC,2018-12-30,HCC
121,TA000214665,KATHLEEN SCHULTZ  DBA KATHLEEN SCHULTZ ASSOCIATES,6442 COLDWATER CANYON SUITE 206,VALLEY GLEN,CA,91606,2020-03-12,NAN,,HARTFORD,2016-12-19,HARTFORD
122,TA000214700,ABRAHAM M KHOUREIS  DBA AMK HOLLYWOOD TALENT AGENC,2223 WEST COLORADO BLVD,LOS ANGELES,CA,90041,2020-03-07,NAN,,WESTERN SURETY,2011-03-01,WESTERN SURETY
125,TA000214787,GREG SCUDERI AND OSCAR ARCE  DBA MASTER TALENT AGE,15315 MAGNOLIA BLVD SUITE 430,SHERMAN OAKS,CA,91403,2020-06-30,NAN,,RLI INSURANCE COMPANY,2019-04-20,RLI INSURANCE
126,TA000214790,JANET WILLIAMSON  DBA THE JANET WILLIAMSON MUSIC A,2120 ROSELIN PLACE,LOS ANGELES,CA,90039,2020-03-27,NAN,,WESTERN,2019-03-28,WESTERN SURETY
127,TA000214827,"O'NEILL TALENT GROUP, LLC",4150 RIVERSIDE DRIVE SUITE 212,BURBANK,CA,91505,2020-04-03,STATE FUND,2019-06-22,OLD REPUBLIC SURETY COMPANY,2018-12-16,OLD REPUBLIC
128,TA000214968,SANDRA MARSH & ASSOCIATES,"6420 WILSHIRE BLVD., STE. 880",LOS ANGELES,CA,90048-5538,2020-06-18,THE HARTFORD,2020-01-04,NATIONWIDE MUTUAL INSURANCE COMPANY,2018-06-18,NATIONWIDE MUTUAL INSURANCE
130,TA000214975,CYNTHIA BOOTH  DBA SINGULAR TALENT,9358 W. OLYMPIC BLVD,BEVERLY HILLS,CA,90212,2020-03-31,NAN,,THE HARTFORD,2018-10-19,HARTFORD
133,TA000215012,AUR-AELION E ISRAEL  DBA ALMOND TALENT AGENCY,8217 BEVERLY BLVD SUITE 8,LOS ANGELES,CA,90048,2020-04-01,STATE FUND,2019-11-20,HARTFORD,2019-06-30,HARTFORD
135,TA000215062,EVENT MODEL GROUP LLC  DBA EMG TALENT  DBA EMG MOD,7080 HOLLYWOOD BLVD SUITE 1100,LOS ANGELES,CA,90028,2020-04-12,NAN,,RLI INSURANCE,2018-11-01,RLI INSURANCE
137,TA000215086,MICHAEL PICK INTERNATIONAL INC  DBA MPI TALENT AGE,12100 WILSHIRE BLVD SUITE 1030,LOS ANGELES,CA,90025,2020-04-01,NEW YORK MARINE AND GENERAL INSURANCE CO.,2019-12-29,HARTFORD FIRE INSURANCE,2018-02-14,HARTFORD
141,TA000215137,THE TALENT HOUSE SF LLC  DBA THE TALENT HOUSE LA,3770 HIGHLAND AVE. SUITE 201,MANHATTAN BEACH,CA,90266,2020-03-20,NAN,,SURETY 1,2019-02-20,SURETY 1
143,TA000215892,"SCORE A SCORE, LLC",8455 BEVERLY BLVD STE 309,LOS ANGELES,CA,90048,2020-06-02,NAN,,TOKIO MARINE,2019-05-10,TOKIO MARINE
145,TA000216127,THERESA WORHACH  DBA WILD BRIAR TALENT,2620 W. MAIN ST.,ALHAMBRA,CA,91801,2020-02-19,NAN,,SURETY1,2019-01-04,SURETY 1
146,TA000216135,"COMMON CHORD, LLC",25 MADISON AVENUE,NEW YORK,NY,10010-8601,2020-02-24,"MARSH USA,INC",2019-04-01,SAFECO,2019-02-20,SAFECO
148,TA000216178,"THE CROFOOT GROUP, INC.",4123 PARK VERDI,CALABASAS,CA,91302,2020-02-14,NAN,,SURETY1,2019-02-14,SURETY 1
149,TA000216192,"ME TOO PEANUT, INC.  DBA SCHNEIDER ENTERTAINMENT A",22287 MULHOLLAND HWY SUITE 210,CALABASAS,CA,91302,2020-03-08,SEQUOIA INSURANCE AGENCY,2019-11-11,HARTFORD FIRE INSURANCE,2006-03-08,HARTFORD
151,TA000216220,GREENE AND ASSOCIATES TALENT AGENCY,"1901 AVENUE OF THE STARS, STE 130",LOS ANGELES,CA,90067,2020-03-06,EMPLOYERS,2019-12-01,SURETY1,2019-01-17,SURETY 1
152,TA000216234,"DIGITAL DEVELOPMENT MANAGEMENT, INC.","17 NEW SOUTH ST., SUITE 205",NORTHAMPTON,MA,1060,2020-04-13,TRAVELERS,2020-01-08,HCC SURETY GR,2019-01-06,HCC SURETY GR
155,TA000216276,"INSURGE-ENT, LLC",2144 NORTH JUNIPERO AVENUE,PALM SPRINGS,CA,92262,2020-03-02,NAN,,STATE FARM,2019-03-29,STATE FARM
156,TA000216276,"INSURGE-ENT, LLC",2144 NORTH JUNIPERO AVENUE,PALM SPRINGS,CA,92262,2021-03-02,NAN,,STATE FARM,2019-03-24,STATE FARM
157,TA000216286,BELLA AGENCY LLC,1680 NORTH VINE STREET SUITE 714,LOS ANGELES,CA,90028,2020-05-17,PAYCHEX,2019-04-30,OLD REPUBLIC,2019-02-21,OLD REPUBLIC
158,TA000216294,JOHN PIERCE AGENCY INC,3270 CASITAS AVE.,LOS ANGELES,CA,90039,2020-04-28,NAN,,THE HARTFORD,2019-01-04,HARTFORD
162,TA000216395,"THIRD HILL ENTERTAINMENT, INC.",195 SOUTH BEVERLY DRIVE SUITE 400,BEVERLY HILLS,CA,90212,2020-03-25,TRAVELERS,2020-02-07,HARTFORD,2019-05-01,HARTFORD
164,TA000216459,CONNOR ANKRUM AND ASSOCIATES INC,1680 NORTH VINE STREET SUITE 916,LOS ANGELES,CA,90028,2020-01-15,TRAVELERS PROPERTY CASUALTY OF INSURANCE,2019-05-01,SURETY1,2019-01-01,SURETY 1
165,TA000216468,SCREEN ARTISTS AGENCY LLC,16505 ARMINTA STREET,VAN NUYS,CA,91406,2020-04-24,NAN,,HARTFORD FIRE INSURANCE COMPANY,2006-03-08,HARTFORD
166,TA000216481,FAST SOLUTIONS INC  DBA BETWIXT TALENT,1110 ROSE AVENUE,VENICE,CA,90291,2020-01-22,NAN,,THE HARTFORD FIRE,2019-02-20,HARTFORD
167,TA000216491,"FRANK ELLIOT SHAPIRO TALENT AGENCY, LLC",5522 LEMONA AVENUE,SHERMAN OAKS,CA,91411,2020-04-15,NAN,,WESTERN SURETY COMPANY,2015-02-04,WESTERN SURETY
168,TA000216509,WRENN MANAGEMENT LLC,7805 SUNSET BLVD.  #211,LOS ANGELES,CA,90046,2020-05-05,NAN,,SURETY1,2019-05-15,SURETY 1
169,TA000216757,"BIENSTOCK LLC  DBA BIENSTOCK, A UNITED TALENT AGEN","888 7TH AVENUE, SUITE 913",NEW YORK,NY,10106,2020-03-10,FEDERAL INSURANCE COMPANY,2020-01-01,TRAVELERS,2017-03-23,TRAVELERS
172,TA000216826,YULIYA RODRIGUEZ  DBA JVC TALENT AGENCY,11030 VENTURA BLVD SUITE 2,STUDIO CITY,CA,91604,2020-02-15,NAN,,SURETY BOND,2018-07-01,SURETY BOND
176,TA000216967,MIDWEST TALENT MANAGEMENT INC,11211 COHASSET STREET,SUN VALLEY,CA,91352,2020-04-28,STATE FUND,2020-08-01,THE HARTFORD FIRE INSURANCE,2006-02-01,HARTFORD
177,TA000216994,PAULA MCAFEE  DBA STARCRAFT TALENT AGENCY,27525 NEWHALL RANCH ROAD SUITE 7D 2ND FLOOR,VALENCIA,CA,91355,2020-04-22,NAN,,CITIBANK,2006-05-23,CITIBANK
182,TA000217128,AC TALENT AGENCY LLC,8447 WILSHIRE BLVD PH,BEVERLY HILLS,CA,90211,2020-03-07,STATE FUND,2019-05-06,HARTFORD FIRE,2018-09-10,HARTFORD
183,TA000217129,"STEWART TALENT MANAGEMENT LA, INC","1601 VINE ST., 6TH FLOOR",LOS ANGELES,CA,90028,2020-05-20,HISCOX,2019-10-01,THE HARTFORD,2019-04-30,HARTFORD
185,TA000217152,KIM LEE OSGOOD  DBA ZEPHYR TALENT AGENCY,"418 BAMBOO LANE, STE. A",LOS ANGELES,CA,90012,2020-04-21,NAN,,SURETYBONDS,2019-04-06,SURETYBONDS
189,TA000217234,SMITH & HERVEY / GRIMES TALENT AGENCY LLC,3002 MIDVALE AVENUE SUITE 206,LOS ANGELES,CA,90034,2020-04-22,STATE FUND,2019-05-01,OLD SURETY GROUP,2018-05-06,OLD SURETY GROUP
190,TA000217241,DEBORAH DEOLIVEIRA / LEA ANNE WOLFE  DBA CRACKERJA,811 N ONTARIO ST.,BURBANK,CA,91505,2020-03-30,NAN,,BONDS EXPRESS,2018-10-03,BONDS EXPRESS
191,TA000217257,MAVRICK ARTISTS AGENCY INC,"8447 WILSHIRE BLVD, SUITE 301",BEVERLY HILLS,CA,90211,2020-06-28,EMPLOYERS,2020-03-09,HARTFORD FIRE,2016-11-30,HARTFORD
192,TA000217276,DAVID BELENZON MANAGEMENT INC.,2067 FIRST AVENUE,SAN DIEGO,CA,92101,2020-05-19,SCIF,2020-02-01,OLD REPUBLIC,2018-05-14,OLD REPUBLIC
193,TA000217365,"BRADY, BRANNON & RICH, LLC",5670 WILSHIRE BLVD SUITE 820,LOS ANGELES,CA,90036,2020-06-06,SEQUOIA INS,2020-11-07,PLATTE RIVER,2018-12-27,PLATTE RIVER
195,TA000217378,PRIMA EASTWEST MODEL MGMT  DBA Q MODEL MANAGEMENT,8618 WEST THIRD STREET,LOS ANGELES,CA,90068,2020-03-21,FEDERAL INSURANCE CO.,2019-08-11,THE HARTFORD FIRE INSURANCE,2018-10-01,HARTFORD
196,TA000217380,LLOYD D ROBINSON  DBA SUITE A MANAGEMENT TALENT & ,136 EL CAMINO DRIVE SUITE 410,BEVERLY HILLS,CA,90212,2020-06-23,NAN,,HANOVER,2018-06-28,HANOVER
198,TA000217474,CHARLOTTE GUSAY  DBA THE CHARLOTTE GUSAY LITERARY ,10532 BLYTHE AVENUE,LOS ANGELES,CA,90064,2020-06-09,NAN,,AEGIS,2019-06-10,AEGIS
200,TA000217525,WILLIAM KERWIN  DBA WILLIAM KERWIN AGENCY,1605 NORTH CAHUENGA BLVD SUITE 202,HOLLYWOOD,CA,90028,2020-06-27,NAN,,AMERICAN CONTRACTORS INDEMNITY COMPANY,2006-03-20,AMERICAN CONTRACTORS INDEMNITY
201,TA000217618,AKA TALENT AGENCY,"4525 WILSHIRE BOULEVARD, SUITE 280",LOS ANGELES,CA,90010,2020-04-22,GREAT DIVIDE INSURANCE CO.,2019-06-01,WESTERN SURETY COMPANY,2019-04-15,WESTERN SURETY
202,TA000217677,"MARIA MATIAS MUSIC, INC.  DBA MARIA MATIAS MUSIC",28182 ROBINSON CANYON ROAD,CARMEL,CA,93923,2020-04-09,STATE FUND,2020-09-01,OLD REPUBLIC,2018-08-01,OLD REPUBLIC
203,TA000217683,ARUNI SASASMITH BLOUNT  DBA THE EMPOWERED ARTIST,717 PINE AVENUE,LONG BEACH,CA,90813,2020-03-30,NAN,,SURETY1,2019-04-21,SURETY 1
205,TA000217743,"EXCLUSIVE ARTISTS MGMT, INC.",7700 WEST SUNSET BLVD SUITE 205,LOS ANGELES,CA,90046,2020-06-23,ACORD,2019-12-30,TOKIO MARINE,2018-11-17,TOKIO MARINE
207,TA000217765,DEROSSI ELLIS AND HUBBARD NETWORK MEDIA GROUP LLC ,117 E COLORADO BLVD SUITE 600,PASADENA,CA,91105,2020-04-27,EMPLOYERS PREFERRED INS. CO.,2020-03-22,THE HARTFORD FIRE INSURANCE COMPANY,2016-05-26,HARTFORD
209,TA000217780,"REIGN AGENCY, LLC",400 SOUTH BEVERLY DRIVE SUITE 250,BEVERLY HILLS,CA,90212,2020-05-01,NAN,,HARTFORD FIRE,2018-11-16,HARTFORD
210,TA000217787,"DEL ENTERTAINMENT, INC.",6400 GARFIELD AVE,BELL GARDENS,CA,90201,2020-01-13,AMERICAN INSURANCE COMPANY,2019-01-19,TOKIO MARINE HCC,2018-06-29,TOKIO MARINE HCC
211,TA000217805,Z ENTERTAINMENT GROUP,4721 LAUREL CANYON BOULEVARD,VALLEY VILLAGE,CA,91607,2020-05-12,NAN,,CNA,2019-05-01,CNA
212,TA000217819,THE BROGAN AGENCY LLC,1517 PARK ROW,VENICE,CA,90291,2020-04-01,STATE FUND,2020-07-17,SURETY1,2012-07-11,SURETY 1
213,TA000217833,"COMMERCIALS UNLIMITED, INC.",10300 WILSHIRE BLVD.,LOS ANGELES,CA,90024,2020-06-30,NAN,,THE HARTFORD,2018-02-13,HARTFORD
