"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"	"O99.8"	22	279040168	0.0
"Total"	"1999"	"1999"			391	279040168	0.1
	"2000"	"2000"	"Tubal pregnancy"	"O00.1"	9	281421906	Unreliable
	"2000"	"2000"	"Other ectopic pregnancy"	"O00.8"	1	281421906	Unreliable
	"2000"	"2000"	"Ectopic pregnancy, unspecified"	"O00.9"	15	281421906	Unreliable
	"2000"	"2000"	"Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage"	"O03.1"	1	281421906	Unreliable
	"2000"	"2000"	"Spontaneous abortion, complete or unspecified, with other and unspecified complications"	"O03.8"	2	281421906	Unreliable
	"2000"	"2000"	"Spontaneous abortion, complete or unspecified, without complication"	"O03.9"	1	281421906	Unreliable
	"2000"	"2000"	"Medical abortion, complete or unspecified, complicated by embolism"	"O04.7"	1	281421906	Unreliable
	"2000"	"2000"	"Medical abortion, complete or unspecified, with other and unspecified complications"	"O04.8"	2	281421906	Unreliable
	"2000"	"2000"	"Unspecified abortion, incomplete, complicated by genital tract and pelvic infection"	"O06.0"	1	281421906	Unreliable
	"2000"	"2000"	"Unspecified abortion, complete or unspecified, with other and unspecified complications"	"O06.8"	1	281421906	Unreliable
	"2000"	"2000"	"Unspecified abortion, complete or unspecified, without complication"	"O06.9"	2	281421906	Unreliable
	"2000"	"2000"	"Failed medical abortion, without complication"	"O07.4"	1	281421906	Unreliable
	"2000"	"2000"	"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"	"O10.1"	3	281421906	Unreliable
	"2000"	"2000"	"Pre-existing hypertensive disorder with superimposed proteinuria"	"O11"	2	281421906	Unreliable
	"2000"	"2000"	"Gestational oedema"	"O12.0"	1	281421906	Unreliable
	"2000"	"2000"	"Gestational [pregnancy-induced] hypertension without significant proteinuria"	"O13"	1	281421906	Unreliable
	"2000"	"2000"	"Moderate pre-eclampsia"	"O14.0"	1	281421906	Unreliable
	"2000"	"2000"	"Severe pre-eclampsia"	"O14.1"	16	281421906	Unreliable
	"2000"	"2000"	"Pre-eclampsia, unspecified"	"O14.9"	23	281421906	0.0
	"2000"	"2000"	"Eclampsia in pregnancy"	"O15.0"	4	281421906	Unreliable
	"2000"	"2000"	"Eclampsia in the puerperium"	"O15.2"	2	281421906	Unreliable
	"2000"	"2000"	"Eclampsia, unspecified as to time period"	"O15.9"	11	281421906	Unreliable
	"2000"	"2000"	"Unspecified maternal hypertension"	"O16"	12	281421906	Unreliable
	"2000"	"2000"	"Mild hyperemesis gravidarum"	"O21.0"	1	281421906	Unreliable
	"2000"	"2000"	"Superficial thrombophlebitis in pregnancy"	"O22.2"	1	281421906	Unreliable
	"2000"	"2000"	"Deep phlebothrombosis in pregnancy"	"O22.3"	4	281421906	Unreliable
	"2000"	"2000"	"Cerebral venous thrombosis in pregnancy"	"O22.5"	1	281421906	Unreliable
	"2000"	"2000"	"Venous complication in pregnancy, unspecified"	"O22.9"	6	281421906	Unreliable
	"2000"	"2000"	"Unspecified infection of urinary tract in pregnancy"	"O23.4"	1	281421906	Unreliable
	"2000"	"2000"	"Infections of the genital tract in pregnancy"	"O23.5"	2	281421906	Unreliable
	"2000"	"2000"	"Diabetes mellitus arising in pregnancy"	"O24.4"	1	281421906	Unreliable
	"2000"	"2000"	"Diabetes mellitus in pregnancy, unspecified"	"O24.9"	4	281421906	Unreliable
	"2000"	"2000"	"Liver disorders in pregnancy, childbirth and the puerperium"	"O26.6"	7	281421906	Unreliable
	"2000"	"2000"	"Other specified pregnancy-related conditions"	"O26.8"	10	281421906	Unreliable
	"2000"	"2000"	"Cardiac complications of anaesthesia during pregnancy"	"O29.1"	4	281421906	Unreliable
	"2000"	"2000"	"Twin pregnancy"	"O30.0"	2	281421906	Unreliable
	"2000"	"2000"	"Maternal care for intrauterine death"	"O36.4"	1	281421906	Unreliable
	"2000"	"2000"	"Maternal care for poor fetal growth"	"O36.5"	1	281421906	Unreliable
	"2000"	"2000"	"Infection of amniotic sac and membranes"	"O41.1"	2	281421906	Unreliable
	"2000"	"2000"	"Disorder of amniotic fluid and membranes, unspecified"	"O41.9"	1	281421906	Unreliable
	"2000"	"2000"	"Premature rupture of membranes, unspecified"	"O42.9"	1	281421906	Unreliable
	"2000"	"2000"	"Placenta praevia with haemorrhage"	"O44.1"	1	281421906	Unreliable
	"2000"	"2000"	"Other premature separation of placenta"	"O45.8"	1	281421906	Unreliable
	"2000"	"2000"	"Premature separation of placenta, unspecified"	"O45.9"	5	281421906	Unreliable
	"2000"	"2000"	"Antepartum haemorrhage with coagulation defect"	"O46.0"	1	281421906	Unreliable
	"2000"	"2000"	"Other antepartum haemorrhage"	"O46.8"	1	281421906	Unreliable
	"2000"	"2000"	"Antepartum haemorrhage, unspecified"	"O46.9"	6	281421906	Unreliable
	"2000"	"2000"	"Preterm delivery"	"O60"	1	281421906	Unreliable
	"2000"	"2000"	"Intrapartum haemorrhage with coagulation defect"	"O67.0"	1	281421906	Unreliable
	"2000"	"2000"	"Intrapartum haemorrhage, unspecified"	"O67.9"	3	281421906	Unreliable
	"2000"	"2000"	"Rupture of uterus before onset of labour"	"O71.0"	1	281421906	Unreliable
	"2000"	"2000"	"Rupture of uterus during labour"	"O71.1"	3	281421906	Unreliable
	"2000"	"2000"	"Obstetric laceration of cervix"	"O71.3"	1	281421906	Unreliable
	"2000"	"2000"	"Obstetric high vaginal laceration alone"	"O71.4"	2	281421906	Unreliable
	"2000"	"2000"	"Other obstetric injury to pelvic organs"	"O71.5"	1	281421906	Unreliable
	"2000"	"2000"	"Third-stage haemorrhage"	"O72.0"	4	281421906	Unreliable
	"2000"	"2000"	"Other immediate postpartum haemorrhage"	"O72.1"	4	281421906	Unreliable
	"2000"	"2000"	"Postpartum coagulation defects"	"O72.3"	3	281421906	Unreliable
	"2000"	"2000"	"Cardiac complications of anaesthesia during labour and delivery"	"O74.2"	1	281421906	Unreliable
	"2000"	"2000"	"Central nervous system complications of anaesthesia during labour and delivery"	"O74.3"	2	281421906	Unreliable
	"2000"	"2000"	"Shock during or following labour and delivery"	"O75.1"	11	281421906	Unreliable
	"2000"	"2000"	"Other complications of obstetric surgery and procedures"	"O75.4"	11	281421906	Unreliable
	"2000"	"2000"	"Other specified complications of labour and delivery"	"O75.8"	3	281421906	Unreliable
	"2000"	"2000"	"Complication of labour and delivery, unspecified"	"O75.9"	14	281421906	Unreliable
	"2000"	"2000"	"Puerperal sepsis"	"O85"	5	281421906	Unreliable
	"2000"	"2000"	"Venous complication in the puerperium, unspecified"	"O87.9"	2	281421906	Unreliable
	"2000"	"2000"	"Amniotic fluid embolism"	"O88.1"	47	281421906	0.0
	"2000"	"2000"	"Obstetric blood-clot embolism"	"O88.2"	10	281421906	Unreliable
	"2000"	"2000"	"Obstetric pyaemic and septic embolism"	"O88.3"	1	281421906	Unreliable
	"2000"	"2000"	"Cardiac complications of anaesthesia during the puerperium"	"O89.1"	1	281421906	Unreliable
	"2000"	"2000"	"Cardiomyopathy in the puerperium"	"O90.3"	27	281421906	0.0
	"2000"	"2000"	"Obstetric death of unspecified cause"	"O95"	4	281421906	Unreliable
	"2000"	"2000"	"Other viral diseases complicating pregnancy, childbirth and the puerperium"	"O98.5"	2	281421906	Unreliable
	"2000"	"2000"	"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium"	"O98.8"	1	281421906	Unreliable
	"2000"	"2000"	"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium"	"O99.1"	1	281421906	Unreliable
	"2000"	"2000"	"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium"	"O99.3"	1	281421906	Unreliable
	"2000"	"2000"	"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"	"O99.4"	18	281421906	Unreliable
	"2000"	"2000"	"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium"	"O99.5"	6	281421906	Unreliable
	"2000"	"2000"	"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"	"O99.8"	26	281421906	0.0
"Total"	"2000"	"2000"			396	281421906	0.1
	"2001"	"2001"	"Tubal pregnancy"	"O00.1"	7	284968955	Unreliable
	"2001"	"2001"	"Other ectopic pregnancy"	"O00.8"	1	284968955	Unreliable
	"2001"	"2001"	"Ectopic pregnancy, unspecified"	"O00.9"	15	284968955	Unreliable
	"2001"	"2001"	"Blighted ovum and nonhydatidiform mole"	"O02.0"	1	284968955	Unreliable
	"2001"	"2001"	"Missed abortion"	"O02.1"	1	284968955	Unreliable
	"2001"	"2001"	"Spontaneous abortion, incomplete, without complication"	"O03.4"	1	284968955	Unreliable
	"2001"	"2001"	"Spontaneous abortion, complete or unspecified, complicated by genital tract and pelvic infection"	"O03.5"	1	284968955	Unreliable
	"2001"	"2001"	"Spontaneous abortion, complete or unspecified, with other and unspecified complications"	"O03.8"	4	284968955	Unreliable
	"2001"	"2001"	"Spontaneous abortion, complete or unspecified, without complication"	"O03.9"	1	284968955	Unreliable
	"2001"	"2001"	"Medical abortion, complete or unspecified, with other and unspecified complications"	"O04.8"	1	284968955	Unreliable
	"2001"	"2001"	"Unspecified abortion, complete or unspecified, with other and unspecified complications"	"O06.8"	2	284968955	Unreliable
	"2001"	"2001"	"Unspecified abortion, complete or unspecified, without complication"	"O06.9"	1	284968955	Unreliable
	"2001"	"2001"	"Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage"	"O07.6"	1	284968955	Unreliable
	"2001"	"2001"	"Other and unspecified failed attempted abortion, with other and unspecified complications"	"O07.8"	1	284968955	Unreliable
	"2001"	"2001"	"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"	"O10.0"	2	284968955	Unreliable
	"2001"	"2001"	"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"	"O10.1"	1	284968955	Unreliable
	"2001"	"2001"	"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"	"O10.9"	1	284968955	Unreliable
	"2001"	"2001"	"Pre-existing hypertensive disorder with superimposed proteinuria"	"O11"	1	284968955	Unreliable
	"2001"	"2001"	"Gestational oedema"	"O12.0"	1	284968955	Unreliable
	"2001"	"2001"	"Gestational [pregnancy-induced] hypertension without significant proteinuria"	"O13"	4	284968955	Unreliable
	"2001"	"2001"	"Moderate pre-eclampsia"	"O14.0"	1	284968955	Unreliable
	"2001"	"2001"	"Severe pre-eclampsia"	"O14.1"	16	284968955	Unreliable
	"2001"	"2001"	"Pre-eclampsia, unspecified"	"O14.9"	22	284968955	0.0
	"2001"	"2001"	"Eclampsia in pregnancy"	"O15.0"	4	284968955	Unreliable
	"2001"	"2001"	"Eclampsia, unspecified as to time period"	"O15.9"	18	284968955	Unreliable
	"2001"	"2001"	"Unspecified maternal hypertension"	"O16"	6	284968955	Unreliable
	"2001"	"2001"	"Haemorrhage in early pregnancy, unspecified"	"O20.9"	1	284968955	Unreliable
	"2001"	"2001"	"Superficial thrombophlebitis in pregnancy"	"O22.2"	1	284968955	Unreliable
	"2001"	"2001"	"Deep phlebothrombosis in pregnancy"	"O22.3"	5	284968955	Unreliable
	"2001"	"2001"	"Other venous complications in pregnancy"	"O22.8"	1	284968955	Unreliable
	"2001"	"2001"	"Venous complication in pregnancy, unspecified"	"O22.9"	5	284968955	Unreliable
	"2001"	"2001"	"Infections of the genital tract in pregnancy"	"O23.5"	2	284968955	Unreliable
	"2001"	"2001"	"Diabetes mellitus in pregnancy, unspecified"	"O24.9"	2	284968955	Unreliable
	"2001"	"2001"	"Liver disorders in pregnancy, childbirth and the puerperium"	"O26.6"	1	284968955	Unreliable
	"2001"	"2001"	"Other specified pregnancy-related conditions"	"O26.8"	16	284968955	Unreliable
	"2001"	"2001"	"Cardiac complications of anaesthesia during pregnancy"	"O29.1"	5	284968955	Unreliable
	"2001"	"2001"	"Maternal care for breech presentation"	"O32.1"	1	284968955	Unreliable
	"2001"	"2001"	"Maternal care for other abnormalities of gravid uterus"	"O34.5"	1	284968955	Unreliable
	"2001"	"2001"	"Maternal care for (suspected) damage to fetus by drugs"	"O35.5"	1	284968955	Unreliable
	"2001"	"2001"	"Maternal care for rhesus isoimmunization"	"O36.0"	1	284968955	Unreliable
	"2001"	"2001"	"Maternal care for intrauterine death"	"O36.4"	1	284968955	Unreliable
	"2001"	"2001"	"Infection of amniotic sac and membranes"	"O41.1"	2	284968955	Unreliable
	"2001"	"2001"	"Premature rupture of membranes, unspecified"	"O42.9"	2	284968955	Unreliable
	"2001"	"2001"	"Placental transfusion syndromes"	"O43.0"	1	284968955	Unreliable
	"2001"	"2001"	"Placenta praevia with haemorrhage"	"O44.1"	2	284968955	Unreliable
	"2001"	"2001"	"Premature separation of placenta, unspecified"	"O45.9"	8	284968955	Unreliable
	"2001"	"2001"	"Antepartum haemorrhage with coagulation defect"	"O46.0"	3	284968955	Unreliable
	"2001"	"2001"	"Other antepartum haemorrhage"	"O46.8"	4	284968955	Unreliable
	"2001"	"2001"	"Antepartum haemorrhage, unspecified"	"O46.9"	4	284968955	Unreliable
	"2001"	"2001"	"Other uterine inertia"	"O62.2"	2	284968955	Unreliable
	"2001"	"2001"	"Precipitate labour"	"O62.3"	1	284968955	Unreliable
	"2001"	"2001"	"Intrapartum haemorrhage with coagulation defect"	"O67.0"	1	284968955	Unreliable
	"2001"	"2001"	"Intrapartum haemorrhage, unspecified"	"O67.9"	4	284968955	Unreliable
	"2001"	"2001"	"First degree perineal laceration during delivery"	"O70.0"	1	284968955	Unreliable
	"2001"	"2001"	"Rupture of uterus during labour"	"O71.1"	1	284968955	Unreliable
	"2001"	"2001"	"Other obstetric injury to pelvic organs"	"O71.5"	1	284968955	Unreliable
	"2001"	"2001"	"Third-stage haemorrhage"	"O72.0"	5	284968955	Unreliable
	"2001"	"2001"	"Other immediate postpartum haemorrhage"	"O72.1"	5	284968955	Unreliable
	"2001"	"2001"	"Postpartum coagulation defects"	"O72.3"	7	284968955	Unreliable
	"2001"	"2001"	"Cardiac complications of anaesthesia during labour and delivery"	"O74.2"	1	284968955	Unreliable
	"2001"	"2001"	"Shock during or following labour and delivery"	"O75.1"	1	284968955	Unreliable
	"2001"	"2001"	"Other complications of obstetric surgery and procedures"	"O75.4"	20	284968955	0.0
	"2001"	"2001"	"Delayed delivery after spontaneous or unspecified rupture of membranes"	"O75.6"	1	284968955	Unreliable
	"2001"	"2001"	"Vaginal delivery following previous caesarean section"	"O75.7"	1	284968955	Unreliable
	"2001"	"2001"	"Other specified complications of labour and delivery"	"O75.8"	1	284968955	Unreliable
	"2001"	"2001"	"Complication of labour and delivery, unspecified"	"O75.9"	8	284968955	Unreliable
	"2001"	"2001"	"Puerperal sepsis"	"O85"	1	284968955	Unreliable
	"2001"	"2001"	"Pyrexia of unknown origin following delivery"	"O86.4"	2	284968955	Unreliable
	"2001"	"2001"	"Venous complication in the puerperium, unspecified"	"O87.9"	2	284968955	Unreliable
	"2001"	"2001"	"Obstetric air embolism"	"O88.0"	2	284968955	Unreliable
	"2001"	"2001"	"Amniotic fluid embolism"	"O88.1"	40	284968955	0.0
	"2001"	"2001"	"Obstetric blood-clot embolism"	"O88.2"	27	284968955	0.0
	"2001"	"2001"	"Cardiac complications of anaesthesia during the puerperium"	"O89.1"	1	284968955	Unreliable
	"2001"	"2001"	"Cardiomyopathy in the puerperium"	"O90.3"	25	284968955	0.0
	"2001"	"2001"	"Other complications of the puerperium, not elsewhere classified"	"O90.8"	1	284968955	Unreliable
	"2001"	"2001"	"Obstetric death of unspecified cause"	"O95"	1	284968955	Unreliable
	"2001"	"2001"	"Other viral diseases complicating pregnancy, childbirth and the puerperium"	"O98.5"	2	284968955	Unreliable
	"2001"	"2001"	"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium"	"O98.8"	3	284968955	Unreliable
	"2001"	"2001"	"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium"	"O99.2"	1	284968955	Unreliable
	"2001"	"2001"	"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"	"O99.4"	32	284968955	0.0
	"2001"	"2001"	"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium"	"O99.5"	1	284968955	Unreliable
	"2001"	"2001"	"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium"	"O99.6"	1	284968955	Unreliable
	"2001"	"2001"	"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"	"O99.8"	11	284968955	Unreliable
"Total"	"2001"	"2001"			399	284968955	0.1
	"2002"	"2002"	"Tubal pregnancy"	"O00.1"	2	287625193	Unreliable
	"2002"	"2002"	"Other ectopic pregnancy"	"O00.8"	1	287625193	Unreliable
	"2002"	"2002"	"Ectopic pregnancy, unspecified"	"O00.9"	9	287625193	Unreliable
	"2002"	"2002"	"Missed abortion"	"O02.1"	1	287625193	Unreliable
	"2002"	"2002"	"Spontaneous abortion, complete or unspecified, complicated by genital tract and pelvic infection"	"O03.5"	1	287625193	Unreliable
	"2002"	"2002"	"Spontaneous abortion, complete or unspecified, without complication"	"O03.9"	1	287625193	Unreliable
	"2002"	"2002"	"Medical abortion, complete or unspecified, complicated by genital tract and pelvic infection"	"O04.5"	1	287625193	Unreliable
	"2002"	"2002"	"Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage"	"O06.6"	1	287625193	Unreliable
	"2002"	"2002"	"Unspecified abortion, complete or unspecified, with other and unspecified complications"	"O06.8"	2	287625193	Unreliable
	"2002"	"2002"	"Unspecified abortion, complete or unspecified, without complication"	"O06.9"	1	287625193	Unreliable
	"2002"	"2002"	"Failed medical abortion, with other and unspecified complications"	"O07.3"	1	287625193	Unreliable
	"2002"	"2002"	"Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection"	"O07.5"	1	287625193	Unreliable
	"2002"	"2002"	"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"	"O10.0"	1	287625193	Unreliable
	"2002"	"2002"	"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"	"O10.1"	2	287625193	Unreliable
	"2002"	"2002"	"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"	"O10.9"	1	287625193	Unreliable
	"2002"	"2002"	"Pre-existing hypertensive disorder with superimposed proteinuria"	"O11"	3	287625193	Unreliable
	"2002"	"2002"	"Gestational [pregnancy-induced] hypertension without significant proteinuria"	"O13"	1	287625193	Unreliable
	"2002"	"2002"	"Severe pre-eclampsia"	"O14.1"	11	287625193	Unreliable
	"2002"	"2002"	"Pre-eclampsia, unspecified"	"O14.9"	16	287625193	Unreliable
	"2002"	"2002"	"Eclampsia in pregnancy"	"O15.0"	3	287625193	Unreliable
	"2002"	"2002"	"Eclampsia in the puerperium"	"O15.2"	1	287625193	Unreliable
	"2002"	"2002"	"Eclampsia, unspecified as to time period"	"O15.9"	11	287625193	Unreliable
	"2002"	"2002"	"Unspecified maternal hypertension"	"O16"	10	287625193	Unreliable
	"2002"	"2002"	"Hyperemesis gravidarum with metabolic disturbance"	"O21.1"	1	287625193	Unreliable
	"2002"	"2002"	"Deep phlebothrombosis in pregnancy"	"O22.3"	5	287625193	Unreliable
	"2002"	"2002"	"Venous complication in pregnancy, unspecified"	"O22.9"	6	287625193	Unreliable
	"2002"	"2002"	"Pre-existing diabetes mellitus, unspecified"	"O24.3"	1	287625193	Unreliable
	"2002"	"2002"	"Diabetes mellitus in pregnancy, unspecified"	"O24.9"	2	287625193	Unreliable
	"2002"	"2002"	"Liver disorders in pregnancy, childbirth and the puerperium"	"O26.6"	5	287625193	Unreliable
	"2002"	"2002"	"Other specified pregnancy-related conditions"	"O26.8"	39	287625193	0.0
