,notes,race,race_code,hispanic_origin,hispanic_origin_code,cause_of_death,cause_of_death_code,deaths,population,crude_rate,cdc_maternal_mortality,race_whispanicorigin
131,,White,2106-3,Hispanic or Latino,2135-2,"Premature separation of placenta, unspecified",O45.9,5.0,54490273,Unreliable,recorded,Hispanic or Latino
132,,White,2106-3,Hispanic or Latino,2135-2,Other antepartum haemorrhage,O46.8,1.0,54490273,Unreliable,recorded,Hispanic or Latino
133,,White,2106-3,Hispanic or Latino,2135-2,"Antepartum haemorrhage, unspecified",O46.9,3.0,54490273,Unreliable,recorded,Hispanic or Latino
134,,White,2106-3,Hispanic or Latino,2135-2,Rupture of uterus during labour,O71.1,1.0,54490273,Unreliable,recorded,Hispanic or Latino
135,,White,2106-3,Hispanic or Latino,2135-2,Other immediate postpartum haemorrhage,O72.1,3.0,54490273,Unreliable,recorded,Hispanic or Latino
136,,White,2106-3,Hispanic or Latino,2135-2,Other complications of obstetric surgery and procedures,O75.4,4.0,54490273,Unreliable,recorded,Hispanic or Latino
137,,White,2106-3,Hispanic or Latino,2135-2,Amniotic fluid embolism,O88.1,4.0,54490273,Unreliable,recorded,Hispanic or Latino
138,,White,2106-3,Hispanic or Latino,2135-2,Cardiomyopathy in the puerperium,O90.3,2.0,54490273,Unreliable,recorded,Hispanic or Latino
139,,White,2106-3,Hispanic or Latino,2135-2,Obstetric death of unspecified cause,O95,1.0,54490273,Unreliable,recorded,Hispanic or Latino
140,,White,2106-3,Hispanic or Latino,2135-2,Death from direct obstetric cause occurring more than 42 days but less than one year after delivery,O96.0,41.0,54490273,0.1,not recorded,Hispanic or Latino
141,,White,2106-3,Hispanic or Latino,2135-2,Death from indirect obstetric cause occurring more than 42 days but less than one year after delivery,O96.1,36.0,54490273,0.1,not recorded,Hispanic or Latino
142,,White,2106-3,Hispanic or Latino,2135-2,Death from unspecified obstetric cause occurring more than 42 days but less than one year after delivery,O96.9,1.0,54490273,Unreliable,not recorded,Hispanic or Latino
143,,White,2106-3,Hispanic or Latino,2135-2,"Other viral diseases complicating pregnancy, childbirth and the puerperium",O98.5,5.0,54490273,Unreliable,recorded,Hispanic or Latino
144,,White,2106-3,Hispanic or Latino,2135-2,"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium",O98.8,3.0,54490273,Unreliable,recorded,Hispanic or Latino
145,,White,2106-3,Hispanic or Latino,2135-2,"Anaemia complicating pregnancy, childbirth and the puerperium",O99.0,1.0,54490273,Unreliable,recorded,Hispanic or Latino
146,,White,2106-3,Hispanic or Latino,2135-2,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium",O99.1,1.0,54490273,Unreliable,recorded,Hispanic or Latino
147,,White,2106-3,Hispanic or Latino,2135-2,"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium",O99.2,1.0,54490273,Unreliable,recorded,Hispanic or Latino
148,,White,2106-3,Hispanic or Latino,2135-2,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",O99.3,2.0,54490273,Unreliable,recorded,Hispanic or Latino
149,,White,2106-3,Hispanic or Latino,2135-2,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",O99.4,9.0,54490273,Unreliable,recorded,Hispanic or Latino
150,,White,2106-3,Hispanic or Latino,2135-2,"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium",O99.5,6.0,54490273,Unreliable,recorded,Hispanic or Latino
151,,White,2106-3,Hispanic or Latino,2135-2,"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium",O99.6,1.0,54490273,Unreliable,recorded,Hispanic or Latino
152,,White,2106-3,Hispanic or Latino,2135-2,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",O99.8,11.0,54490273,Unreliable,recorded,Hispanic or Latino
153,Total,White,2106-3,Hispanic or Latino,2135-2,,,224.0,54490273,0.4,recorded,Hispanic or Latino
