,notice_date,effective_date,received_date,company,city,county,employees,layoff_closure,effective_year
27,2020-04-27,2020-03-16,2020-05-05 00:00:00,Regal Cinemas,Stockton,San Joaquin County,53.0,Layoff Temporary,2020.0
28,2020-04-27,2020-03-16,2020-05-05 00:00:00,Regal Cinemas,West Covina,Los Angeles County,77.0,Layoff Temporary,2020.0
29,2020-04-27,2020-04-13,2020-05-05 00:00:00,CEP America-California,Sacramento,Sacramento County,62.0,Layoff Temporary,2020.0
30,2020-04-28,2020-03-19,2020-05-05 00:00:00,"Carey Dispatch Services, Inc.",South San Francisco,San Mateo County,14.0,Layoff Temporary,2020.0
31,2020-04-28,2020-03-19,2020-05-05 00:00:00,"Carey Limousine S.F., Inc",South San Francisco,San Mateo County,81.0,Layoff Temporary,2020.0
32,2020-04-28,2020-03-20,2020-05-05 00:00:00,"Ontario Automotive, LLC d/b/a Penske Honda Ontario",Ontario,San Bernardino County,93.0,Layoff Temporary,2020.0
33,2020-04-28,2020-03-20,2020-05-05 00:00:00,"P.T. Automotive, LLC dba Penske Toyota of Downey",Downey,Los Angeles County,113.0,Layoff Temporary,2020.0
34,2020-04-28,2020-03-20,2020-05-05 00:00:00,"PHCV, LLC dba Penske Honda Chula Vista",Chula Vista,San Diego County,69.0,Layoff Temporary,2020.0
35,2020-04-28,2020-03-25,2020-05-05 00:00:00,"UAG Cerritos I, LLC dba Penske Chevrolet of Cerritos",Cerritos,Los Angeles County,51.0,Layoff Temporary,2020.0
36,2020-04-28,2020-03-26,2020-05-05 00:00:00,"P.F. Automotive, LLC dba Penske Ford",La Mesa,San Diego County,179.0,Layoff Temporary,2020.0
37,2020-04-28,2020-03-27,2020-05-05 00:00:00,Paramount Pictures Corporation,Los Angeles,Los Angeles County,320.0,Layoff Temporary,2020.0
38,2020-04-28,2020-04-30,2020-05-05 00:00:00,"Sodexo Inc., dba United Clubs Los Angeles International Airport",Los Angeles,Los Angeles County,67.0,Layoff Permanent,2020.0
39,2020-04-28,2020-05-04,2020-05-05 00:00:00,Precision Dynamics Corporation,Valencia,Los Angeles County,112.0,Layoff Temporary,2020.0
40,2020-04-28,2020-04-30,2020-05-05 00:00:00,"Sodexo, Inc. dba United/Polaris Club San Francisco International Airport",San Francisco,San Francisco County,298.0,Layoff Permanent,2020.0
41,2020-04-29,2020-04-30,2020-05-05 00:00:00,Global Spectrum dba Santa Clara Convention Center,Santa Clara,Santa Clara County,12.0,Layoff Temporary,2020.0
42,2020-04-16,2020-04-16,2020-05-05 00:00:00,Diablo Country Club,Diablo,Contra Costa County,92.0,Layoff Temporary,2020.0
43,2020-04-20,2020-04-12,2020-05-05 00:00:00,Finish Line,Livermore,Alameda County,14.0,Layoff Temporary,2020.0
44,2020-04-20,2020-04-12,2020-05-05 00:00:00,Finish Line,San Francisco,San Francisco County,14.0,Layoff Temporary,2020.0
45,2020-04-20,2020-04-12,2020-05-05 00:00:00,Finish Line Inc,Oxnard,Ventura County,11.0,Layoff Temporary,2020.0
46,2020-04-20,2020-04-12,2020-05-05 00:00:00,Finish Line Inc,Torrance,Los Angeles County,34.0,Layoff Temporary,2020.0
47,2020-04-20,2020-04-12,2020-05-05 00:00:00,J D Sports,Glendale,Los Angeles County,20.0,Layoff Temporary,2020.0
48,2020-03-26,2020-03-16,2020-05-04 00:00:00,Rosa Mexicano,San Francisco,San Francisco County,76.0,Closure Temporary,2020.0
49,2020-03-26,2020-04-01,2020-05-04 00:00:00,Fitness International LLC,Antioch,Contra Costa County,100.0,Layoff Temporary,2020.0
50,2020-03-26,2020-04-01,2020-05-04 00:00:00,Fitness International LLC,Berkeley,Alameda County,192.0,Layoff Temporary,2020.0
51,2020-03-26,2020-04-01,2020-05-04 00:00:00,Fitness International LLC,Mountain View,Santa Clara County,101.0,Layoff Temporary,2020.0
52,2020-03-26,2020-04-01,2020-05-04 00:00:00,Fitness International LLC,Petaluma,Sonoma County,46.0,Layoff Temporary,2020.0
53,2020-03-26,2020-04-01,2020-05-04 00:00:00,Fitness International LLC,San Diego,San Diego County,521.0,Layoff Temporary,2020.0
54,2020-03-26,2020-04-01,2020-05-04 00:00:00,Fitness International LLC,San Francisco,San Francisco County,61.0,Layoff Temporary,2020.0
55,2020-03-26,2020-04-01,2020-05-04 00:00:00,"Fitness International, LLC",San Jose,Santa Clara County,170.0,Layoff Temporary,2020.0
56,2020-03-31,2020-03-31,2020-05-04 00:00:00,Airport Marina Honda,Los Angeles,Los Angeles County,47.0,Layoff Temporary,2020.0
57,2020-03-31,2020-03-31,2020-05-04 00:00:00,Marina del rey Toyota,Marina Del Rey,Los Angeles County,45.0,Layoff Temporary,2020.0
58,2020-04-02,2020-03-17,2020-05-04 00:00:00,Goodwill Central Coast,Capitola,Santa Cruz County,145.0,Layoff Temporary,2020.0
59,2020-04-08,2020-03-20,2020-05-04 00:00:00,California Retina Associates,Chula Vista,San Diego County,36.0,Layoff Temporary,2020.0
60,2020-04-08,2020-03-20,2020-05-04 00:00:00,California Retina Associates,El Centro,Imperial County,33.0,Layoff Temporary,2020.0
61,2020-04-15,2020-06-05,2020-05-04 00:00:00,NortonLifeLock Inc.,Culver City,Los Angeles County,14.0,Layoff Permanent,2020.0
62,2020-04-15,2020-06-05,2020-05-04 00:00:00,NortonLifeLock Inc.,Mountain View,Santa Clara County,15.0,Layoff Permanent,2020.0
63,2020-04-17,2020-03-25,2020-05-04 00:00:00,Acura of Fremont,Fremont,Alameda County,37.0,Layoff Permanent,2020.0
64,2020-04-22,2020-03-16,2020-05-04 00:00:00,"Autism Spectrum Interventions, Inc",Fullerton,Orange County,226.0,Layoff Temporary,2020.0
65,2020-04-22,2020-04-20,2020-05-04 00:00:00,Redwood Trust Inc,Mill Valley,Marin County,64.0,Layoff Permanent,2020.0
66,2020-04-22,2020-04-28,2020-05-04 00:00:00,Driven Performance Brands Inc,West Sacramento,Yolo County,103.0,Layoff Permanent,2020.0
67,2020-04-22,2020-04-30,2020-05-04 00:00:00,"Safran Cabin Galleys US, Inc",Huntington Beach,Orange County,130.0,Layoff Permanent,2020.0
68,2020-04-23,2020-03-20,2020-05-04 00:00:00,AMC Century City 15,Los Angeles,Los Angeles County,46.0,Closure Temporary,2020.0
69,2020-04-23,2020-03-20,2020-05-04 00:00:00,AMC Citywalk Stadium 19,Universal City,Los Angeles County,68.0,Closure Temporary,2020.0
70,2020-04-23,2020-03-20,2020-05-04 00:00:00,AMC Fullerton 20,Fullerton,Orange County,124.0,Closure Temporary,2020.0
71,2020-04-23,2020-03-20,2020-05-04 00:00:00,AMC Mercado 20,Santa Clara,Santa Clara County,32.0,Closure Temporary,2020.0
72,2020-04-23,2020-03-20,2020-05-04 00:00:00,AMC Palm Promenade 24,San Diego,San Diego County,55.0,Closure Temporary,2020.0
73,2020-04-23,2020-05-05,2020-05-04 00:00:00,Adventist Health Glendale,Glendale,Los Angeles County,22.0,Layoff Temporary,2020.0
74,2020-04-27,2020-03-16,2020-05-04 00:00:00,Regal Cinemas,Dublin,Alameda County,97.0,Layoff Temporary,2020.0
75,2020-04-27,2020-03-16,2020-05-04 00:00:00,Regal Cinemas,Fresno,Fresno County,78.0,Layoff Temporary,2020.0
76,2020-04-27,2020-03-16,2020-05-04 00:00:00,Regal Cinemas,Irvine,Orange County,125.0,Layoff Temporary,2020.0
77,2020-04-27,2020-03-16,2020-05-04 00:00:00,Regal Cinemas,Los Angeles,Los Angeles County,100.0,Layoff Temporary,2020.0
78,2020-04-27,2020-03-16,2020-05-04 00:00:00,Regal Cinemas,Sacramento,Sacramento County,57.0,Layoff Temporary,2020.0
79,2020-04-27,2020-03-16,2020-05-04 00:00:00,Regal Cinemas,San Diego,San Diego County,77.0,Layoff Temporary,2020.0
80,2020-04-27,2020-03-16,2020-05-04 00:00:00,Regal Cinemas,Temecula,Riverside County,65.0,Layoff Temporary,2020.0
81,2020-04-27,2020-04-13,2020-05-04 00:00:00,Learning Solutions Inc.,Sacramento,Sacramento County,81.0,Layoff Permanent,2020.0
82,2020-04-27,2020-04-24,2020-05-04 00:00:00,"Ajinomoto Foods North America, Inc.",San Diego,San Diego County,342.0,Closure Temporary,2020.0
83,2020-04-27,2020-04-27,2020-05-04 00:00:00,Automation Anywhere,San Jose,Santa Clara County,72.0,Layoff Permanent,2020.0
84,2020-04-28,2020-04-25,2020-05-04 00:00:00,Marmalade Caf&eacute; LLC,El Segundo,Los Angeles County,39.0,Layoff Temporary,2020.0
85,2020-04-28,2020-04-25,2020-05-04 00:00:00,Marmalade Caf&eacute; LLC,Los Angeles,Los Angeles County,97.0,Layoff Temporary,2020.0
86,2020-04-28,2020-04-25,2020-05-04 00:00:00,Marmalade Caf&eacute; LLC,Malibu,Los Angeles County,85.0,Layoff Temporary,2020.0
87,2020-04-28,2020-04-25,2020-05-04 00:00:00,Marmalade Caf&eacute; LLC,Westlake Village,Ventura County,45.0,Layoff Temporary,2020.0
88,2020-04-28,2020-04-28,2020-05-04 00:00:00,"FireEye, Inc.",Milpitas,Santa Clara County,44.0,Layoff Permanent,2020.0
89,2020-04-28,2020-05-01,2020-05-04 00:00:00,"OpenTable, Inc.",San Francisco,San Francisco County,56.0,Layoff Permanent,2020.0
90,2020-04-28,2020-05-05,2020-05-04 00:00:00,TripAdvisor LLC,San Francisco,San Francisco County,40.0,Layoff Permanent,2020.0
91,2020-04-28,2020-05-30,2020-05-04 00:00:00,Snow Factory Sacramento,Stockton,San Joaquin County,4.0,Closure Permanent,2020.0
92,2020-04-28,2020-06-29,2020-05-04 00:00:00,Public Health Institute,Oakland,Alameda County,84.0,Layoff Temporary,2020.0
93,2020-04-02,2020-06-03,2020-05-04 00:00:00,Falck Northern California Corp.,Alameda,Alameda County,35.0,Closure Permanent,2020.0
94,2020-04-02,2020-06-03,2020-05-04 00:00:00,Falck Northern California Corp.,North Highlands,Sacramento County,83.0,Closure Permanent,2020.0
95,2020-04-02,2020-06-03,2020-05-04 00:00:00,Falck Northern California Corp.,Roseville,Placer County,8.0,Closure Permanent,2020.0
96,2020-04-02,2020-06-03,2020-05-04 00:00:00,Falck Northern California Corp.,Scotts Valley,Santa Cruz County,2.0,Closure Permanent,2020.0
97,2020-04-22,2020-03-17,2020-05-04 00:00:00,Performance Team LLC,Santa Fe Springs,Los Angeles County,429.0,Layoff Temporary,2020.0
98,2020-04-24,2020-04-14,2020-05-04 00:00:00,"The Hertz Corporation, dba Hertz",Los Angeles,Los Angeles County,505.0,Layoff Unknown at this time,2020.0
99,2020-04-24,2020-04-14,2020-05-04 00:00:00,"The Hertz Corporation, dba Hertz",Oakland,Alameda County,55.0,Layoff Unknown at this time,2020.0
100,2020-04-24,2020-04-14,2020-05-04 00:00:00,"The Hertz Corporation, dba Hertz",Sacramento,Sacramento County,63.0,Layoff Unknown at this time,2020.0
101,2020-04-24,2020-04-14,2020-05-04 00:00:00,"The Hertz Corporation, dba Hertz",San Diego,San Diego County,119.0,Layoff Unknown at this time,2020.0
102,2020-04-24,2020-04-14,2020-05-04 00:00:00,"The Hertz Corporation, dba Hertz",San Francisco,San Francisco County,183.0,Layoff Unknown at this time,2020.0
103,2020-04-24,2020-04-14,2020-05-04 00:00:00,"The Hertz Corporation, dba Hertz",San Jose,Santa Clara County,76.0,Layoff Unknown at this time,2020.0
104,2020-04-24,2020-04-14,2020-05-04 00:00:00,"The Hertz Corporation, dba Hertz",Santa Ana,Orange County,51.0,Layoff Unknown at this time,2020.0
105,2020-04-24,2020-04-27,2020-05-04 00:00:00,Howmet Aerospace,Fontana,San Bernardino County,178.0,Layoff Temporary,2020.0
106,2020-04-28,2020-04-28,2020-05-04 00:00:00,ASM Global dba Los Angeles Convention Center,Los Angeles,Los Angeles County,90.0,Layoff Temporary,2020.0
107,2020-03-17,2020-03-20,2020-05-04 00:00:00,"BEST-VIP Chauffeured Worldwide, Corp.",Santa Ana,Orange County,206.0,Layoff Temporary,2020.0
108,2020-04-20,2020-03-23,2020-05-04 00:00:00,"Lighting Technologies International, LLC",Baldwin Park,Los Angeles County,162.0,Layoff Temporary,2020.0
109,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line,Chico,Butte County,10.0,Layoff Temporary,2020.0
110,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line,Fairfield,Solano County,7.0,Layoff Temporary,2020.0
111,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line,Roseville,Placer County,12.0,Layoff Temporary,2020.0
112,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line,Stockton,San Joaquin County,34.0,Layoff Temporary,2020.0
113,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Concord,Contra Costa County,14.0,Layoff Temporary,2020.0
114,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Milpitas,Santa Clara County,26.0,Layoff Temporary,2020.0
115,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,National City,San Diego County,38.0,Layoff Temporary,2020.0
116,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Orange,Orange County,30.0,Layoff Temporary,2020.0
117,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Palm Desert,Riverside County,10.0,Layoff Temporary,2020.0
118,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Rancho Cucamonga,San Bernardino County,27.0,Layoff Temporary,2020.0
119,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Salinas,Monterey County,12.0,Layoff Temporary,2020.0
120,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Santa Ana,Orange County,11.0,Layoff Temporary,2020.0
121,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc,Yuba City,Sutter County,12.0,Layoff Temporary,2020.0
122,2020-04-20,2020-04-12,2020-05-04 00:00:00,Finish Line Inc.,Montebello,Los Angeles County,63.0,Layoff Temporary,2020.0
123,2020-04-30,2020-04-30,2020-05-04 00:00:00,"PLI Holdings, Inc., dba PLI Card Marketing Solutions (&ldquo;PLI&rdquo;)",La Puente,Los Angeles County,170.0,Layoff Temporary,2020.0
124,2020-03-23,2020-03-20,2020-05-02 00:00:00,Soto & Sanchez Investments Inc.,Gardena,Los Angeles County,6.0,Layoff Temporary,2020.0
125,2020-03-23,2020-03-23,2020-05-02 00:00:00,Levy Premium Foodservice Limited Partnership,Pasadena,Los Angeles County,251.0,Layoff Temporary,2020.0
126,2020-03-30,2020-03-30,2020-05-02 00:00:00,Ono Hawaiian BBQ,Fullerton,Orange County,13.0,Closure Temporary,2020.0
127,2020-03-30,2020-03-30,2020-05-02 00:00:00,Ono Hawaiian BBQ,Riverside,Riverside County,13.0,Closure Temporary,2020.0
128,2020-03-30,2020-03-31,2020-05-02 00:00:00,La-Z-Boy Furniture Galleries,Roseville,Placer County,2.0,Layoff Temporary,2020.0
129,2020-03-31,2020-03-31,2020-05-02 00:00:00,Airport Marina Ford,Los Angeles,Los Angeles County,38.0,Layoff Temporary,2020.0
130,2020-03-31,2020-03-31,2020-05-02 00:00:00,Jaspers Corner Tap,San Francisco,San Francisco County,41.0,Layoff Temporary,2020.0
131,2020-03-31,2020-03-31,2020-05-02 00:00:00,"NGP Motors, Inc. dba Sunrise Ford of North Hollywood",North Hollywood,Los Angeles County,86.0,Layoff Temporary,2020.0
132,2020-04-02,2020-03-17,2020-05-02 00:00:00,Goodwill Central Coast,Salinas,Monterey County,253.0,Layoff Temporary,2020.0
133,2020-04-02,2020-03-17,2020-05-02 00:00:00,Goodwill Central Coast,San Luis Obispo,San Luis Obispo County,134.0,Layoff Temporary,2020.0
134,2020-04-07,2020-04-10,2020-05-02 00:00:00,"Brasstech, Inc.",Santa Ana,Orange County,122.0,Layoff Temporary,2020.0
135,2020-04-07,2020-04-10,2020-05-02 00:00:00,"Brasstech, Inc.",Santa Ana,Orange County,173.0,Layoff Temporary,2020.0
136,2020-04-14,2020-03-20,2020-05-02 00:00:00,Dorfman-Pacific Co.,Stockton,San Joaquin County,41.0,Layoff Temporary,2020.0
137,2020-04-15,2020-04-09,2020-05-02 00:00:00,"Bedding Acquisition, LLC",Pico Rivera,Los Angeles County,113.0,Layoff Unknown at this time,2020.0
138,2020-04-15,2020-04-09,2020-05-02 00:00:00,"Bedding Acquisition, LLC",Pico Rivera,Los Angeles County,133.0,Layoff Unknown at this time,2020.0
139,2020-04-15,2020-04-09,2020-05-02 00:00:00,Pacific Coast Feather Cushion LLC,Pico Rivera,Los Angeles County,20.0,Layoff Unknown at this time,2020.0
140,2020-04-17,2020-03-25,2020-05-02 00:00:00,Scott Robinson Pontiac Inc,Torrance,Los Angeles County,89.0,Layoff Temporary,2020.0
141,2020-04-17,2020-05-17,2020-05-02 00:00:00,"Jostens, Inc",Visalia,Tulare County,110.0,Closure Permanent,2020.0
142,2020-04-20,2020-04-20,2020-05-02 00:00:00,Carlton Forge Works,Paramount,Los Angeles County,85.0,Layoff Permanent,2020.0
143,2020-04-21,2020-03-27,2020-05-02 00:00:00,Hotel Managers Group (dba DoubleTree Hotel),Newark,Alameda County,127.0,Layoff Temporary,2020.0
144,2020-04-21,2020-05-25,2020-05-02 00:00:00,Collins Aerospace Interior Product,Corona,Riverside County,49.0,Layoff Temporary,2020.0
145,2020-04-24,2020-04-18,2020-05-02 00:00:00,Fry's Electronics,Hanford,Kings County,15.0,Layoff Temporary,2020.0
146,2020-04-24,2020-04-23,2020-05-02 00:00:00,American Woodmark Corporation,Riverside,Riverside County,49.0,Layoff Permanent,2020.0
147,2020-04-24,2020-04-24,2020-05-02 00:00:00,"Waddington North America, Inc.",City of Industry,Los Angeles County,59.0,Layoff Temporary,2020.0
148,2020-04-24,2020-04-27,2020-05-02 00:00:00,"Data Aire, Inc.",Orange,Orange County,59.0,Layoff Temporary,2020.0
149,2020-04-24,2020-05-05,2020-05-02 00:00:00,Adventist Health and Rideout,Yuba City,Sutter County,3.0,Layoff Permanent,2020.0
150,2020-04-24,2020-05-05,2020-05-02 00:00:00,Adventist Health and Rideout,Yuba City,Sutter County,12.0,Layoff Temporary,2020.0
151,2020-04-24,2020-05-05,2020-05-02 00:00:00,Adventist Health Lodi Memorial,Lodi,San Joaquin County,55.0,Layoff Temporary,2020.0
152,2020-04-27,2020-04-26,2020-05-02 00:00:00,Champs,Sacramento,Sacramento County,47.0,Layoff Temporary,2020.0
153,2020-04-27,2020-04-26,2020-05-02 00:00:00,Foot locker - Beverly Center,Los Angeles,Los Angeles County,29.0,Layoff Temporary,2020.0
154,2020-04-27,2020-04-26,2020-05-02 00:00:00,Foot Locker - Highland Center,Los Angeles,Los Angeles County,79.0,Layoff Temporary,2020.0
155,2020-04-27,2020-05-01,2020-05-02 00:00:00,"Insomniac Holdings, LLC",Beverly Hills,Los Angeles County,91.0,Layoff Temporary,2020.0
156,2020-04-27,2020-06-30,2020-05-02 00:00:00,Meggitt (Orange County) Inc.,Irvine,Orange County,16.0,Layoff Permanent,2020.0
157,2020-04-28,2020-04-28,2020-05-02 00:00:00,Hycore Biomedical Inc. LLC,Garden Grove,Orange County,68.0,Layoff Unknown at this time,2020.0
158,2020-03-24,2020-03-13,2020-05-02 00:00:00,"Los Angeles Turf Club, Inc dba Santa Anita Park",Arcadia,Los Angeles County,400.0,Layoff Temporary,2020.0
159,2020-03-31,2020-03-31,2020-05-02 00:00:00,Hotel Spero San Francisco,San Francisco,San Francisco County,78.0,Layoff Temporary,2020.0
160,2020-03-31,2020-03-31,2020-05-02 00:00:00,The Marker Hotel San Francisco,San Francisco,San Francisco County,47.0,Layoff Temporary,2020.0
161,2020-04-02,2020-06-03,2020-05-02 00:00:00,Falck Northern California Corp.,Occidental,Sonoma County,140.0,Closure Permanent,2020.0
162,2020-04-02,2020-06-03,2020-05-02 00:00:00,Falck Northern California Corp.,Pacheco,Contra Costa County,32.0,Closure Permanent,2020.0
163,2020-04-02,2020-06-03,2020-05-02 00:00:00,Falck Northern California Corp.,San Jose,Santa Clara County,72.0,Closure Permanent,2020.0
164,2020-04-20,2020-05-02,2020-05-02 00:00:00,Ports America,San Pedro,Los Angeles County,21.0,Layoff Unknown at this time,2020.0
165,2020-04-20,2020-05-08,2020-05-02 00:00:00,Marine Terminals Corporation (dba Ports America),San Pedro,Los Angeles County,97.0,Layoff Unknown at this time,2020.0
166,2020-04-21,2020-03-13,2020-05-02 00:00:00,Olympic Club,San Francisco,San Francisco County,265.0,Closure Temporary,2020.0
167,2020-04-23,2020-03-20,2020-05-02 00:00:00,Soto & Sanchez Investment Inc - I Love L.A.,Los Angeles,Los Angeles County,3.0,Layoff Temporary,2020.0
168,2020-04-25,2020-04-24,2020-05-02 00:00:00,"Fox Studio Lot, LLC dba Fox Studio Lot",Los Angeles,Los Angeles County,109.0,Layoff Temporary,2020.0
169,2020-04-27,2020-04-09,2020-05-02 00:00:00,Able Services,Santa Clara,Santa Clara County,57.0,Layoff Temporary,2020.0
170,2020-04-27,2020-04-20,2020-05-02 00:00:00,"Fox Sports Productions, LLC",Los Angeles,Los Angeles County,3595.0,Layoff Temporary,2020.0
171,2020-04-27,2020-04-24,2020-05-02 00:00:00,"Fox Alternative Entertainment, LLC",Los Angeles,Los Angeles County,28.0,Layoff Temporary,2020.0
172,2020-04-27,2020-04-24,2020-05-02 00:00:00,"Fox Alternative Entertainment, LLC",Los Angeles,Los Angeles County,42.0,Layoff Temporary,2020.0
173,2020-03-17,2020-03-16,2020-05-02 00:00:00,Hof's Hut Restaurants Inc dba Lucille's Smokehouse Bar-B-Que,Brea,Orange County,66.0,Closure Temporary,2020.0
174,2020-03-17,2020-03-17,2020-05-02 00:00:00,Hof's Hut Restaurants Inc dba Lucille's Smokehouse Bar-B-Que,Tustin,Orange County,65.0,Closure Temporary,2020.0
175,2020-03-25,2020-03-19,2020-05-02 00:00:00,Dome Construction Corporation,South San Francisco,San Mateo County,83.0,Layoff Temporary,2020.0
176,2020-03-30,2020-03-30,2020-05-02 00:00:00,Grand Legacy Hotel at the Park,Anaheim,Orange County,80.0,Layoff Temporary,2020.0
177,2020-03-30,2020-03-30,2020-05-02 00:00:00,The 5ith Rooftop Restaurant & Bar,Anaheim,Orange County,31.0,Layoff Temporary,2020.0
178,2020-03-31,2020-03-16,2020-05-02 00:00:00,Tartine Bakery,Berkeley,Alameda County,19.0,Layoff Temporary,2020.0
179,2020-03-31,2020-03-17,2020-05-02 00:00:00,Altadena Town & Country Club,Altadena,Los Angeles County,62.0,Layoff Temporary,2020.0
180,2020-03-31,2020-03-31,2020-05-02 00:00:00,"Labeltex Mills, Inc",Los Angeles,Los Angeles County,73.0,Layoff Temporary,2020.0
181,2020-04-06,2020-04-08,2020-05-02 00:00:00,The Gill Corporation,El Monte,Los Angeles County,222.0,Layoff Temporary,2020.0
182,2020-04-15,2020-03-17,2020-05-02 00:00:00,Preston Pipelines Inc,Milpitas,Santa Clara County,280.0,Layoff Temporary,2020.0
183,2020-04-16,2020-04-14,2020-05-02 00:00:00,Continuing Development,Irvine,Orange County,16.0,Layoff Temporary,2020.0
184,2020-04-16,2020-04-14,2020-05-02 00:00:00,Continuing Development Inc,Davis,Yolo County,6.0,Layoff Temporary,2020.0
185,2020-04-16,2020-04-14,2020-05-02 00:00:00,Continuing Development Inc,Oxnard,Ventura County,2.0,Layoff Temporary,2020.0
186,2020-04-16,2020-04-14,2020-05-02 00:00:00,Continuing Development Inc,Rocklin,Placer County,13.0,Layoff Temporary,2020.0
187,2020-04-16,2020-04-14,2020-05-02 00:00:00,Continuing Development Inc,San Jose,Santa Clara County,15.0,Layoff Temporary,2020.0
188,2020-04-16,2020-04-14,2020-05-02 00:00:00,"Continuing Development, Inc",Riverside,Riverside County,4.0,Layoff Temporary,2020.0
