y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,007,97,001,AL,Bibb County Total Migration-Same State,279,617,8788
01,007,97,003,AL,Bibb County Total Migration-Different State,45,89,1115
01,007,98,000,AL,Bibb County Total Migration-Foreign,-1,-1,-1
01,007,01,007,AL,Bibb County Non-migrants,6278,14762,326562
01,007,01,125,AL,Tuscaloosa County,98,234,2929
01,007,01,073,AL,Jefferson County,57,134,1844
01,007,01,117,AL,Shelby County,51,96,1686
01,007,58,000,SS,Other flows - Same State,73,153,2329
01,007,59,000,DS,Other flows - Different State,45,89,1115
01,007,59,001,DS,Other flows - Northeast,-1,-1,-1
01,007,59,003,DS,Other flows - Midwest,-1,-1,-1
01,007,59,005,DS,Other flows - South,45,89,1115
01,007,59,007,DS,Other flows - West,-1,-1,-1
01,007,57,009,FR,Foreign - Other flows,-1,-1,-1
01,009,96,000,AL,Blount County Total Migration-US and Foreign,951,1960,33190
01,009,97,000,AL,Blount County Total Migration-US,951,1960,33190
01,009,97,001,AL,Blount County Total Migration-Same State,797,1650,28569
01,009,97,003,AL,Blount County Total Migration-Different State,154,310,4621
01,009,98,000,AL,Blount County Total Migration-Foreign,-1,-1,-1
01,009,01,009,AL,Blount County Non-migrants,17408,42357,928689
01,009,01,073,AL,Jefferson County,329,657,12157
01,009,01,043,AL,Cullman County,116,254,3772
01,009,01,095,AL,Marshall County,88,205,2837
01,009,01,115,AL,St. Clair County,49,115,1822
01,009,01,055,AL,Etowah County,47,95,967
01,009,01,117,AL,Shelby County,36,71,2710
01,009,01,127,AL,Walker County,22,47,909
01,009,58,000,SS,Other flows - Same State,110,206,3394
01,009,59,000,DS,Other flows - Different State,154,310,4621
01,009,59,001,DS,Other flows - Northeast,-1,-1,-1
01,009,59,003,DS,Other flows - Midwest,-1,-1,-1
01,009,59,005,DS,Other flows - South,130,256,4156
01,009,59,007,DS,Other flows - West,24,54,465
01,009,57,009,FR,Foreign - Other flows,-1,-1,-1
01,011,96,000,AL,Bullock County Total Migration-US and Foreign,190,387,5006
01,011,97,000,AL,Bullock County Total Migration-US,190,387,5006
01,011,97,001,AL,Bullock County Total Migration-Same State,141,296,4104
01,011,97,003,AL,Bullock County Total Migration-Different State,49,91,902
01,011,98,000,AL,Bullock County Total Migration-Foreign,-1,-1,-1
01,011,01,011,AL,Bullock County Non-migrants,3049,6538,108148
01,011,01,101,AL,Montgomery County,37,71,1304
01,011,01,109,AL,Pike County,23,49,362
01,011,58,000,SS,Other flows - Same State,81,176,2438
01,011,59,000,DS,Other flows - Different State,49,91,902
01,011,59,003,DS,Other flows - Midwest,-1,-1,-1
01,011,59,005,DS,Other flows - South,49,91,902
01,011,59,007,DS,Other flows - West,-1,-1,-1
01,011,57,009,FR,Foreign - Other flows,-1,-1,-1
01,013,96,000,AL,Butler County Total Migration-US and Foreign,306,635,10407
01,013,97,000,AL,Butler County Total Migration-US,306,635,10407
01,013,97,001,AL,Butler County Total Migration-Same State,217,470,7274
01,013,97,003,AL,Butler County Total Migration-Different State,89,165,3133
01,013,98,000,AL,Butler County Total Migration-Foreign,-1,-1,-1
01,013,01,013,AL,Butler County Non-migrants,6468,14414,293348
01,013,01,101,AL,Montgomery County,39,82,1332
01,013,01,085,AL,Lowndes County,22,55,701
01,013,01,041,AL,Crenshaw County,21,42,396
01,013,58,000,SS,Other flows - Same State,135,291,4845
01,013,59,000,DS,Other flows - Different State,89,165,3133
01,013,59,003,DS,Other flows - Midwest,-1,-1,-1
01,013,59,005,DS,Other flows - South,89,165,3133
01,013,59,007,DS,Other flows - West,-1,-1,-1
01,013,57,009,FR,Foreign - Other flows,-1,-1,-1
01,015,96,000,AL,Calhoun County Total Migration-US and Foreign,1947,3790,72434
01,015,97,000,AL,Calhoun County Total Migration-US,1947,3790,72434
01,015,97,001,AL,Calhoun County Total Migration-Same State,1142,2249,42498
01,015,97,003,AL,Calhoun County Total Migration-Different State,805,1541,29937
01,015,98,000,AL,Calhoun County Total Migration-Foreign,-1,-1,-1
01,015,01,015,AL,Calhoun County Non-migrants,38059,84045,1918729
01,015,01,121,AL,Talladega County,329,716,12419
01,015,01,055,AL,Etowah County,143,304,6287
01,015,01,073,AL,Jefferson County,125,203,4442
01,015,01,115,AL,St. Clair County,71,130,2804
01,015,01,029,AL,Cleburne County,65,149,1892
01,015,01,019,AL,Cherokee County,61,117,1873
01,015,01,089,AL,Madison County,42,63,2019
01,015,01,117,AL,Shelby County,32,50,1257
01,015,13,045,GA,Carroll County,32,71,809
01,015,48,453,TX,Travis County,30,49,805
01,015,01,111,AL,Randolph County,26,49,642
01,015,01,027,AL,Clay County,23,46,703
01,015,13,067,GA,Cobb County,22,33,580
01,015,01,003,AL,Baldwin County,20,42,1091
01,015,01,095,AL,Marshall County,20,36,754
01,015,12,033,FL,Escambia County,20,33,1358
01,015,58,000,SS,Other flows - Same State,185,344,6314
01,015,59,000,DS,Other flows - Different State,701,1355,26384
01,015,59,001,DS,Other flows - Northeast,42,60,1389
01,015,59,003,DS,Other flows - Midwest,61,112,2833
01,015,59,005,DS,Other flows - South,517,1048,19253
01,015,59,007,DS,Other flows - West,81,135,2909
01,015,57,009,FR,Foreign - Other flows,-1,-1,-1
01,017,96,000,AL,Chambers County Total Migration-US and Foreign,699,1493,22559
01,017,97,000,AL,Chambers County Total Migration-US,699,1493,22559
01,017,97,001,AL,Chambers County Total Migration-Same State,375,802,13300
01,017,97,003,AL,Chambers County Total Migration-Different State,324,691,9259
01,017,98,000,AL,Chambers County Total Migration-Foreign,-1,-1,-1
01,017,01,017,AL,Chambers County Non-migrants,11316,24751,441674
01,017,01,081,AL,Lee County,256,584,10134
01,017,13,285,GA,Troup County,123,280,3502
01,017,01,111,AL,Randolph County,25,52,564
01,017,13,215,GA,Muscogee County,21,46,445
01,017,58,000,SS,Other flows - Same State,94,166,2602
01,017,59,000,DS,Other flows - Different State,180,365,5312
01,017,59,001,DS,Other flows - Northeast,-1,-1,-1
01,017,59,003,DS,Other flows - Midwest,24,39,847
01,017,59,005,DS,Other flows - South,156,326,4465
01,017,59,007,DS,Other flows - West,-1,-1,-1
01,017,57,009,FR,Foreign - Other flows,-1,-1,-1
01,019,96,000,AL,Cherokee County Total Migration-US and Foreign,372,741,13905
01,019,97,000,AL,Cherokee County Total Migration-US,372,741,13905
01,019,97,001,AL,Cherokee County Total Migration-Same State,196,395,6058
01,019,97,003,AL,Cherokee County Total Migration-Different State,176,346,7847
01,019,98,000,AL,Cherokee County Total Migration-Foreign,-1,-1,-1
01,019,01,019,AL,Cherokee County Non-migrants,7335,16757,344535
01,019,01,049,AL,DeKalb County,53,105,1511
01,019,01,055,AL,Etowah County,51,102,1332
01,019,01,015,AL,Calhoun County,41,91,1416
01,019,13,115,GA,Floyd County,38,71,1018
01,019,13,055,GA,Chattooga County,25,52,636
01,019,58,000,SS,Other flows - Same State,51,97,1800
01,019,59,000,DS,Other flows - Different State,113,223,6192
01,019,59,001,DS,Other flows - Northeast,-1,-1,-1
01,019,59,003,DS,Other flows - Midwest,-1,-1,-1
01,019,59,005,DS,Other flows - South,113,223,6192
01,019,59,007,DS,Other flows - West,-1,-1,-1
01,019,57,009,FR,Foreign - Other flows,-1,-1,-1
01,021,96,000,AL,Chilton County Total Migration-US and Foreign,687,1470,22506
01,021,97,000,AL,Chilton County Total Migration-US,687,1470,22506
01,021,97,001,AL,Chilton County Total Migration-Same State,550,1162,18376
01,021,97,003,AL,Chilton County Total Migration-Different State,137,308,4130
01,021,98,000,AL,Chilton County Total Migration-Foreign,-1,-1,-1
01,021,01,021,AL,Chilton County Non-migrants,13528,32272,678240
01,021,01,117,AL,Shelby County,190,404,6243
01,021,01,073,AL,Jefferson County,83,175,3127
01,021,01,001,AL,Autauga County,68,177,2376
01,021,01,051,AL,Elmore County,37,66,1219
01,021,01,007,AL,Bibb County,22,46,588
01,021,01,101,AL,Montgomery County,22,42,696
01,021,58,000,SS,Other flows - Same State,128,252,4126
01,021,59,000,DS,Other flows - Different State,137,308,4130
01,021,59,001,DS,Other flows - Northeast,-1,-1,-1
01,021,59,003,DS,Other flows - Midwest,-1,-1,-1
01,021,59,005,DS,Other flows - South,137,308,4130
01,021,59,007,DS,Other flows - West,-1,-1,-1
01,021,57,009,FR,Foreign - Other flows,-1,-1,-1
01,023,96,000,AL,Choctaw County Total Migration-US and Foreign,177,369,6497
01,023,97,000,AL,Choctaw County Total Migration-US,177,369,6497
01,023,97,001,AL,Choctaw County Total Migration-Same State,86,177,3168
01,023,97,003,AL,Choctaw County Total Migration-Different State,91,192,3328
01,023,98,000,AL,Choctaw County Total Migration-Foreign,-1,-1,-1
01,023,01,023,AL,Choctaw County Non-migrants,4155,9453,219516
01,023,58,000,SS,Other flows - Same State,86,177,3168
01,023,59,000,DS,Other flows - Different State,91,192,3328
01,023,59,001,DS,Other flows - Northeast,-1,-1,-1
01,023,59,003,DS,Other flows - Midwest,-1,-1,-1
01,023,59,005,DS,Other flows - South,91,192,3328
01,023,59,007,DS,Other flows - West,-1,-1,-1
01,023,57,009,FR,Foreign - Other flows,-1,-1,-1
01,025,96,000,AL,Clarke County Total Migration-US and Foreign,367,788,14146
01,025,97,000,AL,Clarke County Total Migration-US,367,788,14146
01,025,97,001,AL,Clarke County Total Migration-Same State,278,619,10684
01,025,97,003,AL,Clarke County Total Migration-Different State,89,169,3461
01,025,98,000,AL,Clarke County Total Migration-Foreign,-1,-1,-1
01,025,01,025,AL,Clarke County Non-migrants,8089,18802,428574
01,025,01,097,AL,Mobile County,52,129,1961
01,025,01,129,AL,Washington County,34,84,1066
01,025,01,131,AL,Wilcox County,28,71,1179
01,025,01,091,AL,Marengo County,25,57,989
01,025,01,125,AL,Tuscaloosa County,25,46,858
01,025,01,003,AL,Baldwin County,22,38,1602
01,025,01,099,AL,Monroe County,20,54,470
01,025,58,000,SS,Other flows - Same State,72,140,2557
01,025,59,000,DS,Other flows - Different State,89,169,3461
01,025,59,001,DS,Other flows - Northeast,-1,-1,-1
01,025,59,003,DS,Other flows - Midwest,-1,-1,-1
01,025,59,005,DS,Other flows - South,89,169,3461
01,025,59,007,DS,Other flows - West,-1,-1,-1
01,025,57,009,FR,Foreign - Other flows,-1,-1,-1
01,027,96,000,AL,Clay County Total Migration-US and Foreign,219,458,6939
01,027,97,000,AL,Clay County Total Migration-US,219,458,6939
01,027,97,001,AL,Clay County Total Migration-Same State,183,386,5705
01,027,97,003,AL,Clay County Total Migration-Different State,36,72,1234
01,027,01,027,AL,Clay County Non-migrants,4473,10152,201295
01,027,01,111,AL,Randolph County,35,77,1233
01,027,01,015,AL,Calhoun County,32,60,900
01,027,01,121,AL,Talladega County,32,69,869
01,027,01,123,AL,Tallapoosa County,23,60,681
01,027,58,000,SS,Other flows - Same State,61,120,2021
01,027,59,000,DS,Other flows - Different State,36,72,1234
01,027,59,001,DS,Other flows - Northeast,-1,-1,-1
01,027,59,003,DS,Other flows - Midwest,-1,-1,-1
01,027,59,005,DS,Other flows - South,36,72,1234
01,027,59,007,DS,Other flows - West,-1,-1,-1
01,029,96,000,AL,Cleburne County Total Migration-US and Foreign,240,514,8652
01,029,97,000,AL,Cleburne County Total Migration-US,240,514,8652
01,029,97,001,AL,Cleburne County Total Migration-Same State,127,273,4177
01,029,97,003,AL,Cleburne County Total Migration-Different State,113,241,4475
01,029,01,029,AL,Cleburne County Non-migrants,4472,10787,233214
01,029,01,015,AL,Calhoun County,71,151,2142
01,029,13,045,GA,Carroll County,35,69,1250
01,029,13,143,GA,Haralson County,25,53,637
01,029,58,000,SS,Other flows - Same State,56,122,2036
01,029,59,000,DS,Other flows - Different State,53,119,2588
01,029,59,001,DS,Other flows - Northeast,-1,-1,-1
01,029,59,003,DS,Other flows - Midwest,-1,-1,-1
01,029,59,005,DS,Other flows - South,53,119,2588
01,029,59,007,DS,Other flows - West,-1,-1,-1
01,031,96,000,AL,Coffee County Total Migration-US and Foreign,1363,2817,56123
01,031,97,000,AL,Coffee County Total Migration-US,1320,2725,53374
01,031,97,001,AL,Coffee County Total Migration-Same State,625,1355,20765
01,031,97,003,AL,Coffee County Total Migration-Different State,695,1370,32608
01,031,98,000,AL,Coffee County Total Migration-Foreign,43,92,2749
01,031,01,031,AL,Coffee County Non-migrants,15959,36814,971495
01,031,01,045,AL,Dale County,208,470,6257
01,031,01,069,AL,Houston County,89,183,2954
01,031,01,061,AL,Geneva County,68,177,2561
01,031,01,039,AL,Covington County,45,108,1096
01,031,57,005,FR,Foreign - APO/FPO ZIPs,43,92,2749
01,031,01,109,AL,Pike County,38,86,1156
01,031,08,041,CO,El Paso County,26,61,1312
01,031,47,125,TN,Montgomery County,24,47,1421
01,031,01,073,AL,Jefferson County,23,47,587
01,031,48,027,TX,Bell County,21,43,1175
01,031,13,051,GA,Chatham County,20,35,902
01,031,58,000,SS,Other flows - Same State,154,284,6153
01,031,59,000,DS,Other flows - Different State,604,1184,27798
01,031,59,001,DS,Other flows - Northeast,39,71,1803
01,031,59,003,DS,Other flows - Midwest,72,143,2871
01,031,59,005,DS,Other flows - South,394,807,18377
01,031,59,007,DS,Other flows - West,99,163,4747
01,031,57,009,FR,Foreign - Other flows,-1,-1,-1
01,033,96,000,AL,Colbert County Total Migration-US and Foreign,991,1972,44812
01,033,97,000,AL,Colbert County Total Migration-US,991,1972,44812
01,033,97,001,AL,Colbert County Total Migration-Same State,655,1305,26840
01,033,97,003,AL,Colbert County Total Migration-Different State,336,667,17972
01,033,98,000,AL,Colbert County Total Migration-Foreign,-1,-1,-1
01,033,01,033,AL,Colbert County Non-migrants,18768,41114,1056201
01,033,01,077,AL,Lauderdale County,342,707,16885
01,033,01,059,AL,Franklin County,91,198,2563
01,033,01,089,AL,Madison County,51,78,1535
01,033,01,079,AL,Lawrence County,34,86,871
01,033,01,103,AL,Morgan County,25,41,631
01,033,58,000,SS,Other flows - Same State,112,195,4354
01,033,59,000,DS,Other flows - Different State,336,667,17972
01,033,59,001,DS,Other flows - Northeast,-1,-1,-1
01,033,59,003,DS,Other flows - Midwest,22,37,818
01,033,59,005,DS,Other flows - South,271,542,15802
01,033,59,007,DS,Other flows - West,43,88,1352
01,033,57,009,FR,Foreign - Other flows,-1,-1,-1
01,035,96,000,AL,Conecuh County Total Migration-US and Foreign,228,462,6520
01,035,97,000,AL,Conecuh County Total Migration-US,228,462,6520
01,035,97,001,AL,Conecuh County Total Migration-Same State,176,363,5193
01,035,97,003,AL,Conecuh County Total Migration-Different State,52,99,1328
01,035,01,035,AL,Conecuh County Non-migrants,3872,8581,161826
01,035,01,053,AL,Escambia County,35,76,950
01,035,01,099,AL,Monroe County,35,78,1659
01,035,01,039,AL,Covington County,25,51,743
01,035,58,000,SS,Other flows - Same State,81,158,1841
01,035,59,000,DS,Other flows - Different State,52,99,1328
01,035,59,001,DS,Other flows - Northeast,-1,-1,-1
01,035,59,003,DS,Other flows - Midwest,-1,-1,-1
01,035,59,005,DS,Other flows - South,52,99,1328
01,035,59,007,DS,Other flows - West,-1,-1,-1
01,037,96,000,AL,Coosa County Total Migration-US and Foreign,286,611,9262
01,037,97,000,AL,Coosa County Total Migration-US,286,611,9262
01,037,97,001,AL,Coosa County Total Migration-Same State,253,553,8271
01,037,97,003,AL,Coosa County Total Migration-Different State,33,58,991
01,037,01,037,AL,Coosa County Non-migrants,3075,6641,137325
01,037,01,121,AL,Talladega County,75,173,2351
01,037,01,123,AL,Tallapoosa County,74,173,1920
01,037,58,000,SS,Other flows - Same State,104,207,4000
01,037,59,000,DS,Other flows - Different State,33,58,991
01,037,59,003,DS,Other flows - Midwest,-1,-1,-1
01,037,59,005,DS,Other flows - South,33,58,991
01,037,59,007,DS,Other flows - West,-1,-1,-1
01,039,96,000,AL,Covington County Total Migration-US and Foreign,477,989,16572
01,039,97,000,AL,Covington County Total Migration-US,477,989,16572
01,039,97,001,AL,Covington County Total Migration-Same State,268,552,9079
01,039,97,003,AL,Covington County Total Migration-Different State,209,437,7492
01,039,98,000,AL,Covington County Total Migration-Foreign,-1,-1,-1
01,039,01,039,AL,Covington County Non-migrants,11968,26644,615416
01,039,01,031,AL,Coffee County,54,108,2302
01,039,12,091,FL,Okaloosa County,41,98,1422
01,039,01,041,AL,Crenshaw County,27,55,613
01,039,12,131,FL,Walton County,27,56,1034
01,039,58,000,SS,Other flows - Same State,187,389,6164
01,039,59,000,DS,Other flows - Different State,141,283,5036
01,039,59,001,DS,Other flows - Northeast,-1,-1,-1
01,039,59,003,DS,Other flows - Midwest,22,46,616
01,039,59,005,DS,Other flows - South,119,237,4420
01,039,59,007,DS,Other flows - West,-1,-1,-1
01,039,57,009,FR,Foreign - Other flows,-1,-1,-1
01,041,96,000,AL,Crenshaw County Total Migration-US and Foreign,262,538,9146
01,041,97,000,AL,Crenshaw County Total Migration-US,262,538,9146
01,041,97,001,AL,Crenshaw County Total Migration-Same State,215,445,7528
01,041,97,003,AL,Crenshaw County Total Migration-Different State,47,93,1617
01,041,98,000,AL,Crenshaw County Total Migration-Foreign,-1,-1,-1
01,041,01,041,AL,Crenshaw County Non-migrants,4485,10022,205628
01,041,01,109,AL,Pike County,50,101,1461
01,041,01,101,AL,Montgomery County,39,87,1465
01,041,01,039,AL,Covington County,36,84,1143
01,041,58,000,SS,Other flows - Same State,90,173,3459
01,041,59,000,DS,Other flows - Different State,47,93,1617
01,041,59,001,DS,Other flows - Northeast,-1,-1,-1
01,041,59,003,DS,Other flows - Midwest,-1,-1,-1
01,041,59,005,DS,Other flows - South,47,93,1617
01,041,59,007,DS,Other flows - West,-1,-1,-1
01,041,57,009,FR,Foreign - Other flows,-1,-1,-1
01,043,96,000,AL,Cullman County Total Migration-US and Foreign,1018,2083,37111
01,043,97,000,AL,Cullman County Total Migration-US,1018,2083,37111
01,043,97,001,AL,Cullman County Total Migration-Same State,720,1489,25406
01,043,97,003,AL,Cullman County Total Migration-Different State,298,594,11704
01,043,98,000,AL,Cullman County Total Migration-Foreign,-1,-1,-1
01,043,01,043,AL,Cullman County Non-migrants,26349,61143,1413364
01,043,01,103,AL,Morgan County,148,315,4812
01,043,01,073,AL,Jefferson County,112,217,5873
01,043,01,095,AL,Marshall County,88,197,2202
01,043,01,009,AL,Blount County,81,182,2494
01,043,01,089,AL,Madison County,62,115,2011
01,043,01,127,AL,Walker County,37,85,1029
01,043,01,133,AL,Winston County,29,62,990
01,043,01,117,AL,Shelby County,23,49,1188
01,043,58,000,SS,Other flows - Same State,140,267,4808
01,043,59,000,DS,Other flows - Different State,298,594,11704
01,043,59,001,DS,Other flows - Northeast,-1,-1,-1
01,043,59,003,DS,Other flows - Midwest,44,93,2030
01,043,59,005,DS,Other flows - South,218,439,8445
01,043,59,007,DS,Other flows - West,36,62,1229
01,043,57,009,FR,Foreign - Other flows,-1,-1,-1
01,045,96,000,AL,Dale County Total Migration-US and Foreign,1629,3538,60765
01,045,97,000,AL,Dale County Total Migration-US,1578,3402,58307
01,045,97,001,AL,Dale County Total Migration-Same State,808,1727,27964
01,045,97,003,AL,Dale County Total Migration-Different State,770,1675,30344
01,045,98,000,AL,Dale County Total Migration-Foreign,51,136,2457
01,045,01,045,AL,Dale County Non-migrants,15292,34629,763506
01,045,01,069,AL,Houston County,330,701,11060
01,045,01,031,AL,Coffee County,216,486,8824
01,045,57,005,FR,Foreign - APO/FPO ZIPs,51,136,2457
01,045,01,061,AL,Geneva County,47,106,1655
01,045,01,109,AL,Pike County,33,58,679
01,045,01,067,AL,Henry County,32,77,940
01,045,01,005,AL,Barbour County,31,70,849
01,045,48,141,TX,El Paso County,27,56,1168
01,045,12,005,FL,Bay County,24,42,608
01,045,36,045,NY,Jefferson County,20,47,976
01,045,58,000,SS,Other flows - Same State,119,229,3957
01,045,59,000,DS,Other flows - Different State,699,1530,27591
01,045,59,001,DS,Other flows - Northeast,38,84,1811
01,045,59,003,DS,Other flows - Midwest,88,200,3469
01,045,59,005,DS,Other flows - South,453,971,16529
01,045,59,007,DS,Other flows - West,120,275,5782
01,047,96,000,AL,Dallas County Total Migration-US and Foreign,599,1325,28697
01,047,97,000,AL,Dallas County Total Migration-US,599,1325,28697
01,047,97,001,AL,Dallas County Total Migration-Same State,436,959,13918
01,047,97,003,AL,Dallas County Total Migration-Different State,163,366,14779
01,047,98,000,AL,Dallas County Total Migration-Foreign,-1,-1,-1
01,047,01,047,AL,Dallas County Non-migrants,13355,29883,533966
01,047,01,101,AL,Montgomery County,108,218,3238
01,047,01,001,AL,Autauga County,49,113,1581
01,047,01,073,AL,Jefferson County,40,82,939
01,047,01,125,AL,Tuscaloosa County,26,54,1354
01,047,01,051,AL,Elmore County,24,50,849
01,047,01,085,AL,Lowndes County,22,50,544
01,047,48,453,TX,Travis County,21,48,320
01,047,58,000,SS,Other flows - Same State,167,392,5414
01,047,59,000,DS,Other flows - Different State,142,318,14459
01,047,59,001,DS,Other flows - Northeast,-1,-1,-1
01,047,59,003,DS,Other flows - Midwest,-1,-1,-1
01,047,59,005,DS,Other flows - South,142,318,14459
01,047,59,007,DS,Other flows - West,-1,-1,-1
01,047,57,009,FR,Foreign - Other flows,-1,-1,-1
01,049,96,000,AL,DeKalb County Total Migration-US and Foreign,990,2153,30413
01,049,97,000,AL,DeKalb County Total Migration-US,990,2153,30413
01,049,97,001,AL,DeKalb County Total Migration-Same State,624,1398,18570
01,049,97,003,AL,DeKalb County Total Migration-Different State,366,755,11843
01,049,98,000,AL,DeKalb County Total Migration-Foreign,-1,-1,-1
01,049,01,049,AL,DeKalb County Non-migrants,21097,51261,929759
01,049,01,095,AL,Marshall County,197,478,5269
01,049,01,071,AL,Jackson County,141,309,4671
01,049,01,055,AL,Etowah County,77,164,2297
01,049,01,019,AL,Cherokee County,51,123,1374
01,049,01,073,AL,Jefferson County,27,52,945
01,049,47,065,TN,Hamilton County,25,36,703
01,049,01,089,AL,Madison County,20,42,626
01,049,58,000,SS,Other flows - Same State,111,230,3389
01,049,59,000,DS,Other flows - Different State,341,719,11140
01,049,59,001,DS,Other flows - Northeast,-1,-1,-1
01,049,59,003,DS,Other flows - Midwest,28,61,818
01,049,59,005,DS,Other flows - South,278,588,9211
01,049,59,007,DS,Other flows - West,35,70,1111
01,049,57,009,FR,Foreign - Other flows,-1,-1,-1
01,051,96,000,AL,Elmore County Total Migration-US and Foreign,1603,3332,64983
01,051,97,000,AL,Elmore County Total Migration-US,1603,3332,64983
01,051,97,001,AL,Elmore County Total Migration-Same State,1168,2462,45354
01,051,97,003,AL,Elmore County Total Migration-Different State,435,870,19629
01,051,98,000,AL,Elmore County Total Migration-Foreign,-1,-1,-1
01,051,01,051,AL,Elmore County Non-migrants,27096,61339,1632652
01,051,01,101,AL,Montgomery County,426,866,15810
01,051,01,001,AL,Autauga County,304,681,12150
01,051,01,123,AL,Tallapoosa County,85,210,2797
01,051,01,081,AL,Lee County,41,74,2783
01,051,01,117,AL,Shelby County,37,83,1717
01,051,01,097,AL,Mobile County,25,63,1352
01,051,01,087,AL,Macon County,24,58,694
01,051,01,003,AL,Baldwin County,23,38,910
01,051,01,073,AL,Jefferson County,21,36,493
01,051,58,000,SS,Other flows - Same State,182,353,6649
01,051,59,000,DS,Other flows - Different State,435,870,19629
01,051,59,001,DS,Other flows - Northeast,-1,-1,-1
01,051,59,003,DS,Other flows - Midwest,54,102,2364
01,051,59,005,DS,Other flows - South,339,680,15273
01,051,59,007,DS,Other flows - West,42,88,1992
01,051,57,009,FR,Foreign - Other flows,-1,-1,-1
